ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,visual.layer1,Clip_RN50,0.3576167072560095,,0.0001770992087601179,0.004759746261339013,,
OPA_rh_subj01,visual.layer1,Clip_RN50,0.2890832331121182,,0.0008818474616936902,0.008590274103663325,,
VWFA-1_rh_subj01,visual.layer1,Clip_RN50,0.25560723218215897,,0.001677591817980775,0.01048246085593655,,
V3v_lh_subj01,visual.layer1,Clip_RN50,0.37125689415039026,,0.0011843069985442763,0.012787707539713294,,
OWFA_lh_subj01,visual.layer1,Clip_RN50,0.27931799978626737,,0.009863829893234036,0.02794815757888033,,
V2v_rh_subj01,visual.layer1,Clip_RN50,0.38830057679281893,,0.001014441065466833,0.012376905262735336,,
FFA-1_rh_subj01,visual.layer1,Clip_RN50,0.22768255771294652,,0.015560166586608732,0.02873767801480107,,
hV4_lh_subj01,visual.layer1,Clip_RN50,0.30837755758822805,,0.002404916636595006,0.01515015967435091,,
V1d_lh_subj01,visual.layer1,Clip_RN50,0.4608930366081639,,4.669045111801237e-06,0.0009958999314643834,,
OPA_lh_subj01,visual.layer1,Clip_RN50,0.3155464372960644,,0.0011327689371001565,0.010629263104239872,,
V1v_rh_subj01,visual.layer1,Clip_RN50,0.43365219962804,,9.725404773956049e-05,0.004276880107701419,,
V3d_rh_subj01,visual.layer1,Clip_RN50,0.3862489170258034,,0.003476842179690687,0.02283465982629687,,
VWFA-2_lh_subj01,visual.layer1,Clip_RN50,0.18666635342228255,,0.0030976735576282353,0.010413450858371028,,
PPA_lh_subj01,visual.layer1,Clip_RN50,0.33383638961780343,,0.0010743312806342192,0.010950978769128058,,
OFA_lh_subj01,visual.layer1,Clip_RN50,0.2752651624163304,,0.0038784565709858274,0.017192810531952596,,
VWFA-1_lh_subj01,visual.layer1,Clip_RN50,0.19762239243817903,,0.002779187179863069,0.010440030350295854,,
FFA-2_rh_subj01,visual.layer1,Clip_RN50,0.3005145318067639,,0.010159822195528806,0.03052372650667586,,
V2v_lh_subj01,visual.layer1,Clip_RN50,0.4027245183462229,,0.0003668005539116718,0.007715117813907617,,
OWFA_rh_subj01,visual.layer1,Clip_RN50,0.22719164281667337,,0.010413041901316346,0.023366499795813088,,
FBA-2_rh_subj01,visual.layer1,Clip_RN50,0.26422025460471793,,0.011354330679424445,0.028396833439655954,,
PPA_rh_subj01,visual.layer1,Clip_RN50,0.35228374497790393,,0.0004198909265456881,0.007221005075589619,,
V2d_rh_subj01,visual.layer1,Clip_RN50,0.39790876453834434,,0.001788288947709025,0.01684943889226767,,
V3d_lh_subj01,visual.layer1,Clip_RN50,0.38192255548849663,,0.00015302241355692463,0.00472500941744211,,
FFA-1_lh_subj01,visual.layer1,Clip_RN50,0.2720525687636263,,0.003958617319932994,0.017167892347232604,,
RSC_rh_subj01,visual.layer1,Clip_RN50,0.37044670052649936,,0.0018252266728729846,0.015848175890130756,,
VWFA-2_rh_subj01,visual.layer1,Clip_RN50,0.17353758626529203,,0.0078100320385061555,0.01542678778456179,,
OFA_rh_subj01,visual.layer1,Clip_RN50,0.2598534486297038,,0.004156029411362939,0.016804468779846624,,
EBA_rh_subj01,visual.layer1,Clip_RN50,0.22458125552602914,,0.0016235661647146086,0.00906020099272136,,
mfs-words_lh_subj01,visual.layer1,Clip_RN50,0.1450312761328776,,8.102334759971968e-05,0.001305548926394053,,
hV4_rh_subj01,visual.layer1,Clip_RN50,0.3497253722267672,,0.003863444589693549,0.021800965789608804,,
RSC_lh_subj01,visual.layer1,Clip_RN50,0.4585502351978539,,0.00023470512719591286,0.007026267303816955,,
V3v_rh_subj01,visual.layer1,Clip_RN50,0.3644456120413688,,0.0025791712250768637,0.018544459047281713,,
FBA-1_rh_subj01,visual.layer1,Clip_RN50,0.3094219782705066,,0.005853868521193505,0.02377857944176164,,
V1v_lh_subj01,visual.layer1,Clip_RN50,0.45940772408983727,,2.555500642315148e-05,0.002322440593949383,,
EBA_lh_subj01,visual.layer1,Clip_RN50,0.23172984772711436,,0.002323595705386466,0.011189743462687505,,
V1d_rh_subj01,visual.layer1,Clip_RN50,0.42951378892267694,,0.0011439190237909503,0.014539437307928345,,
FBA-1_lh_subj01,visual.layer1,Clip_RN50,0.2178175652528426,,0.0025201815766215255,0.010955467128071316,,
FFA-2_rh_subj02,visual.layer1,Clip_RN50,0.20336023276326134,,0.003478007391932612,0.01202448387572151,,
V2v_rh_subj02,visual.layer1,Clip_RN50,0.2587311959000868,,0.0010307975440003447,0.00831326142303207,,
PPA_rh_subj02,visual.layer1,Clip_RN50,0.3919329522951767,,0.00626972432777628,0.031180687336613038,,
V2d_rh_subj02,visual.layer1,Clip_RN50,0.30481998985676534,,0.004036551275539718,0.019425248124811455,,
OWFA_lh_subj02,visual.layer1,Clip_RN50,0.2341652588025669,,0.006852516861541925,0.019484465326166454,,
V2v_lh_subj02,visual.layer1,Clip_RN50,0.3554291310837819,,0.00022870960815508777,0.005376129608230947,,
VWFA-2_rh_subj02,visual.layer1,Clip_RN50,0.23322738740229024,,0.0026998414549343937,0.01214309689434745,,
V3d_lh_subj02,visual.layer1,Clip_RN50,0.33463210709282615,,0.0003786683173586311,0.006513590631784369,,
VWFA-2_lh_subj02,visual.layer1,Clip_RN50,0.1881002728529306,,0.008525263887216169,0.017479704698014943,,
EBA_rh_subj02,visual.layer1,Clip_RN50,0.26608478623548154,,0.0018108758982521985,0.011338480358892372,,
OWFA_rh_subj02,visual.layer1,Clip_RN50,0.1684075045919342,,0.0037257834400210637,0.010308285887491562,,
mfs-words_lh_subj02,visual.layer1,Clip_RN50,0.22371015252818538,,0.007048493802777903,0.018881616995222648,,
OPA_rh_subj02,visual.layer1,Clip_RN50,0.2712493072733777,,0.015626433527738643,0.03431115580570664,,
V1v_lh_subj02,visual.layer1,Clip_RN50,0.39044799927735224,,0.00046496119462387817,0.00842215140853762,,
mfs-words_rh_subj02,visual.layer1,Clip_RN50,0.16966127182542742,,0.01718309283410731,0.02253134286657995,,
OFA_lh_subj02,visual.layer1,Clip_RN50,0.29585448309792195,,0.004667730962931661,0.020284093029166856,,
FFA-1_lh_subj02,visual.layer1,Clip_RN50,0.23923281816586395,,0.007080215436971242,0.020237634108219025,,
FBA-2_lh_subj02,visual.layer1,Clip_RN50,0.2699523073697001,,0.0014600593326385232,0.010326384062512958,,
V2d_lh_subj02,visual.layer1,Clip_RN50,0.3005549981698486,,0.0005869423100854095,0.007284720743538984,,
V3v_lh_subj02,visual.layer1,Clip_RN50,0.28116471584315267,,0.0004397526317801627,0.005898048180168514,,
EBA_lh_subj02,visual.layer1,Clip_RN50,0.23987641697082426,,0.0033023306783883325,0.013818965980424888,,
VWFA-1_lh_subj02,visual.layer1,Clip_RN50,0.22711864986909577,,0.003405113633424278,0.013287091555421095,,
RSC_rh_subj02,visual.layer1,Clip_RN50,0.42485655260483707,,0.0040031604810089215,0.026961918255122952,,
OPA_lh_subj02,visual.layer1,Clip_RN50,0.29797726476379877,,0.014234807356647448,0.03593638574097986,,
hV4_lh_subj02,visual.layer1,Clip_RN50,0.35977542368377663,,0.004657977684669411,0.024640614361066154,,
FBA-2_rh_subj02,visual.layer1,Clip_RN50,0.2379443369426619,,0.000632065670777977,0.005984976198620981,,
hV4_rh_subj02,visual.layer1,Clip_RN50,0.33841295500945434,,0.0033241429108743425,0.019560127021433737,,
