ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.400806213444528,,9.969842558359311e-05,0.0040023132005040365,,
OPA_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.28546583798339453,,0.00020040537098993315,0.0040417933534787195,,
VWFA-1_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.2560536214142822,,0.0005244372877248818,0.005866088034234736,,
V3v_lh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.40441150245145036,,0.0006416048907461558,0.010248643696041903,,
OWFA_lh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.29870962401975387,,0.0037683949446165404,0.018388977092917314,,
V2v_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.4299131703070087,,0.00022682131393449997,0.006475846874130861,,
FFA-1_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.22806036225102325,,0.014157549224085875,0.027427974191302832,,
hV4_lh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.3259045713495626,,0.00101585894791755,0.010395329029630697,,
V1d_lh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.5170057202319392,,3.5581478666361414e-05,0.0030840324156386017,,
OPA_lh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.31043806425519277,,0.00043795232254091463,0.006498768553081205,,
V1v_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.48449918246948626,,1.2443788705627978e-05,0.0017091233829571604,,
V3d_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.42657309607119803,,0.0010072688837586869,0.01354860094713921,,
VWFA-2_lh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.167896873493943,,0.000637103768454137,0.004239896850502423,,
PPA_lh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.331194362064897,,0.0007879168691176928,0.009302076215006066,,
OFA_lh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.2976685264740995,,0.001420534190232736,0.011231088373004799,,
VWFA-1_lh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.18367759836442024,,0.0004677337078601683,0.00397381750894067,,
FFA-2_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.3140490675074982,,0.006614029314354304,0.025668071744737602,,
V2v_lh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.43642775765719666,,0.00015388343538602896,0.005414500883478383,,
OWFA_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.24116364867250104,,0.005018649223017406,0.017149234871565902,,
FBA-2_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.27183426499067653,,0.007289284618326738,0.023336250267137915,,
PPA_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.35174636242898516,,0.00010240819456795188,0.00355983876668308,,
V2d_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.44472210052886085,,0.00038690140947965194,0.008750138325148236,,
V3d_lh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.40462826397924445,,0.00043689323824668035,0.008460308874669994,,
FFA-1_lh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.27216556105787565,,0.0031514296542568972,0.015314942001812765,,
RSC_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.3533049058324244,,0.0011582236226776953,0.012034370829044499,,
VWFA-2_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.17409144104129035,,0.004055110237266093,0.01111994707160541,,
OFA_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.25784652157623655,,0.0024223545240908825,0.012713650182964002,,
EBA_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.2311173313682057,,0.00030907741332348063,0.004064122967176081,,
mfs-words_lh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.14972160511950408,,0.004046423534004043,0.009553032779550545,,
hV4_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.37587721839979354,,0.0013593705182687555,0.013872606081489028,,
RSC_lh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.4431980677461318,,0.00047365070928793,0.009648977081218982,,
V3v_rh_subj01,visual.transformer.resblocks.1,Clip_ViT-B/16,0.3969792292082171,,0.0006772967794852976,0.010336606564636176,,
