ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,layer1,Standard_ResNet50,0.3806995608664671,,7.83517051594396e-05,0.003370017251007675,,
OPA_rh_subj01,layer1,Standard_ResNet50,0.2970454111166023,,0.00033185740245950487,0.005412609758085451,,
VWFA-1_rh_subj01,layer1,Standard_ResNet50,0.26718389312924423,,0.003360183101161064,0.015527029478712623,,
V3v_lh_subj01,layer1,Standard_ResNet50,0.3910119485080273,,0.0007714738749310501,0.01086680912830635,,
OWFA_lh_subj01,layer1,Standard_ResNet50,0.2888356788232403,,0.0041408784275424,0.01864443028619003,,
V2v_rh_subj01,layer1,Standard_ResNet50,0.41197220774500254,,0.0004883887427103955,0.009107724079434165,,
FFA-1_rh_subj01,layer1,Standard_ResNet50,0.23162378711882167,,0.011114930815246926,0.024625245353826566,,
hV4_lh_subj01,layer1,Standard_ResNet50,0.3181753882759549,,0.0009306584705908477,0.009713260798363795,,
V1d_lh_subj01,layer1,Standard_ResNet50,0.4939338288858484,,3.68727585925103e-05,0.0029993945427424598,,
OPA_lh_subj01,layer1,Standard_ResNet50,0.3156620509155396,,0.0003366998958510316,0.005793667357491671,,
V1v_rh_subj01,layer1,Standard_ResNet50,0.46110313479666276,,4.503019032411805e-05,0.0030943157914882003,,
V3d_rh_subj01,layer1,Standard_ResNet50,0.3943442827260934,,0.0022339759214849656,0.01866996032174336,,
VWFA-2_lh_subj01,layer1,Standard_ResNet50,0.17325875168238772,,0.005339130560048978,0.012710860568308209,,
PPA_lh_subj01,layer1,Standard_ResNet50,0.3329515723721915,,0.0008144888002207691,0.009507997321992881,,
OFA_lh_subj01,layer1,Standard_ResNet50,0.28570004186316594,,0.0012047449076903155,0.009925457639945469,,
VWFA-1_lh_subj01,layer1,Standard_ResNet50,0.20455486743550524,,0.0037581644318869867,0.012575478250888754,,
FFA-2_rh_subj01,layer1,Standard_ResNet50,0.30002601224608033,,0.008175522674204282,0.02729558370617921,,
V2v_lh_subj01,layer1,Standard_ResNet50,0.4213920867989159,,0.0002570188137152019,0.006756978890922524,,
OWFA_rh_subj01,layer1,Standard_ResNet50,0.2323007337020491,,0.0039083870907094635,0.014565497409260735,,
FBA-2_rh_subj01,layer1,Standard_ResNet50,0.2625925351781886,,0.007181488395188743,0.02237374159642342,,
PPA_rh_subj01,layer1,Standard_ResNet50,0.3589694781981385,,0.00021289695703076325,0.005238556162825312,,
V2d_rh_subj01,layer1,Standard_ResNet50,0.410216670350064,,0.0009457774458885781,0.012624553039860036,,
V3d_lh_subj01,layer1,Standard_ResNet50,0.39289548018166176,,0.00036945826030424395,0.007554054076269441,,
FFA-1_lh_subj01,layer1,Standard_ResNet50,0.2693238499509516,,0.0014597330196025626,0.01030119007673768,,
RSC_rh_subj01,layer1,Standard_ResNet50,0.3586769320288265,,0.0003551332597852346,0.006761060443239474,,
VWFA-2_rh_subj01,layer1,Standard_ResNet50,0.19098564983203978,,0.005807241440865024,0.014617855081926978,,
OFA_rh_subj01,layer1,Standard_ResNet50,0.2560169977778149,,0.002795602486982887,0.013564962062798525,,
EBA_rh_subj01,layer1,Standard_ResNet50,0.23069177790674447,,0.0004418454953208445,0.004850776750146643,,
mfs-words_lh_subj01,layer1,Standard_ResNet50,0.14440351093791645,,0.001009898071672163,0.004592462965912377,,
hV4_rh_subj01,layer1,Standard_ResNet50,0.36951589101897125,,0.0023255740841425687,0.01785076064806558,,
RSC_lh_subj01,layer1,Standard_ResNet50,0.4465726926407754,,0.00020872762648081159,0.006452828540293253,,
V3v_rh_subj01,layer1,Standard_ResNet50,0.386211001935798,,0.001466326158622442,0.014805325311625563,,
FBA-1_rh_subj01,layer1,Standard_ResNet50,0.3162998789879455,,0.0032452166817227234,0.01806258550913988,,
V1v_lh_subj01,layer1,Standard_ResNet50,0.48779719540446886,,6.675479372465812e-05,0.003985678577774326,,
EBA_lh_subj01,layer1,Standard_ResNet50,0.23141715714252067,,0.0007336316249385459,0.006271531931040599,,
V1d_rh_subj01,layer1,Standard_ResNet50,0.46095404350129815,,0.0007370695562257393,0.01252137573879038,,
