ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.4415481007914443,,2.1306843174814077e-05,0.0020381892935185525,,
OPA_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.29060349636925453,,0.00012846403825334934,0.003294074875898817,,
VWFA-1_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.2579374379802056,,0.00039318321959244825,0.005116111094422061,,
V3v_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.4426393511792798,,0.000407400848651105,0.008937040289177807,,
OWFA_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.33756272048992503,,0.0010043556888528716,0.01070595914195797,,
V2v_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.45976047453107644,,0.00031176791671678664,0.008119866904625033,,
FFA-1_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.24730031132014307,,0.007527024187164983,0.021577386993467968,,
hV4_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.3504680520107222,,0.00023757097244430744,0.005402845080574269,,
V1d_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.5276901967456299,,1.5745506982156586e-05,0.0020939315430707583,,
OPA_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.31979697207599095,,0.000556501961165586,0.00754725493679096,,
V1v_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.494809372707453,,4.427053235207482e-05,0.0032923781428470427,,
V3d_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.45089006827357164,,0.0017662817834752439,0.01897477227835265,,
VWFA-2_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.17620806580208492,,0.002229330870344016,0.008333743595739237,,
PPA_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.3323302808864627,,0.0009436997794552833,0.010216317784123562,,
OFA_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.327360393263369,,0.00017796259677851483,0.004367656476152067,,
VWFA-1_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.20474600730850248,,0.0009267992816956262,0.006237496671813016,,
FFA-2_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.33506843713112094,,0.00400752009336994,0.021275499612218692,,
V2v_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.46212951361769766,,9.496322216530737e-05,0.004503730135682092,,
OWFA_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.2718579508742603,,0.004106853533615184,0.01747581941399785,,
FBA-2_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.2951850586269095,,0.003486290397395824,0.01747487281283835,,
PPA_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.36466240399522193,,0.0002301783198789274,0.005533477934731134,,
V2d_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.4746135310264145,,0.0009762840391864126,0.014840426678160126,,
V3d_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.446420997715913,,0.00022646314320589204,0.00671919357044558,,
FFA-1_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.28972775814569496,,0.0007879311547366092,0.008137500082557949,,
RSC_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.3546060102831606,,0.00036356123277767424,0.006763216975462127,,
VWFA-2_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.1837846357791236,,0.0036594707489962814,0.011148408124428457,,
OFA_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.27887709633093505,,0.0026962134136028575,0.014510072328211703,,
EBA_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.2587189659923945,,5.312971243652756e-06,0.0005963465760131822,,
mfs-words_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.14705135207301417,,0.0021722610078930256,0.00686488828274391,,
hV4_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.3965289871864727,,0.0018327202637626256,0.016998892437995544,,
RSC_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.4421145485257103,,0.0004535210582703986,0.009418490311990033,,
V3v_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.4330126015667943,,0.0009117424302616896,0.013083795579823167,,
FBA-1_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.3173900868803666,,0.004733377174880551,0.021914165916712195,,
V1v_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.5101519285042644,,4.440550129764054e-05,0.003399635733991479,,
EBA_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.2692350639231977,,0.0001584144433073116,0.0033890705619812125,,
V1d_rh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.5013458408641923,,0.00037717434812583196,0.009739381350937205,,
FBA-1_lh_subj01,model.blocks.1,Timm_vit_base_patch16_224,0.24443826656165712,,0.0007107250219882324,0.006520059996374513,,
FFA-2_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.24077372383996656,,0.003993807041984498,0.015261827286654659,,
V2v_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.29678853823568807,,0.0005976467240347988,0.0072587882964150465,,
PPA_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.4157595327327981,,0.004851006128707523,0.029063150311783057,,
V2d_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.36741741120573534,,0.000846669427825569,0.010697753489363453,,
OWFA_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.26984114042510615,,0.0032832604365342004,0.015500021828768713,,
V2v_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.41820488149643875,,0.00011244262237473381,0.004434975325586397,,
VWFA-2_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.2517182967996764,,0.0002695183641917423,0.004133298468363482,,
V3d_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.3992593518611964,,0.0019227072696253165,0.01753229020856584,,
VWFA-2_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.19264143127969702,,0.0022595989281644687,0.00917280891501129,,
EBA_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.32031636640789113,,0.0007357365222905688,0.008693207269665675,,
OWFA_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.1797932836948046,,0.003987383780576185,0.01138726131420342,,
mfs-words_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.22382127977053926,,0.0015703743890512407,0.008880040557663392,,
OPA_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.28213993106594665,,0.00633609467272307,0.022565597925627647,,
V1v_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.4263487948023938,,0.0005197611588628318,0.009723806301435805,,
mfs-words_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.18045198273303562,,0.011018082665918636,0.019099708543770157,,
OFA_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.3263126028656687,,0.0017373853381896676,0.013619099739201257,,
FFA-1_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.27491035465959796,,0.003160095880816886,0.015490749778956555,,
FBA-2_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.2915556863834227,,0.00045636256443560235,0.006230533113060328,,
V2d_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.3513889984073389,,0.001246588199170572,0.012418124255491329,,
V3v_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.33580488720228524,,0.00045124075121899814,0.007135726344089217,,
EBA_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.2629361929053938,,0.0014520405831050349,0.010030281199854106,,
VWFA-1_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.25601780977117944,,0.0009686392673973208,0.007973828628760749,,
RSC_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.4450462080361697,,0.001575280466713528,0.017684696977329384,,
OPA_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.32919338739855436,,0.004789646702543538,0.022864794601782812,,
hV4_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.41855106846469464,,0.001539801796548587,0.01644306836611243,,
FBA-2_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.27227285781565064,,0.0012576371097126088,0.009664779744808494,,
hV4_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.4099451215209235,,0.0007587842750411188,0.01129879541098652,,
V1d_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.5200017527288693,,0.0004510147532747441,0.01104707049203334,,
V1d_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.5358384069616199,,0.0001299208193497126,0.006108232164674078,,
VWFA-1_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.29008825426766066,,0.00019484577879217837,0.004049851677226627,,
V3d_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.3976246963441497,,0.0007513841238924176,0.01090559101352104,,
FFA-1_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.3313671118591803,,0.0023905787099456496,0.016230827993632072,,
RSC_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.533837855774146,,0.0025243755881406084,0.026872607449047695,,
V1v_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.4952208634585323,,9.438444251116735e-06,0.0015214308383366187,,
FFA-2_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.246194898819226,,0.0026621751914777396,0.012728166307426866,,
PPA_lh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.48841695733125357,,0.0016185484827921193,0.019673484325456184,,
V3v_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.4238704793819424,,0.0010586074200670907,0.01380211563101251,,
OFA_rh_subj02,model.blocks.1,Timm_vit_base_patch16_224,0.2066978003151064,,0.0010906019516812374,0.006831631748040195,,
V3v_lh_subj03,model.blocks.1,Timm_vit_base_patch16_224,0.36128653584614895,,0.003088608117727007,0.020125237852773824,,
PPA_lh_subj03,model.blocks.1,Timm_vit_base_patch16_224,0.30410182653840273,,5.356034969928992e-05,0.0022256567008757397,,
RSC_lh_subj03,model.blocks.1,Timm_vit_base_patch16_224,0.26961814694553726,,0.0031056837790931525,0.015060561334136571,,
V3d_lh_subj03,model.blocks.1,Timm_vit_base_patch16_224,0.24091559474385124,,0.0030636578334269503,0.013365485142028902,,
VWFA-1_lh_subj03,model.blocks.1,Timm_vit_base_patch16_224,0.13004138299524448,,0.002352928112840812,0.006319072823927607,,
RSC_rh_subj03,model.blocks.1,Timm_vit_base_patch16_224,0.2849424726617011,,0.0022535768024157907,0.013549659260036267,,
V3v_rh_subj03,model.blocks.1,Timm_vit_base_patch16_224,0.32524582371688915,,0.0007704791300660719,0.009033233625564449,,
OPA_rh_subj03,model.blocks.1,Timm_vit_base_patch16_224,0.2569370592907188,,0.0012345902427848194,0.009036298964062483,,
FBA-1_rh_subj03,model.blocks.1,Timm_vit_base_patch16_224,0.17211181958414357,,0.0007350190682755853,0.004668738105914318,,
OPA_lh_subj03,model.blocks.1,Timm_vit_base_patch16_224,0.2705825117288701,,0.0028651472260109714,0.014514697749951663,,
hV4_lh_subj03,model.blocks.1,Timm_vit_base_patch16_224,0.28841506559906144,,0.0003620375245319162,0.005489245870130754,,
V2d_rh_subj03,model.blocks.1,Timm_vit_base_patch16_224,0.32553281733565514,,0.0017698887795830605,0.01371339073371485,,
