ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,layer1,moco_resnet50_imagenet,0.37840492308070534,,1.618081667798194e-05,0.0015221668768140198,,
OPA_rh_subj01,layer1,moco_resnet50_imagenet,0.2850512771665006,,0.00022727605849840599,0.004298073857823765,,
VWFA-1_rh_subj01,layer1,moco_resnet50_imagenet,0.2654791979902709,,0.000566269283783152,0.006320137197268561,,
V3v_lh_subj01,layer1,moco_resnet50_imagenet,0.39468472457546816,,0.000956603393084786,0.01221597222048619,,
OWFA_lh_subj01,layer1,moco_resnet50_imagenet,0.3004750885612444,,0.005139088449584254,0.021623722677392435,,
V2v_rh_subj01,layer1,moco_resnet50_imagenet,0.4097894031517217,,0.000679366685492431,0.01068646870967716,,
FFA-1_rh_subj01,layer1,moco_resnet50_imagenet,0.2319772520834942,,0.015182038477276618,0.02891344401243807,,
hV4_lh_subj01,layer1,moco_resnet50_imagenet,0.31925548542290966,,0.0015980485598485396,0.012777749140472583,,
V1d_lh_subj01,layer1,moco_resnet50_imagenet,0.4646593219707431,,8.973441514441517e-05,0.0044019327416370685,,
OPA_lh_subj01,layer1,moco_resnet50_imagenet,0.31528926121194106,,0.00041939537216749206,0.00645888623532425,,
V1v_rh_subj01,layer1,moco_resnet50_imagenet,0.44410114033593734,,6.694844739036167e-05,0.003633908188233039,,
V3d_rh_subj01,layer1,moco_resnet50_imagenet,0.3946680870054628,,0.001967095549345942,0.017530172869708944,,
VWFA-2_lh_subj01,layer1,moco_resnet50_imagenet,0.1910319850823767,,0.006803464608389445,0.01583784256712869,,
PPA_lh_subj01,layer1,moco_resnet50_imagenet,0.33149165629750105,,0.0002648821919338345,0.0053961656542800725,,
OFA_lh_subj01,layer1,moco_resnet50_imagenet,0.2904736305030822,,0.0026980619108636695,0.015118644987433455,,
VWFA-1_lh_subj01,layer1,moco_resnet50_imagenet,0.20133677311738832,,0.00253347746441973,0.0101533195508624,,
FFA-2_rh_subj01,layer1,moco_resnet50_imagenet,0.29036596750004445,,0.01567982478592494,0.036793474847760875,,
V2v_lh_subj01,layer1,moco_resnet50_imagenet,0.42345233398941545,,0.0004638703057322184,0.009123341896050343,,
OWFA_rh_subj01,layer1,moco_resnet50_imagenet,0.23974130840777552,,0.005804722069874227,0.018345549911484075,,
FBA-2_rh_subj01,layer1,moco_resnet50_imagenet,0.25718591672822094,,0.015618877178948885,0.03252418008781768,,
PPA_rh_subj01,layer1,moco_resnet50_imagenet,0.3512422544445469,,0.00021891876548858817,0.005197800023404372,,
V2d_rh_subj01,layer1,moco_resnet50_imagenet,0.41026184478469907,,0.0010738183898452937,0.013454777847095534,,
V3d_lh_subj01,layer1,moco_resnet50_imagenet,0.3975693335290107,,5.4456841211291944e-05,0.0029339779066693498,,
FFA-1_lh_subj01,layer1,moco_resnet50_imagenet,0.26180446529725926,,0.0044229543812450605,0.017469386635212043,,
RSC_rh_subj01,layer1,moco_resnet50_imagenet,0.3641194275776811,,0.0007478160532448838,0.009962880675444834,,
VWFA-2_rh_subj01,layer1,moco_resnet50_imagenet,0.18317289718286822,,0.004660955971323609,0.012549344077263687,,
OFA_rh_subj01,layer1,moco_resnet50_imagenet,0.26172247277061783,,0.0019914233139657184,0.011696938626521405,,
EBA_rh_subj01,layer1,moco_resnet50_imagenet,0.22755567962470394,,0.0017775997623118585,0.009606922205171679,,
mfs-words_lh_subj01,layer1,moco_resnet50_imagenet,0.13751124342347087,,0.0016550364602623121,0.005601206613585409,,
hV4_rh_subj01,layer1,moco_resnet50_imagenet,0.3570045473692008,,0.003728282696565622,0.021859750120388592,,
RSC_lh_subj01,layer1,moco_resnet50_imagenet,0.4532079062742152,,0.00027718130703917657,0.007546919978206512,,
V3v_rh_subj01,layer1,moco_resnet50_imagenet,0.3828723136388385,,0.0013269267294417195,0.01396078942447066,,
FBA-1_rh_subj01,layer1,moco_resnet50_imagenet,0.3001242996430254,,0.004368371027884949,0.019901573981105872,,
V1v_lh_subj01,layer1,moco_resnet50_imagenet,0.46639223290518395,,9.094561771872179e-05,0.004448072141382331,,
EBA_lh_subj01,layer1,moco_resnet50_imagenet,0.23318006594566554,,0.0021864790953785465,0.01092137142168978,,
V1d_rh_subj01,layer1,moco_resnet50_imagenet,0.42951423910652714,,0.0006434872640815161,0.010900771089999014,,
FBA-1_lh_subj01,layer1,moco_resnet50_imagenet,0.22236489601934906,,0.003196118648325217,0.012601454108703638,,
FFA-2_rh_subj02,layer1,moco_resnet50_imagenet,0.21261587189695233,,0.00439373688800546,0.014139938358837274,,
V2v_rh_subj02,layer1,moco_resnet50_imagenet,0.27134047695863694,,0.00042710042241413994,0.00560943002442381,,
PPA_rh_subj02,layer1,moco_resnet50_imagenet,0.3970651554592854,,0.00535923866117823,0.029185317348652606,,
V2d_rh_subj02,layer1,moco_resnet50_imagenet,0.3116770582550718,,0.005034260221142301,0.022198174587542432,,
OWFA_lh_subj02,layer1,moco_resnet50_imagenet,0.2566485307065002,,0.0024027951501484407,0.012603201940977226,,
V2v_lh_subj02,layer1,moco_resnet50_imagenet,0.37778105380810034,,0.00016264929645059284,0.004818581973094997,,
VWFA-2_rh_subj02,layer1,moco_resnet50_imagenet,0.2374056796898163,,0.0010615870187848308,0.00774131785518649,,
V3d_lh_subj02,layer1,moco_resnet50_imagenet,0.3606079727613036,,0.0008676913638437563,0.010629203703838233,,
VWFA-2_lh_subj02,layer1,moco_resnet50_imagenet,0.18368821485430611,,0.006508776454985494,0.014892208320212591,,
EBA_rh_subj02,layer1,moco_resnet50_imagenet,0.27883811037387923,,0.0028990016592976464,0.015046040565544868,,
OWFA_rh_subj02,layer1,moco_resnet50_imagenet,0.1734153715489748,,0.0036664985281957773,0.010529558560196068,,
mfs-words_lh_subj02,layer1,moco_resnet50_imagenet,0.2258809205398463,,0.005598215001079353,0.016972029182490116,,
OPA_rh_subj02,layer1,moco_resnet50_imagenet,0.2740607722038875,,0.010724769144812627,0.028612523185501768,,
V1v_lh_subj02,layer1,moco_resnet50_imagenet,0.3992181176883009,,0.0006227688246382922,0.009967278589211379,,
mfs-words_rh_subj02,layer1,moco_resnet50_imagenet,0.17665655082275297,,0.012344616578706509,0.019811559399647117,,
OFA_lh_subj02,layer1,moco_resnet50_imagenet,0.3091133184721668,,0.002139008632089196,0.01431929302734441,,
FFA-1_lh_subj02,layer1,moco_resnet50_imagenet,0.2542835404778177,,0.003996037678142188,0.016122696266371556,,
FBA-2_lh_subj02,layer1,moco_resnet50_imagenet,0.2710562174091375,,0.0028020826658812464,0.01437851506641542,,
V2d_lh_subj02,layer1,moco_resnet50_imagenet,0.31182554441552074,,0.000724675555105388,0.008398846363304435,,
V3v_lh_subj02,layer1,moco_resnet50_imagenet,0.3044797945009918,,0.0004740856777390116,0.006631951748925195,,
EBA_lh_subj02,layer1,moco_resnet50_imagenet,0.2432873254355449,,0.003077037143620149,0.013526639369179527,,
VWFA-1_lh_subj02,layer1,moco_resnet50_imagenet,0.2331593810454009,,0.0016127038584581948,0.009374670071687786,,
RSC_rh_subj02,layer1,moco_resnet50_imagenet,0.4354769120592215,,0.0028494636655623062,0.023295732572042153,,
OPA_lh_subj02,layer1,moco_resnet50_imagenet,0.31583983632837853,,0.008979632520745245,0.030132589926124307,,
hV4_lh_subj02,layer1,moco_resnet50_imagenet,0.39095462984787893,,0.0032090969812636648,0.022200615369096056,,
FBA-2_rh_subj02,layer1,moco_resnet50_imagenet,0.24249310164928725,,0.001184455640934978,0.00835304570011897,,
hV4_rh_subj02,layer1,moco_resnet50_imagenet,0.3548261813194465,,0.002024521716726096,0.015989581097875172,,
V1d_lh_subj02,layer1,moco_resnet50_imagenet,0.4755331850620939,,0.0004765082790010559,0.010384158458867636,,
V1d_rh_subj02,layer1,moco_resnet50_imagenet,0.48537084889501353,,0.0003677454933856433,0.009310375071168867,,
VWFA-1_rh_subj02,layer1,moco_resnet50_imagenet,0.26778639001721466,,0.0009034750361252268,0.008054545052482124,,
V3d_rh_subj02,layer1,moco_resnet50_imagenet,0.3505737778715284,,0.0021921591255947294,0.01644108266909826,,
FFA-1_rh_subj02,layer1,moco_resnet50_imagenet,0.29477932480663654,,0.004482030860319553,0.019801503238030496,,
RSC_lh_subj02,layer1,moco_resnet50_imagenet,0.5224029437845017,,0.001769234137554077,0.02200265771997873,,
V1v_rh_subj02,layer1,moco_resnet50_imagenet,0.4587958110452199,,3.606744195154294e-05,0.002755426703291388,,
FFA-2_lh_subj02,layer1,moco_resnet50_imagenet,0.21674552857098092,,0.004806647826576506,0.015081388545776727,,
PPA_lh_subj02,layer1,moco_resnet50_imagenet,0.47129653155702006,,0.0016615465165218469,0.019235001358062605,,
V3v_rh_subj02,layer1,moco_resnet50_imagenet,0.3619676373974789,,0.0008740270525789811,0.010708213330556396,,
OFA_rh_subj02,layer1,moco_resnet50_imagenet,0.19313847860125302,,0.002122918949004218,0.008913080919887142,,
V3v_lh_subj03,layer1,moco_resnet50_imagenet,0.3315824622859514,,0.01485993477048941,0.04087733754489162,,
PPA_lh_subj03,layer1,moco_resnet50_imagenet,0.293138391729779,,1.847735612862585e-06,0.0003984677865531128,,
RSC_lh_subj03,layer1,moco_resnet50_imagenet,0.2718506464657608,,0.0011148692802895055,0.009084598059111345,,
V3d_lh_subj03,layer1,moco_resnet50_imagenet,0.2316756593318531,,0.005344106836378599,0.017004509449919235,,
VWFA-1_lh_subj03,layer1,moco_resnet50_imagenet,0.13220946475796327,,0.003632259691389463,0.007989812886290977,,
RSC_rh_subj03,layer1,moco_resnet50_imagenet,0.2783114984731044,,0.0012092330460845488,0.009686799344167597,,
V3v_rh_subj03,layer1,moco_resnet50_imagenet,0.29593592756231873,,0.007428842824359282,0.02565006966296134,,
OPA_rh_subj03,layer1,moco_resnet50_imagenet,0.24012865339432185,,0.001654128031727482,0.009778401168744413,,
FBA-1_rh_subj03,layer1,moco_resnet50_imagenet,0.17666892936161352,,0.01016600131199029,0.017950077034398416,,
OPA_lh_subj03,layer1,moco_resnet50_imagenet,0.2564872326985264,,0.004080286338927304,0.01643399988038461,,
hV4_lh_subj03,layer1,moco_resnet50_imagenet,0.2739433449757292,,0.006810219392156496,0.02272314248496561,,
V2d_rh_subj03,layer1,moco_resnet50_imagenet,0.30049903557886465,,0.014215175265341266,0.0362149724772024,,
V3d_rh_subj03,layer1,moco_resnet50_imagenet,0.27824669974535793,,0.01588348477708781,0.035491551565158375,,
OFA_rh_subj03,layer1,moco_resnet50_imagenet,0.2408557064202759,,0.0021453800267686772,0.011174001559347288,,
FBA-2_lh_subj03,layer1,moco_resnet50_imagenet,0.15129255599437708,,0.045259438931783226,0.03332854343870836,,
EBA_rh_subj03,layer1,moco_resnet50_imagenet,0.1891818963458536,,0.004789276819506486,0.013139501382516102,,
V1v_lh_subj03,layer1,moco_resnet50_imagenet,0.44762624311452587,,0.0029041135363633425,0.02417518865357091,,
V1v_rh_subj03,layer1,moco_resnet50_imagenet,0.3826807068412792,,0.004010394109265569,0.024307451505999694,,
mfs-words_lh_subj03,layer1,moco_resnet50_imagenet,0.19379227081509845,,0.0018837646454682915,0.008422946248112595,,
OWFA_lh_subj03,layer1,moco_resnet50_imagenet,0.260048931356428,,0.009577999059155086,0.025634790544648928,,
FFA-2_lh_subj03,layer1,moco_resnet50_imagenet,0.12786445141057826,,0.05312594120932144,0.030708941791311294,,
hV4_rh_subj03,layer1,moco_resnet50_imagenet,0.25915455731888937,,0.007592854376463114,0.022711485988867932,,
EBA_lh_subj03,layer1,moco_resnet50_imagenet,0.1903395626050931,,0.0027698700774166345,0.010038352255293368,,
V2v_lh_subj03,layer1,moco_resnet50_imagenet,0.41093670086007217,,0.00840950890658171,0.037923893487138594,,
FFA-1_lh_subj03,layer1,moco_resnet50_imagenet,0.20124120272825283,,0.002462965432135941,0.010005745595058402,,
VWFA-2_lh_subj03,layer1,moco_resnet50_imagenet,0.1511981331763794,,0.005599937701386863,0.011362346408547983,,
FFA-2_rh_subj03,layer1,moco_resnet50_imagenet,0.1259175941391618,,0.00963909535239912,0.012452655854993458,,
V2d_lh_subj03,layer1,moco_resnet50_imagenet,0.28919335283685516,,0.007605826258866726,0.02536588005189036,,
OFA_lh_subj03,layer1,moco_resnet50_imagenet,0.24864854364797817,,0.0017839609672077204,0.010516234760513556,,
OWFA_rh_subj03,layer1,moco_resnet50_imagenet,0.23297724216284008,,0.007506632549781021,0.0202998070552139,,
V1d_lh_subj03,layer1,moco_resnet50_imagenet,0.4139231092619346,,0.004055443628757474,0.026440090344326535,,
FFA-1_rh_subj03,layer1,moco_resnet50_imagenet,0.21659673565972806,,0.018335905057384243,0.029739947577284865,,
FBA-1_lh_subj03,layer1,moco_resnet50_imagenet,0.15066838761758514,,0.008535306488480807,0.014009600637914482,,
PPA_rh_subj03,layer1,moco_resnet50_imagenet,0.3304088788623331,,8.551693592552805e-05,0.003055664236274504,,
V2v_rh_subj03,layer1,moco_resnet50_imagenet,0.32063975235956377,,0.00389457668943468,0.02006868560244343,,
VWFA-1_rh_subj03,layer1,moco_resnet50_imagenet,0.137874023642425,,0.011191629522672178,0.0147095182763752,,
FBA-2_rh_subj03,layer1,moco_resnet50_imagenet,0.23074259965286562,,0.03577597000406513,0.04485656895338178,,
V1d_rh_subj03,layer1,moco_resnet50_imagenet,0.373273757256481,,0.0044573810474222205,0.025004777153718526,,
RSC_lh_subj04,layer1,moco_resnet50_imagenet,0.3265354549958144,,0.0019050096428919092,0.014272502396561994,,
hV4_rh_subj04,layer1,moco_resnet50_imagenet,0.22233030056667658,,8.61741313723243e-05,0.00206402608921108,,
PPA_lh_subj04,layer1,moco_resnet50_imagenet,0.3200314327754105,,0.0012653225016385368,0.01139477352681488,,
hV4_lh_subj04,layer1,moco_resnet50_imagenet,0.22532061615119567,,0.0017024926119381238,0.009308905828714879,,
FFA-2_rh_subj04,layer1,moco_resnet50_imagenet,0.16445409549271264,,0.010009628621707845,0.01657804044064884,,
OWFA_lh_subj04,layer1,moco_resnet50_imagenet,0.12156767925253875,,0.0039697565268025006,0.007682385515468147,,
V1v_lh_subj04,layer1,moco_resnet50_imagenet,0.3821699842751068,,0.0016104238087107869,0.015355066715376696,,
FFA-2_lh_subj04,layer1,moco_resnet50_imagenet,0.13462970371532215,,0.00373705747782707,0.008253262855068054,,
V2d_lh_subj04,layer1,moco_resnet50_imagenet,0.32675534408561174,,0.005430967420831088,0.024178864610977555,,
V3d_lh_subj04,layer1,moco_resnet50_imagenet,0.2475089400179086,,0.006591187670058009,0.020194258435999674,,
