ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,blocks.1,moco_vit_base_imagenet,0.40695112957200924,,0.00013144362718926517,0.00466610860583833,,
OPA_rh_subj01,blocks.1,moco_vit_base_imagenet,0.282890032062776,,0.0016868015590983053,0.01163321111293356,,
VWFA-1_rh_subj01,blocks.1,moco_vit_base_imagenet,0.254918664416077,,0.0008195350134266591,0.007302178722834109,,
V3v_lh_subj01,blocks.1,moco_vit_base_imagenet,0.4105242286951655,,0.0004969947875642464,0.009155385577874023,,
OWFA_lh_subj01,blocks.1,moco_vit_base_imagenet,0.3102570130939244,,0.003366070566600139,0.018046034059986747,,
V2v_rh_subj01,blocks.1,moco_vit_base_imagenet,0.4360412243606427,,0.00023518823381022067,0.00668824174218088,,
FFA-1_rh_subj01,blocks.1,moco_vit_base_imagenet,0.19465277832373026,,0.03388372599457499,0.036771927130651416,,
hV4_lh_subj01,blocks.1,moco_vit_base_imagenet,0.32850618640260737,,0.0014590704119064265,0.012561957867758789,,
V1d_lh_subj01,blocks.1,moco_vit_base_imagenet,0.5151419916668064,,5.241333337966368e-05,0.003729622839923162,,
OPA_lh_subj01,blocks.1,moco_vit_base_imagenet,0.2957462673975721,,0.002799974187960895,0.015682301119329684,,
V1v_rh_subj01,blocks.1,moco_vit_base_imagenet,0.48611553227384396,,3.398469945340858e-05,0.0028339506570403124,,
V3d_rh_subj01,blocks.1,moco_vit_base_imagenet,0.41798577735438497,,0.0009070646414246576,0.012597263964480165,,
VWFA-2_lh_subj01,blocks.1,moco_vit_base_imagenet,0.16515106814295658,,0.008915795949276153,0.01569931517841849,,
PPA_lh_subj01,blocks.1,moco_vit_base_imagenet,0.31746561063109846,,0.0016184569140157317,0.012787184220071836,,
OFA_lh_subj01,blocks.1,moco_vit_base_imagenet,0.3040137872944994,,0.0014309490033479434,0.011512558163385705,,
VWFA-1_lh_subj01,blocks.1,moco_vit_base_imagenet,0.18531928860014393,,0.0009049410834965723,0.005578606016497142,,
FFA-2_rh_subj01,blocks.1,moco_vit_base_imagenet,0.2734037043880148,,0.01578600234048628,0.03476403635009685,,
V2v_lh_subj01,blocks.1,moco_vit_base_imagenet,0.43801229641029577,,0.000174501932869013,0.005786863898741425,,
OWFA_rh_subj01,blocks.1,moco_vit_base_imagenet,0.2613632024705855,,0.0034687822677505527,0.015433524288402622,,
FBA-2_rh_subj01,blocks.1,moco_vit_base_imagenet,0.23694165762304661,,0.014083215378107248,0.028419576248588048,,
PPA_rh_subj01,blocks.1,moco_vit_base_imagenet,0.34007094473659905,,0.000681339043692701,0.00888123129925393,,
