ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.383367523272935,,4.712440430614058e-06,0.0008322231468312272,,
OPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.2505761728890789,,0.0013204256181838228,0.009114380694311197,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.21498953736312543,,0.005929824407812405,0.01662939383411761,,
V3v_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.3950022910116058,,0.0010849134831853297,0.013021192836556476,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.2787203958036693,,0.0065164808048675795,0.02261028153890747,,
V2v_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.41897129803636735,,0.00041081802287236716,0.00849459857482541,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.1790441612479233,,0.020556459376936773,0.026074228992025633,,
hV4_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.30798333229661873,,0.002621519944678144,0.01580006918653151,,
V1d_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.48494991418902816,,1.5065377019561598e-05,0.0018823128033036778,,
OPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.26729475454717777,,0.0024857128888743914,0.013351398019369989,,
V1v_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.4629565438192687,,0.00013297280671090945,0.005339061953737422,,
V3d_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.384853785400941,,0.001198360772964609,0.013334605109157021,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.14776150237993987,,0.006349849216388285,0.011830932562782137,,
PPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.27573301048679405,,0.0037075478864211347,0.016836134689625474,,
OFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.2795149365928042,,0.0025191390034478927,0.014055711373924763,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.17406254118487152,,0.001825736162304731,0.00744765658636132,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.23183164265830292,,0.012424740777854531,0.02608512802530133,,
V2v_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.41939329493379424,,0.0002461593451200139,0.006581271958458755,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.24719266203634657,,0.0052619626873556345,0.018002327921203324,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.20251919583620223,,0.012428516189699947,0.022790490646081636,,
PPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.2971073734982484,,0.0024717482866817328,0.014798640287611459,,
V2d_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.4079847458753904,,0.0005805848108124611,0.009834809069998294,,
V3d_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.38705678747745864,,9.303950135401775e-05,0.003733693651320016,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.21259162600767723,,0.005607340484965806,0.01598663441350925,,
RSC_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.3157882793620475,,0.002608634961463105,0.016160457237738356,,
VWFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.14846767585366713,,0.013664244117132312,0.01753522211649065,,
OFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.24448771444419556,,0.002035273322971201,0.01104668906404641,,
EBA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.18457581048735835,,0.000675336862109429,0.004799047736548152,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.10511181556888079,,0.00545603508795656,0.007796019874457632,,
hV4_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.3520854266537885,,0.004377228769979936,0.023370988326931297,,
RSC_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.3861755739911444,,3.568173683162926e-05,0.0023068503195597533,,
V3v_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.3888161678623992,,0.0017069744172013182,0.016084752148801763,,
FBA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.2931336868727135,,0.004221687293146073,0.01910676883314154,,
V1v_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.48116620044075153,,0.00010668202862979582,0.004970218667296308,,
EBA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.18638404308854242,,0.0015746214980125045,0.007404746161411023,,
V1d_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.4457617865030605,,0.00047203545133121935,0.009688218786401978,,
FBA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.17324018217496343,,0.0019960218818140156,0.007751436342483284,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.1781232785278504,,0.008129499671337047,0.016158951118322253,,
V2v_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.26485237817886853,,0.00019384965487236915,0.003688073274520858,,
PPA_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.32206480747038047,,0.009608057855085231,0.031798620703996326,,
V2d_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.3026510884429839,,0.0038316950506065133,0.01878834686575367,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.24674484441969038,,0.005107382567448838,0.01770173510601208,,
V2v_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_e41ad3d6,0.37152541417662466,,0.00019196582245525128,0.005148290186983508,,
