ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.3716737365622735,,0.00017483600187802773,0.004915121530719193,,
OPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.26738589381921946,,0.00018300374541431417,0.0036176628954067173,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.23304067031639988,,0.0016344988740877098,0.009433154168550357,,
V3v_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.3819791715801666,,0.0005880873742623106,0.009267278793067747,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.2715350552590619,,0.004022739442514136,0.01727429097302095,,
V2v_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.41125824626328894,,0.0005516573592014691,0.009663380299960441,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.18581240649114794,,0.014278716545693735,0.02244446758732951,,
hV4_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.30297088409316403,,0.0009633980167510349,0.009410609306525389,,
V1d_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.48630545836766786,,1.5328680999542334e-05,0.0019039981859532728,,
OPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.2847040615076846,,0.0006765228115297083,0.007408927241104889,,
V1v_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.45816750626799,,1.611377101934561e-05,0.0018391964835579116,,
V3d_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.3839089195574464,,0.0029244765087324274,0.020806856044486306,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.1462899071576479,,0.007172923108645276,0.012456861874527733,,
PPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.2971417977488806,,0.0008149207321511181,0.008487640820947428,,
OFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.2687675276417984,,0.0016207365850395678,0.010833316252370329,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.17911465589267517,,0.0026833427598394848,0.009297037659133313,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.24329140116611456,,0.009950809135992843,0.024452096018795635,,
V2v_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.41825336010794745,,0.00022900998303282793,0.006330547170998514,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.22763118461649942,,0.0037258457377276366,0.01393350647353368,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.2129946580919416,,0.00970384863593306,0.02113583845153719,,
PPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.31872012371259345,,0.0001917593879833656,0.004414182348919081,,
V2d_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.40592190258941646,,0.0013353674433715687,0.01484834923085519,,
V3d_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.3796056769889156,,0.0006328638508992781,0.009554194022936982,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.2238966704349701,,0.0013475320465786028,0.00822728327827678,,
RSC_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.3309717577760947,,0.00024156707211630993,0.005145036958208302,,
VWFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.16406546617601148,,0.0030689927180015137,0.009109961347516673,,
OFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.2425268979772117,,0.002074272426309373,0.01106290700277101,,
EBA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.20205715619086442,,0.0007233908354904008,0.005437464824901425,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.12126156883252959,,0.000734709526259832,0.0032886710175385487,,
hV4_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.3549503326841669,,0.003683770421100807,0.02160311272620741,,
RSC_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.4133060341534592,,0.0007297660092790799,0.01117123949944363,,
V3v_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.3779847477592515,,0.0025741750161713166,0.01921467464388456,,
FBA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.3008518961793028,,0.003628603756046178,0.01817217649250839,,
V1v_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.4822395342733777,,5.548937554438903e-05,0.0035924092384430352,,
EBA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.19902530898947465,,0.000646802014391258,0.005064128826441554,,
V1d_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.45132979729520084,,0.0010777463060239374,0.014828715871807162,,
FBA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.17951814843573888,,0.00035070778584751387,0.003362755720958237,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.18541224807047976,,0.0033738707693502117,0.010797016115125312,,
V2v_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.26422819636652156,,0.0008794731351812952,0.007841101198677217,,
PPA_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.34116683354198996,,0.008083516516725538,0.030861172870731538,,
V2d_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.30617474144299833,,0.002140457949983196,0.014187986730315655,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.24778989794968545,,0.0024456679954937824,0.0122766561053871,,
V2v_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.36651344079603093,,8.685542166452519e-05,0.0034159905792825263,,
VWFA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_c55ac28d,0.20558693787381452,,0.005748726326994167,0.01565525407222452,,
