ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.36876334892202006,,1.5760354597069516e-05,0.0014639824691646622,,
OPA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.2740788212501228,,0.000592624997040658,0.006675112014956302,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.2298653627660828,,0.003857865581011668,0.014318796052174152,,
V3v_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.38456958866804386,,0.0007754933559098942,0.010715604774981652,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.2764716205121868,,0.003084507239116015,0.015390401690978323,,
V2v_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.4057985168508244,,0.0002666793712774574,0.006628145649829293,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.1933963301042243,,0.016887499220812403,0.025455777099542828,,
hV4_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.3107782603946672,,0.0010041967625001435,0.009855696458701187,,
V1d_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.48803815818624946,,2.876665141419497e-05,0.0026176272607363895,,
OPA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.27882897754523844,,0.0016879712481867768,0.0114701943894431,,
V1v_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.4542827924091559,,2.8562662075573473e-06,0.0007677619023731604,,
V3d_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.38213093252861347,,0.0016652727577508822,0.015613412167420909,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.13660815514450433,,0.01243063359385563,0.015374528236765047,,
PPA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.2752837455627377,,0.0023526085684283863,0.013375891985557012,,
OFA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.2786151014676656,,0.0007111150962867552,0.007433722119322389,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.17310779668758022,,0.0047476660403300034,0.01197036577048937,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.25623063304350485,,0.006951761248715996,0.021475932758809484,,
V2v_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.4155013446407189,,0.000293297850898866,0.0071174172003972734,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.2240934688567062,,0.004232386683431184,0.01462526889053266,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.22217368343601593,,0.007333314257411451,0.019131175189542826,,
PPA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.31140820677662795,,0.0012337050256423455,0.010948077259656186,,
V2d_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.40085349073841775,,0.0005942551482296822,0.009776103138425382,,
V3d_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.3828251128268371,,0.000110259123732344,0.0040201624570873435,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.23327288593918452,,0.0007342499798899022,0.006324489806718121,,
RSC_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.3000873594591624,,0.0018658627723712254,0.012980635792427607,,
VWFA-2_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.16053790366674955,,0.006381484346667748,0.012886197917500184,,
OFA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_68c320f1,0.23986824053452382,,0.0028876546689656055,0.012917769597686148,,
