ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.3730715789326271,,5.385253390373899e-05,0.002737869716331031,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.2714899207570203,,0.00049235785597511,0.006026352953275804,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.22797139663854213,,0.004051009749478255,0.014554075704353273,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.38837053151904516,,0.000602456737295762,0.009536862121084674,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.28611246858347233,,0.0030597598830160474,0.015862764180101907,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.4101282719251433,,0.0003467546376314581,0.007639128496802932,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.19722116684465799,,0.01561936648517434,0.024941333109086115,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.3157042652392257,,0.000855321649889117,0.00923897766164224,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.48994980012720557,,2.1261732547556444e-05,0.0022592164194313777,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.284497767480052,,0.0018470245864744713,0.012243834891808372,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.45656656054357514,,8.446312677597683e-06,0.0013269068271400581,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.38721490054370805,,0.0021446467538808393,0.017960953040375777,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.14250854415278472,,0.009707625882445135,0.014144168641651451,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.28504901318061177,,0.0033152970701413793,0.016453667681171725,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.2868054583698319,,0.0008100852856520649,0.008168019590428916,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.17609508720179815,,0.0029269463978772205,0.009547938724641063,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.26227465959486146,,0.006200505978021119,0.02074898558175662,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.41996287044385255,,0.00018190096271181522,0.0056648400193957255,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.23156922433663318,,0.002816297729046975,0.01231512885855089,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.22613439842994695,,0.006371446288435628,0.01813713580027292,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.31435077377204884,,0.0013979031288610306,0.011765456163351382,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_48c04639_center_crop,0.4085865517370424,,0.0008397228379421452,0.011847472242080642,,
