ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.3638444249743055,,7.53092595672727e-05,0.0031576533025304185,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.27199392472649947,,8.105374760502511e-05,0.002448906228029797,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.2336996397299155,,0.0023597877140236535,0.011372716225270408,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.3835808253921207,,0.0006882141708136902,0.010067994056333771,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.2752078645919476,,0.004788172513142756,0.019112157421461454,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.4049432097514909,,0.0005655660894860931,0.009634298087658784,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.19551064984597089,,0.02095777402163582,0.02875769710236261,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.31063529220907005,,0.00106570105078699,0.01014882653868573,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.48154231110764645,,3.60638457193186e-05,0.002891892986492442,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.2817133646245189,,0.0003468961425495272,0.005248318708781224,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.45170320594016605,,2.6109163686142104e-07,0.00023080740515716007,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.38225895708576757,,0.00301213083819755,0.021027005497982598,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.15160716803372842,,0.006130262960774409,0.01192513251635722,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.2812057643829153,,0.0006897390293867597,0.00738909708146465,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.27073054578217676,,0.0015084117253859092,0.010526620410267565,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.1742410061422699,,0.004665796359483618,0.01194365245653821,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.2516038558268194,,0.01033206935380747,0.02577488601634582,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.4134694473634455,,0.00022480962121538837,0.006200462786559579,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.22674639631775018,,0.004602857688303151,0.015436806234075498,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.22036040841167584,,0.009644719061774066,0.02179905377021058,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.31290039494010513,,0.00044293960680830694,0.00658753113976279,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.4016463523314151,,0.0013745580490281504,0.014906423353800144,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.3778862535770744,,0.0001372777765595373,0.004427982846983801,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.23121897484718493,,0.0015893336541525263,0.009228883649663044,,
RSC_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.3039317364722172,,0.0004935266765064146,0.006754483822208988,,
VWFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.16410609458011075,,0.003962252730013348,0.010360706632396943,,
OFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.24260827697568874,,0.004345647422555725,0.016045450852022254,,
EBA_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.20803911359701366,,0.0011499647249562555,0.007060932713873318,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.13466734123658983,,0.001484631846740426,0.005194642529129202,,
hV4_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.3603077699385235,,0.003340878631196155,0.020878259762529338,,
RSC_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.38423946592010655,,0.00038001720964443985,0.00749251134681569,,
V3v_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.37602645311382227,,0.002485890834613709,0.018783231343825937,,
FBA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.3035670074149594,,0.0038448911098457783,0.018877816904988295,,
V1v_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.47722883717449144,,3.5508992685724406e-05,0.002843854816005915,,
EBA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.20098790998683022,,0.001346465223094142,0.0073825504101759695,,
V1d_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.4531840144664443,,0.0009955405347305364,0.01430963356902566,,
FBA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.1824585671896299,,0.0012413732869206288,0.0064345783314345515,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.18777326703372924,,0.0031030550774647646,0.01048433931478239,,
V2v_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.25762216393379395,,0.0009040243683698936,0.007751181519049409,,
PPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.3418676439636965,,0.0087014333077359,0.03209978410186039,,
V2d_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.3051120118194257,,0.002183830094901859,0.014281734507164957,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.247920945060589,,0.002404584767306483,0.012179167081948312,,
V2v_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.36383452275955824,,0.00013300996733898017,0.004196520277819661,,
VWFA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.1989177970749626,,0.0022195201517609324,0.009387005422162593,,
V3d_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.33331869367364003,,0.0014899637649196799,0.012880515927957017,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.15195442731486486,,0.003428607789521256,0.008920542568409552,,
EBA_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.2478733315371209,,0.0010842878357127709,0.008168747940994375,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.15148604840856672,,0.011042656883236307,0.016052016707973387,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.22125128003128167,,0.006341310231407988,0.017703065019505086,,
OPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_9d4d1dfc,0.24103365512766603,,0.011264242890933586,0.025800135853079637,,
