ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_99e6c1e4,0.36197115954746933,,7.257433844588121e-05,0.0030838209311226587,,
OPA_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_99e6c1e4,0.2686293192733762,,0.0005908300986365577,0.006532467072708378,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_99e6c1e4,0.22863022776775754,,0.002417053868944244,0.011260695389899645,,
V3v_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_99e6c1e4,0.3827552809053047,,0.0006983225535330546,0.010119912946034867,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_99e6c1e4,0.26890309529111023,,0.0032654964402830935,0.015404091150966743,,
V2v_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_99e6c1e4,0.403639249994505,,0.00035615306928136494,0.007619522692710216,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_99e6c1e4,0.19989610768819047,,0.012952773599048532,0.02297401441968736,,
hV4_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_99e6c1e4,0.3089740524284917,,0.0008426844754694045,0.008974889712571817,,
V1d_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_99e6c1e4,0.482001456203028,,3.7884494012208736e-05,0.0029668216252430163,,
OPA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_99e6c1e4,0.28166896829787896,,0.0019503323163682638,0.012457454200535132,,
V1v_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_99e6c1e4,0.4555178457528973,,2.8389129045249955e-05,0.002427116806269847,,
V3d_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_99e6c1e4,0.38107991761194593,,0.0020985500220949424,0.01748477729578486,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_99e6c1e4,0.1420824662804634,,0.00962070068504335,0.014037675849357984,,
PPA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_99e6c1e4,0.2871006804984756,,0.0035247225310974612,0.017090199458927043,,
OFA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_99e6c1e4,0.27960883042418927,,0.0005632570178766815,0.006638771386864762,,
