ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.4082134933044023,,7.070650422214183e-05,0.003432733359412354,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.26811303554412563,,0.0006164469963517601,0.006659883956847282,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.23163967823949103,,0.000732563993487485,0.006272987913240341,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.4154395546897887,,0.0007529926671663554,0.01140639982621456,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.313861899448562,,0.002854261188866283,0.016804155755543216,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.44044883403527413,,0.00016876577947930237,0.005722590050044781,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.19809766576639717,,0.02152377465112181,0.02954192006562816,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.32753555898965075,,0.0009677625651307448,0.010196667649045312,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.5203325225733204,,8.045192700349649e-05,0.004667404098015184,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.2934466741856045,,0.001086341882110418,0.009679803072657561,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.4899566187314535,,2.876163081740763e-05,0.002627687716937013,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.41672067897431275,,0.0012167381055936135,0.014549236560598594,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.15245623524595495,,0.009492193100984956,0.014960203986549089,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.3178427033087144,,0.0012052814273955002,0.01104458341501039,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.3067098281115847,,0.0012068395055293871,0.010664630709966653,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.17336180234456544,,0.00021396839220210506,0.0025362842674160214,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.27359396985465373,,0.011867785149724539,0.030073497161838086,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.44165194739276914,,0.00017540129919156535,0.0058499706928322156,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.25180751396228923,,0.0027551698431016684,0.013244688081181637,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.23572321646701186,,0.011168034357297145,0.025121888274250347,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.33508910487408355,,0.00035357144423937245,0.006302517902368677,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.44620346687707135,,0.0005685245493146596,0.010643704121844786,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.41155400045708807,,0.000800326011246798,0.011649870512092939,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.24781612618160512,,0.0021997086050698283,0.011642052476953815,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.34317601561554983,,0.00033625592336100586,0.006294503022426087,,
VWFA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.15257827546450664,,0.0019638354843368854,0.0067715119528396935,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.246155611020947,,0.0019400291800918544,0.010857916437337715,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.2010030144445827,,0.000981574628938354,0.006302083242857051,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.13168568956629453,,0.0028021044426672064,0.006985458876976401,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.36351457911132373,,0.002442264384620375,0.017997608615577178,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.4352825254619559,,0.0011418721922521332,0.014721503297515077,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.4080969739179414,,0.0010022980237242012,0.012929700700571554,,
FBA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_29bdaddc,0.3019059803765012,,0.002402990962176358,0.014826259184714731,,
