ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.40472971774500205,,2.977095529559051e-05,0.0022083666330512956,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.2684205493411938,,0.00076720121083223,0.007439100158020286,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.23429749645009193,,0.0005141506162153322,0.005314719498710939,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.40584262416413774,,0.0013339746697281077,0.01483768991587466,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.31163093576080075,,0.0032546140293804623,0.017821835178076135,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.4343702521066843,,0.0004516524816324599,0.009234415821114695,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.2006008283735392,,0.020357022293983264,0.02906701652489276,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.3268222560795985,,0.0019522074976710843,0.014461429065755404,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.5147714533026138,,0.00010246316559752218,0.0052111277034372055,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.28994481451039816,,0.0022857782357805266,0.013886024036541832,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.48338767141041344,,7.445520264016394e-05,0.0041712608312459475,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.42202980669811563,,0.0011177458934912901,0.01412143974197629,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.15104839600037856,,0.0049615689058878434,0.010679389142369046,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.3063524726957077,,0.0028422393216576236,0.016367374760384523,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.30705242383233017,,0.002071868006040311,0.013998104762771895,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.17560043452261942,,0.00040451653778378517,0.003532852597273056,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.28011157802371833,,0.009617865172091249,0.027670744191311724,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.4387491896126761,,0.00042802232649346737,0.009080065671609466,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.24382972075014728,,0.003661587484803952,0.014795054126204549,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.2423269628346282,,0.00907156760828472,0.023238786547559453,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.33208788392721095,,0.0012588631121867677,0.01179376918885193,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.4505234957579312,,0.000542021226234221,0.010493060960421099,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.4106388369645613,,0.0006368307210081595,0.010367630968330465,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.25486666160873916,,0.0021454343425721945,0.011824160960726002,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.3297426351456488,,0.0012433430197364803,0.011637933232693628,,
VWFA-2_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.15448167036295943,,0.005229087591829524,0.011214976109822588,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.25144317652322995,,0.0017727645203227764,0.010600916273867046,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3c26bd20,0.2070916845558122,,0.0008099453828764242,0.0058973169392144385,,
