ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.4052293460151894,,1.4400036696955576e-05,0.001537755817016461,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.2652480163964517,,0.00021222708748561643,0.0038647525034129384,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.22410391553321563,,0.0013703799174857015,0.00830456054768517,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.4056108251771206,,0.0008143533427596413,0.01158194122910218,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.3224501039069358,,0.004215438581606413,0.021001985151474285,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.43352326995983476,,0.000541377460223233,0.01009110889165325,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.199536135116789,,0.009283806701190596,0.019360876551165848,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.3305537501791326,,0.0013799339673618077,0.012291958253518072,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.5170564799180758,,0.0001790770891705301,0.006920163152770809,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.2865953264684718,,0.0016481466840035399,0.011649422246411158,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.47908443958380625,,0.00017071115000279394,0.006260350071674021,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.4218395017807353,,0.001390759131419315,0.0157480422973249,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.13599858954568053,,0.016164861839353648,0.01750394195951071,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.3006658716141874,,0.002012166634529988,0.01350741617707545,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.30823297734605243,,0.0018735052523041076,0.013360338645272814,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.17190657024932524,,0.0003572088833498501,0.00324989983403479,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.25894826971421414,,0.008345303969349809,0.023804860735124084,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.43418513852738316,,0.0003002786706220545,0.00752549411700041,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.24812179759439693,,0.00249879466268329,0.012426399213628682,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.2246727263306402,,0.00783717138233988,0.020007576843105997,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.320863772982591,,0.0007777058395144878,0.008953272358983435,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.44478603068983075,,0.000574646069372487,0.010666909149049098,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.4108827509232112,,0.0004852736783088817,0.009054602428330647,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.2423703418885372,,0.0018542701607866668,0.010451307093571095,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.3242705622724204,,0.0018825494465689434,0.014089467530907772,,
VWFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.13968211895085156,,0.011298207105018,0.014974422876139317,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.24970139001307387,,0.0019306419580125038,0.010987563289504157,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.19423130717822099,,0.00014104426891996786,0.002306975061795486,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.1250484108420179,,0.01116489163721407,0.013324961001508784,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.36872689252351226,,0.0021112965375409284,0.01696945805337759,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.41593890540051026,,0.0008733047466579929,0.012299771786545418,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.3997434131330095,,0.0015306993260022627,0.01565760339148695,,
FBA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_d4282240,0.3097478172780152,,0.0015644109799545836,0.012265738718410716,,
