ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.4066503265580523,,2.7284951553385784e-05,0.0021241814225477188,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.26672313580971324,,0.00035019786805244943,0.004992654663375097,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.23886575819564773,,0.0006171192033404781,0.0059366235261345155,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.40418803192909564,,0.0008144013568486365,0.011541654983288342,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.3143202469240204,,0.0024253085037299568,0.015507684073770891,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.432856205247468,,0.000378005892082686,0.0084181388348343,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.2042388158676974,,0.020885414737262614,0.02998795065774867,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.32890171605022517,,0.0014482951954684043,0.0125304544849413,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.5171866863238702,,0.00017130370330326378,0.006769966430366396,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.287413157335122,,0.0013861349706728748,0.010711770622944573,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.48002595940931386,,0.00010516020330447296,0.00492294164481983,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.42007228278441094,,0.0009969391451162466,0.013273433068636353,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.14582313857361706,,0.007405508675488427,0.012619045117745848,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.3036293560465886,,0.0024137117921023757,0.014944237803478486,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.3065471216107332,,0.0010639607894046901,0.010007067369891941,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.17554604992498327,,0.0003106382332803883,0.003094708266766972,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.27970021700339326,,0.008373421575971419,0.02575639531626296,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.436440901230904,,0.0002724850514227334,0.007205855567494822,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.24401540353708415,,0.003442227094126528,0.014353587580373767,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.24324380711986135,,0.00801162887903601,0.021904029935406296,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.3260518060539663,,0.0010108729782574144,0.010374432770175605,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_6c762d28,0.4474905565066339,,0.000438979580898306,0.009378838465384624,,
