ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.4069675582232198,,2.3865442103778895e-05,0.0019881644593215107,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.2671481468693224,,0.00041240356437022036,0.005426848926914967,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.23063079913444598,,0.0014039656500938608,0.008650739231088592,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.4034388834458209,,0.0008567417697272926,0.011816311246772033,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.3091675673563486,,0.004321998811573493,0.020391424971304497,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.43262469847678514,,0.00039217651802635374,0.008569981256220422,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.20003999244468162,,0.020018716452296376,0.02873642294086482,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.3238154466777607,,0.0015889577311231468,0.012923250743957726,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.5168789807821604,,0.00015174943269774134,0.006367982219133993,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.28881326573607297,,0.0016760548298017236,0.011838800677162259,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.4803355587727461,,8.645150721156241e-05,0.004466416130757511,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.42042297802259565,,0.0009766996731180146,0.013148774525874724,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.1481627607651718,,0.00633988994127534,0.011853664399375548,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.307363782946177,,0.002775715173932573,0.016227279541153473,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.3025843028768745,,0.001771599171095588,0.012752835935447885,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.17399322824174432,,0.000583839030279205,0.004205998773462399,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.2766001206120608,,0.010743906349614765,0.028903809671854623,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.4354286896562593,,0.00031414872551508696,0.007719462026905921,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.24207479756043182,,0.003536164909669963,0.014433445511908163,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.23857595618424007,,0.010854189675008567,0.025060133048438283,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.33156950982581446,,0.0010253064246119996,0.010625162728779721,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.4479086392939118,,0.00043723688920240726,0.009368936396334024,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.41239222728850317,,0.00046713120570408904,0.008916247334702594,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.2511656608788709,,0.00371487475661133,0.015351294113598073,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.3304910387841986,,0.0012908442699836836,0.011885498062692745,,
VWFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.15541090760056303,,0.008391883360998251,0.014327093303681643,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.24909161143007585,,0.0018471695729767217,0.010720493950919638,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.19876537884115164,,0.001593835917659043,0.007944785466172954,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.13199498347783298,,0.008613083717366627,0.01232981056209651,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.3657198066600967,,0.002337935083005502,0.01771443316109123,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.4211094610697741,,0.0013743318123227986,0.01562747476621353,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.40084186154630386,,0.0014800013907240788,0.015437842862952517,,
FBA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.3074651553994632,,0.001665014052453829,0.012561679648407636,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.5005836102186901,,0.00021986548324425955,0.00742380878813847,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.21923940529209132,,0.0007720580164055431,0.00609530121686635,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.49152309089919005,,0.00023218730372609277,0.0074909827622039495,,
FBA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.20895386554626638,,0.0045619399130285695,0.014161689767903288,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.19196187313457602,,0.0035305421683559496,0.011436365484718566,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.26941758029232227,,0.0006144849569902585,0.006681620135353551,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.3861593226484173,,0.005447483285750872,0.028618343794125634,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.3396212805270748,,0.0015523132335438475,0.013396478586731542,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.2424702525085327,,0.003327069265546979,0.014020877343721417,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.3888697908779932,,0.00037487573792476686,0.007531300995436875,,
VWFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.20894875697720924,,0.003943745219564079,0.013160783369648899,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.36547043119815825,,0.0012284930156727621,0.012821505538573278,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.1771964993234336,,0.0017074494293648891,0.007331380653503927,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.2525650059364951,,0.0019354948444564144,0.011127569874830906,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.15124805725891366,,0.0075757403015004774,0.013239783543455941,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.18976304953655787,,0.002088659620152598,0.00868613623065965,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.24364659241024614,,0.011305002799213634,0.026127775456831988,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.4105558986440532,,0.0007368004834524339,0.011150320270152642,,
mfs-words_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.15107365787532998,,0.013370349223593274,0.017646127622367645,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.3103896197140055,,0.0024634110445437706,0.015434023968277866,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.2247645628728028,,0.0011347808832920078,0.007577984491668049,,
FBA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.24728439740991304,,0.001607100813644287,0.009925267790241008,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.33222292110704443,,0.0011686113903144322,0.011366991907436329,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_ed1a41d3_center_crop,0.3004209449543444,,0.0006562568153272095,0.0076998268585369125,,
