ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.41298047227259044,,0.00012900174847093286,0.004691042165845566,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.27342845602211246,,0.0004339582920185307,0.005697824795083834,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.2360764584714313,,0.0008494514792510675,0.006884918301552844,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.4118425706990649,,0.0008216324326292911,0.0118123899176457,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.31625708663926533,,0.0035626535232167974,0.01892735415248332,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.43731815290705117,,0.00020993337322797414,0.006337334563778827,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.2097111110353366,,0.02082188415726354,0.030743067437568175,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.3326043328400936,,0.0014409251203566823,0.012639163825765756,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.5187415878685028,,0.00012316725097467147,0.0057575645045895305,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.29314318022860486,,0.0014023150778885753,0.01098903949351504,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.48316391975272593,,3.191942112745102e-05,0.002729809848296543,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.4241924506285793,,0.0014034681580598757,0.01590822520582714,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.1498503786255575,,0.005710967696741085,0.011373106347181151,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.31054086471199527,,0.002146466700623493,0.014410560113547848,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.3089842237651359,,0.0017582897788656889,0.012973430546996734,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.17845455879889416,,1.5417354110349237e-05,0.000700708833512456,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.29065360300080884,,0.010345845726727207,0.029795388779750968,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.44149211698738605,,0.0003162609282381319,0.007853237937536329,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.2419164945526889,,0.003081302675613866,0.013459784724494805,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.25157450286044253,,0.010523141276004485,0.026012861586253763,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.3335611199944106,,0.0008156449278252859,0.009532170290856005,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.45153657894258875,,0.0005085014086668671,0.010186024046126544,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.41980173124308845,,0.0007201416005107821,0.011271658925733539,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.2621481473720042,,0.0026699232534827333,0.013572729333198185,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.3326768602207911,,0.001313626861908131,0.012069431330810496,,
VWFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.15838574243833511,,0.003869760460158846,0.009881467373667532,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.2528661868399748,,0.002141028757525953,0.011719261900072882,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.21261213718809804,,0.0017245044124972347,0.008840615060019288,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.13684521288580107,,0.006420425795285802,0.011018200220977747,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.37178214055834374,,0.002000212682193812,0.01665247859572855,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_3f0b6c26,0.42201682879811725,,0.002100363965884999,0.019371445139543465,,
