ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.0835867721238456,,7.696147438516924e-10,0.012339094119098712,,
lRSC_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.13613079589072577,,9.608678071788399e-29,0.010703573187376966,,
rV3v_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.2064806449305914,,7.090332734661691e-24,0.016575272500994775,,
lPPA_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.16761105414354874,,1.9276810806713964e-23,0.01428261675493925,,
rIPS0_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.2776063419266544,,3.6045235864796316e-29,0.018052911523653764,,
rMT_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.4610427493548401,,2.0206541047107017e-30,0.019855013246096436,,
lV3v_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.2008877693897305,,1.791790123885854e-20,0.01767548276980851,,
lhV4_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.3223796522989228,,4.7510151936326376e-26,0.018766974573498223,,
rV1v_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.12210621372319427,,8.678237839960292e-20,0.01178378448651199,,
rTOS_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.22230704882918778,,6.680232501719955e-07,0.036971987391132034,,
lFFA_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.23976390046985563,,2.5748088790592263e-27,0.017299399809082253,,
rBA2_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.11192029689752912,,2.1031368831281904e-31,0.008403020946885362,,
rIPS1-2-3_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.20840946457830975,,4.4626600518571735e-24,0.016012886060015944,,
rPPA_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.19876440435395723,,6.027071014430444e-21,0.017461451406763407,,
rV1d_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.20233739588688526,,2.186952683489908e-22,0.01796912873944497,,
lIPS0_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.1985218973167807,,3.094496236136256e-23,0.016008712295893696,,
lBA2_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.14036941918560675,,5.023553610223428e-40,0.00880735642937359,,
lTOS_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.14065262384374796,,0.008269341913270962,0.04378354053759158,,
lPFt_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.2154297494519999,,1.1620243247317669e-31,0.013458086072525475,,
rPFop_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.15270063543406243,,1.162466653857153e-18,0.013935236755654381,,
rPFt_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.22566504977836827,,6.038643963421097e-28,0.015619628976986004,,
rEBA_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.3712229010963996,,2.054131756683441e-33,0.02168367710980917,,
BMDgeneral_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.23364329134260722,,0.0,0.0016036922663350945,,
rV3ab_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.27902134544732676,,1.5484375471736443e-65,0.011507517254729411,,
r7AL_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.17425851006757057,,5.586542686253808e-26,0.012727131966611849,,
lLOC_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.22151689000054486,,2.319707503710999e-143,0.007087982257745597,,
rFFA_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.22270755701188932,,1.6732002159192391e-38,0.014259386984407122,,
lSTS_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.0855108803892965,,8.756701253784907e-12,0.011800494933841894,,
rV2v_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.19916896948996896,,9.279975022379452e-32,0.013622344582375824,,
lV1d_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.22720356918079204,,3.634399783500732e-30,0.0164600829936176,,
rOFA_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.25252912942350175,,2.7980369389056383e-16,0.025056523099751427,,
WB_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.05410296480629628,,0.0,0.0004421556700242174,,
lV3d_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.29044689322938333,,1.9276145096064244e-30,0.01882985637646064,,
lMT_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.37005142623530407,,1.7561789806036317e-17,0.024361486143544536,,
rV2d_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.24295523935951402,,8.620182876720865e-34,0.015854240788890857,,
lV2v_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.17576778230096723,,5.622587261171053e-28,0.013235986615972164,,
lOFA_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.15098906681628782,,2.50050192533061e-05,0.02976092568003374,,
lV3ab_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.22684840303560275,,4.7092788214129836e-35,0.01384914789884804,,
l7AL_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.158890125127522,,2.4443751987593463e-20,0.014202574969317022,,
rLOC_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.3088568178230087,,3.6874185171517605e-183,0.007937044386941167,,
rV3d_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.34662659128980305,,2.0427548189005887e-43,0.014827688621032677,,
rRSC_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.1549937783740583,,6.503880419040453e-54,0.008631556649534619,,
lIPS1-2-3_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.13439674477717461,,5.157866428376302e-16,0.013969291939852071,,
lEBA_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.28124679634854444,,2.5334808436767744e-45,0.01531750685705554,,
rSTS_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.09272183528820686,,8.917031256770575e-35,0.007027408208345732,,
rhV4_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.36777736329297755,,2.7708045295332315e-35,0.0182673468259077,,
lV2d_sub-01,backbone.layer4,resnet50_t=0_gs=224_7d18d6a3,0.3092578502804208,,4.15354479532246e-33,0.01976232222070407,,
