ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.06719010535295669,,5.6016944518244416e-08,0.011474349153761033,,
lRSC_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.13602331462746864,,5.429844648803248e-30,0.010390340690577786,,
rV3v_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.214655303521824,,3.8555554018235522e-28,0.015116736494083217,,
lPPA_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.17753487434660511,,1.9249115461590581e-22,0.015606564889988522,,
rIPS0_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.32996454879913745,,6.996425825063749e-31,0.02038128013949948,,
rMT_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.4612318387322291,,4.528288762103613e-32,0.01844177843972858,,
lV3v_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.1989772588083797,,6.049233568039043e-21,0.017201012451014637,,
lhV4_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.31047236986912014,,1.5026361227196232e-24,0.019279915863059074,,
rV1v_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.13874496837179498,,4.157317355958709e-24,0.011659122083707426,,
rTOS_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.2258312254285763,,1.3356868675373108e-06,0.039019183634956704,,
lFFA_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.2532360550577978,,7.953790818515659e-30,0.016994406553971546,,
rBA2_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.1266370929252284,,2.654374885133758e-35,0.008778648050607069,,
rIPS1-2-3_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.25403710015338155,,2.478552543679214e-26,0.018111161511710338,,
rPPA_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.21728829437094235,,6.036010336059902e-25,0.01666103364743449,,
rV1d_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.24597660386980205,,1.815820061579059e-29,0.01790465439566076,,
lIPS0_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.24464301370547004,,8.49536720603363e-28,0.01705142145225436,,
lBA2_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.13810671671848548,,4.256581180696213e-37,0.009151318163476273,,
lTOS_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.18128698144666863,,0.0005934776027058191,0.03811382869059597,,
lPFt_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.2145338851834452,,2.2491166242257662e-28,0.014732346030298995,,
rPFop_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.1524493714473229,,1.4312481598588955e-17,0.014587737400373203,,
rPFt_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.25343595070918773,,4.166507078027047e-36,0.013952856237651898,,
rEBA_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.3748638852652567,,4.422527394497101e-35,0.02091730355154307,,
BMDgeneral_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.24469360567175738,,0.0,0.0016208504961859622,,
rV3ab_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.299246997023757,,2.5791334986012027e-65,0.012379551219583127,,
r7AL_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.1529149406519085,,1.87131253019576e-18,0.014609717742162449,,
lLOC_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.23787887454284953,,8.370492674209137e-156,0.007159379902838421,,
rFFA_sub-01,backbone.layer4,resnet50_t=0_gs=540_a17729a4,0.23062821240824424,,6.876709319327448e-39,0.014659649887502301,,
