ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.0736624841559447,,3.2380230270595545e-09,0.011381438200438722,,
lRSC_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.147982799929556,,8.709067853265475e-33,0.010630069478728455,,
rV3v_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.2041346780763327,,1.4230472978313294e-24,0.016023467846699727,,
lPPA_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.17794044961009572,,1.3173634971844844e-23,0.015086430995520234,,
rIPS0_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.30630974323369936,,3.6894584770009845e-28,0.02054997215652793,,
rMT_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.4457535695808475,,8.469245338637325e-30,0.019747047772927042,,
lV3v_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.20012543877862637,,3.743245082360428e-22,0.016555508927756677,,
lhV4_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.3061696435068154,,1.8045021081366482e-23,0.019938220630499156,,
rV1v_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.11936565697980141,,1.7664849420295625e-17,0.012534753011064785,,
rTOS_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.22282346071739517,,7.232969760087956e-07,0.037217867324367604,,
lFFA_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.23987201717571238,,1.0303241262167518e-26,0.017621666900671098,,
rBA2_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.11190614488925989,,1.8482769713584562e-28,0.008972545325212657,,
rIPS1-2-3_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.2458448614254294,,2.814984664901378e-25,0.018142322984747234,,
rPPA_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.2135053982721364,,4.095798553226901e-24,0.016818586892917018,,
rV1d_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.24516786102619126,,4.798094987198703e-31,0.017155718640124957,,
lIPS0_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.21608699396503203,,7.738263161289408e-24,0.017075720581242432,,
lBA2_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.1397322289125663,,5.719596125892648e-35,0.009653216682012447,,
lTOS_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.1716295624841444,,0.001488197749449687,0.04087432915222782,,
lPFt_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.2196264189396312,,1.8001964263856964e-30,0.014188737029452593,,
rPFop_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.15274453844311947,,1.5293762015472616e-18,0.01401027859085182,,
rPFt_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.24849293204498693,,1.8203471083811664e-35,0.013913689592881164,,
rEBA_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.3678586528065485,,1.4149150628602676e-33,0.021390843361507796,,
BMDgeneral_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.23866893048592883,,0.0,0.0016022039568761332,,
rV3ab_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.28161793355884995,,7.300375926472166e-66,0.01156238191020028,,
r7AL_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.16249017818509284,,3.235576206654351e-20,0.014489758593254399,,
lLOC_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.22262605148624223,,1.0254984359120211e-150,0.006867452971131439,,
rFFA_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.22014084089006333,,4.4643379542600834e-35,0.015070105328065592,,
lSTS_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.09849610481274193,,2.429787208383169e-14,0.011986826028440964,,
rV2v_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.18094408100348391,,2.326998599866603e-26,0.0142382239401711,,
lV1d_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.22612868579042417,,6.2339453915708624e-30,0.016476959259931503,,
rOFA_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.24141244866800504,,3.688380811142654e-14,0.026699689687291774,,
WB_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.054110290289859954,,0.0,0.0004456431946965514,,
lV3d_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.2887678073636885,,1.3084308847295358e-28,0.019740715201058037,,
lMT_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.34791651009885743,,2.770119625899518e-18,0.02162972766667937,,
rV2d_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.2626260885518283,,1.0837259173543754e-37,0.01569659554932865,,
lV2v_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.15842034810007843,,7.401446750833391e-22,0.014255913456807058,,
lOFA_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.11927047608018357,,0.0007143988957763,0.031236929400077856,,
lV3ab_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.22702258713427184,,1.855111971520887e-33,0.014409694457884547,,
l7AL_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.14301901467974631,,1.5345111785613953e-14,0.01633260484708778,,
rLOC_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.3038603250398783,,3.631537024709284e-189,0.007600269721767329,,
rV3d_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.3436784660143284,,3.5314546773412805e-40,0.016017212326948634,,
rRSC_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.1683147404407569,,4.343638766431096e-57,0.009013987535798636,,
lIPS1-2-3_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.1715778379696556,,1.5650711085220778e-19,0.015312571124588331,,
lEBA_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.2886259523297649,,4.125301957488804e-46,0.015500290452654568,,
rSTS_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.12006709727173659,,1.2304352291240406e-51,0.00713737145278335,,
rhV4_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.36410626109583155,,1.319741691930556e-34,0.018469429753066865,,
lV2d_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.29192900822772844,,9.505610312536108e-30,0.020344634057742568,,
lV1v_sub-01,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.20458769629096815,,7.249508280910792e-28,0.015940401133777645,,
lV1v_sub-02,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.17192678494100164,,2.246042466734203e-38,0.01057462800528009,,
lhV4_sub-02,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.23863945305545045,,9.177241687094615e-17,0.021472336308604824,,
lSTS_sub-02,backbone.layer4,resnet50_t=10_gs=224_5d5349d5,0.1071070528305383,,6.1716398916189396e-18,0.01127660667056281,,
