ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.07572107272017782,,7.573208287369966e-09,0.012036306838635468,,
lRSC_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.12884539359059438,,4.0129612001836285e-28,0.010281384293179792,,
rV3v_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.19452610292577657,,6.278795770044575e-21,0.01726238765269479,,
lPPA_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.1661482207132709,,1.0136867092205615e-23,0.014037980411514571,,
rIPS0_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.29322711949566477,,5.911762087282163e-28,0.01979845087433541,,
rMT_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.43074174322019626,,1.7153679366958872e-29,0.01935067615965955,,
lV3v_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.19342343164012837,,5.380715826417188e-21,0.01668937468651057,,
lhV4_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.3082812979370762,,7.64087390397579e-22,0.02160768607508602,,
rV1v_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.1065981083676484,,1.2136990234400447e-13,0.013201004465320333,,
rTOS_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.21080944465910528,,1.4721861256028408e-06,0.036623690078902184,,
lFFA_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.23593326781212182,,8.586896732124595e-26,0.017825443754832332,,
rBA2_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.12083256196150396,,1.0508028728620211e-31,0.009013920632647823,,
rIPS1-2-3_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.2303597291050546,,1.7426241984141e-24,0.017455645052108084,,
rPPA_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.21438623691344455,,2.9548384453270994e-25,0.01627642097331838,,
rV1d_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.2235405623241891,,1.9712870117357256e-23,0.019224422980855672,,
lIPS0_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.20554668534481615,,1.4427950527429029e-24,0.015856144928929786,,
lBA2_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.14450712107465513,,3.518778256950483e-37,0.009560280004058687,,
lTOS_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.17257394168812404,,0.0007043159222821193,0.03710733753882217,,
lPFt_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.1950874271575404,,6.781859259399844e-26,0.014452686704015172,,
rPFop_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.14598834777052433,,5.117896521595663e-19,0.013123436497057996,,
rPFt_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.25057237447820824,,6.0915648790999954e-33,0.015019487570142882,,
rEBA_sub-01,backbone.layer4,resnet50_t=15_gs=112_43bd0d1f,0.3454743224466002,,2.617963791159457e-31,0.021416834170919965,,
