ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.07588146410218984,,7.567602285740052e-10,0.011195832398232042,,
lRSC_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.14282458048423502,,2.66568244937054e-30,0.01083365280276468,,
rV3v_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.20053080213114627,,1.5103400513334137e-23,0.01627113431970396,,
lPPA_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.17526051463417133,,1.6812765827649342e-23,0.014907330675456873,,
rIPS0_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.3104122405610337,,3.17038031119437e-29,0.020151981007098467,,
rMT_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.46411787898615636,,2.264344908264264e-30,0.020032285808821156,,
lV3v_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.19867174730727558,,2.4414401319512883e-21,0.016926720531848245,,
lhV4_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.30085235812043964,,2.604639949879879e-22,0.020640871345910368,,
rV1v_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.11795611258488851,,9.405203900486212e-18,0.012257393214620648,,
rTOS_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.21839957994405457,,1.1654207205176444e-06,0.037448551425767904,,
lFFA_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.2522821490438034,,3.1216855612125736e-29,0.01721698986563241,,
rBA2_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.1141774579424421,,3.833168909308605e-28,0.009222643547463591,,
rIPS1-2-3_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.2499663425359315,,3.386765553966886e-27,0.017335124862310522,,
rPPA_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.21458383936322595,,1.967310070556912e-24,0.016728606555117917,,
rV1d_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.22605093140269272,,1.4476710748812461e-27,0.01729037842644828,,
lIPS0_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.2244554828919527,,4.9561362094322724e-26,0.016520244321653568,,
lBA2_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.14521507711013917,,7.698151680242065e-36,0.00986006990615299,,
lTOS_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.15854241671333894,,0.00347595326023255,0.04280046731454737,,
lPFt_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.20278341948824996,,4.67569529818612e-25,0.015429235498102628,,
rPFop_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.15147366043654467,,3.5580027888702674e-17,0.014753450210306326,,
rPFt_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.2601525459745047,,2.0708055328487178e-36,0.014209165345474244,,
rEBA_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.3786077709154727,,1.4189291980746726e-34,0.02141923573334548,,
BMDgeneral_sub-01,backbone.layer4,resnet50_t=15_gs=224_cd2666e8,0.23737505058952973,,0.0,0.0016128109507267197,,
