ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.08287571386156155,,5.146890536944142e-10,0.012084820529807656,,
lRSC_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.13856102553175578,,1.1937284477477745e-29,0.010667378771047023,,
rV3v_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.20334790671419606,,6.704939814214971e-25,0.015797183963106413,,
lPPA_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.180882695431854,,3.7903829387852126e-24,0.015087338649327636,,
rIPS0_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.2936833245189614,,1.1123571979383403e-27,0.020000814164810497,,
rMT_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.4572949519174575,,3.51511440580509e-29,0.020838441710985183,,
lV3v_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.19030861806159996,,1.0703614769737894e-21,0.016003955638203563,,
lhV4_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.2881603279583681,,7.965883191400883e-24,0.018472376027949867,,
rV1v_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.12422970021940434,,1.5218243039771913e-18,0.012533166272781303,,
rTOS_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.21636712330543617,,1.844536510250089e-06,0.038073578173556194,,
lFFA_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.23627039664861404,,4.2872555709587725e-27,0.01716006219628993,,
rBA2_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.12094733705514406,,4.4853983143693016e-34,0.008590906231571709,,
rIPS1-2-3_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.24412003987461336,,2.1178345765000775e-26,0.017365829124399716,,
rPPA_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.21755319755089417,,7.00443260515908e-26,0.016194179580549188,,
rV1d_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.23308215620933662,,7.917791788863069e-29,0.017246714386228032,,
lIPS0_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.2097825922125474,,3.9558194196916885e-24,0.0164177855778706,,
lBA2_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.1363605679074958,,1.9865450538624737e-35,0.009334442122064232,,
lTOS_sub-01,backbone.layer4,resnet50_t=15_gs=224_d82be553_center_crop,0.1699562280526428,,0.0009498464984469983,0.03803757888677955,,
