ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.layer4,resnet50_t=15_gs=336_285293e6,0.08040064135033415,,5.419471398054574e-10,0.011742256563359723,,
lRSC_sub-01,backbone.layer4,resnet50_t=15_gs=336_285293e6,0.13643067149020477,,5.161297065792673e-31,0.010184752869639267,,
rV3v_sub-01,backbone.layer4,resnet50_t=15_gs=336_285293e6,0.19441234379864542,,7.07483281870056e-24,0.01560600554556021,,
lPPA_sub-01,backbone.layer4,resnet50_t=15_gs=336_285293e6,0.1651434623658094,,2.680783628556715e-21,0.015064310479367004,,
rIPS0_sub-01,backbone.layer4,resnet50_t=15_gs=336_285293e6,0.2994359535410964,,5.942588071435942e-27,0.020868725590218035,,
rMT_sub-01,backbone.layer4,resnet50_t=15_gs=336_285293e6,0.4496248922191862,,1.2075403878842257e-29,0.020058912556889,,
lV3v_sub-01,backbone.layer4,resnet50_t=15_gs=336_285293e6,0.18297047012826576,,6.844193503078524e-22,0.015279292069658933,,
lhV4_sub-01,backbone.layer4,resnet50_t=15_gs=336_285293e6,0.2869737695651546,,1.3742033441616464e-21,0.020352053414783557,,
rV1v_sub-01,backbone.layer4,resnet50_t=15_gs=336_285293e6,0.12199830458099328,,3.236310136048878e-19,0.012012522216414549,,
rTOS_sub-01,backbone.layer4,resnet50_t=15_gs=336_285293e6,0.2164069286012093,,1.5216103666488333e-06,0.03766631061060267,,
lFFA_sub-01,backbone.layer4,resnet50_t=15_gs=336_285293e6,0.2465558561156443,,1.0249793236812596e-27,0.017580420638510397,,
rBA2_sub-01,backbone.layer4,resnet50_t=15_gs=336_285293e6,0.12046950220171601,,5.449813648647178e-32,0.008932642803349019,,
rIPS1-2-3_sub-01,backbone.layer4,resnet50_t=15_gs=336_285293e6,0.24339597976414876,,2.4606278463452447e-26,0.017350754215137515,,
rPPA_sub-01,backbone.layer4,resnet50_t=15_gs=336_285293e6,0.20080515172897972,,6.826143044757383e-23,0.016476904245831276,,
rV1d_sub-01,backbone.layer4,resnet50_t=15_gs=336_285293e6,0.23068541931554704,,2.852374408366081e-29,0.016875850989382678,,
