ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.layer4,resnet50_t=15_gs=448_17b581f6,0.07284362266374357,,1.3883671871969683e-09,0.010952695993604116,,
lRSC_sub-01,backbone.layer4,resnet50_t=15_gs=448_17b581f6,0.13132327878764372,,4.9532370598270847e-29,0.010256056657850492,,
rV3v_sub-01,backbone.layer4,resnet50_t=15_gs=448_17b581f6,0.19295267605650476,,1.0735840785570055e-25,0.014621839671976842,,
lPPA_sub-01,backbone.layer4,resnet50_t=15_gs=448_17b581f6,0.16895137711669372,,4.53219860294901e-23,0.014562501355034225,,
rIPS0_sub-01,backbone.layer4,resnet50_t=15_gs=448_17b581f6,0.29480999966178667,,2.5821694207931735e-26,0.020972709405718305,,
rMT_sub-01,backbone.layer4,resnet50_t=15_gs=448_17b581f6,0.4619433455467411,,1.0895232089060044e-30,0.01965373962358251,,
lV3v_sub-01,backbone.layer4,resnet50_t=15_gs=448_17b581f6,0.17212253436251035,,8.697124027741996e-20,0.01554672125414049,,
lhV4_sub-01,backbone.layer4,resnet50_t=15_gs=448_17b581f6,0.28643718623224285,,1.7933013815569505e-23,0.01865097085616004,,
rV1v_sub-01,backbone.layer4,resnet50_t=15_gs=448_17b581f6,0.1287361668553031,,3.307796018577487e-22,0.011466673232840268,,
rTOS_sub-01,backbone.layer4,resnet50_t=15_gs=448_17b581f6,0.22455520780151964,,5.20547539447574e-07,0.03684860652149476,,
lFFA_sub-01,backbone.layer4,resnet50_t=15_gs=448_17b581f6,0.23746424876876573,,5.80569867313578e-27,0.01731478144229009,,
rBA2_sub-01,backbone.layer4,resnet50_t=15_gs=448_17b581f6,0.10502845912372546,,2.638737505102636e-30,0.008076364396246146,,
rIPS1-2-3_sub-01,backbone.layer4,resnet50_t=15_gs=448_17b581f6,0.24292260424667547,,1.0102094711250382e-27,0.016570211678840922,,
rPPA_sub-01,backbone.layer4,resnet50_t=15_gs=448_17b581f6,0.20571016573226208,,2.5510646872480186e-25,0.015586077514787787,,
rV1d_sub-01,backbone.layer4,resnet50_t=15_gs=448_17b581f6,0.24313837378236822,,6.360130850137756e-34,0.01588705695284119,,
lIPS0_sub-01,backbone.layer4,resnet50_t=15_gs=448_17b581f6,0.21207417751659316,,2.1517357570299644e-24,0.01645303154952871,,
