ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.0656907917804416,,5.626207533793278e-09,0.010337467350501974,,
lRSC_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.11704827219461991,,1.4589847983298677e-24,0.010222033609072966,,
rV3v_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.1910795276776288,,3.5329696117280376e-23,0.01569412846742973,,
lPPA_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.16702759486634772,,3.4879922136884784e-22,0.014804035012981073,,
rIPS0_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.28927751722224904,,1.2918473663483328e-26,0.0203800775412538,,
rMT_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.45085191968033606,,3.944076484685746e-30,0.019673655819541683,,
lV3v_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.17774181837815115,,1.4127412748934227e-20,0.015578244492191522,,
lhV4_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.2793998136589388,,9.747554959463567e-23,0.018801816331009098,,
rV1v_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.1277921574899767,,1.3605195890207698e-21,0.011608529634898954,,
rTOS_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.21531413637726535,,1.7497457181133444e-06,0.03777439979744164,,
lFFA_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.2328703899366955,,5.97312623397126e-27,0.016986097107101104,,
rBA2_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.10257658645959887,,2.0830054765553133e-27,0.008431362534522644,,
rIPS1-2-3_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.22617363059613838,,3.998180812033406e-23,0.017959675278858875,,
rPPA_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.20990459009290216,,1.435439177921163e-25,0.01577863048629255,,
rV1d_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.2367394217272964,,4.3569284966130504e-32,0.016152340987518853,,
lIPS0_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.2077861883843396,,1.5337214649263583e-23,0.016584037854073464,,
lBA2_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.1202115711071095,,4.3381280545316715e-32,0.00881473046324156,,
lTOS_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.16347829646292683,,0.0015288387734429996,0.0390817583216436,,
lPFt_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.1697174101684678,,1.2116902866680369e-23,0.013526144140081816,,
rPFop_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.13686510065537455,,1.5493062747027761e-16,0.01372644180253706,,
rPFt_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.22902878094484866,,1.0470278285593896e-35,0.01274265710727131,,
rEBA_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.3610310952025533,,1.8163292399536862e-32,0.021654636566200983,,
BMDgeneral_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.22090464587559333,,0.0,0.0015612826921032501,,
rV3ab_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.2746159533434253,,1.8649645922108152e-64,0.01149697324172508,,
r7AL_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.13787136546163054,,2.728622017861413e-16,0.01444058381292396,,
lLOC_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.20680501460234646,,2.2753643037194256e-139,0.006753589294016804,,
rFFA_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.20350224186794674,,9.154989302778254e-32,0.014933357827844804,,
lSTS_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.09165719765250539,,6.768865595308494e-14,0.01138256313769611,,
rV2v_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.18729780161559703,,3.818394095302993e-30,0.0133336681214952,,
lV1d_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.21750873545512225,,1.3948496537370628e-30,0.015598487903828954,,
rOFA_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.23100330332603838,,2.6248143119392023e-14,0.025346258505688116,,
WB_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.04846360660330018,,0.0,0.00043104089448861506,,
lV3d_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.27488881989290803,,4.569115145694581e-28,0.019097192644423888,,
lMT_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.348781831450687,,1.048241206334361e-18,0.02104678516676628,,
rV2d_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.24333695219536658,,3.4041842537266835e-39,0.014080962028812736,,
lV2v_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.16429588696689615,,6.302012544000422e-25,0.013464611723550624,,
lOFA_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.11738165208294345,,0.00046127471231439086,0.029460710296065395,,
lV3ab_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.2155006397646833,,5.0689893186278625e-33,0.013827482078936857,,
l7AL_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.12203578789471697,,1.2806031589839937e-12,0.015389551673993567,,
rLOC_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.29350789892493273,,2.410990015914393e-181,0.007605251120469256,,
rV3d_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.31539255779152686,,4.595704829750917e-38,0.015568000202477771,,
rRSC_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.1508217185179072,,2.545397198324276e-50,0.00879829091348074,,
lIPS1-2-3_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.14687035237579835,,1.9570254669663606e-17,0.014315367050098489,,
lEBA_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.2755010215180456,,3.6346869995903127e-44,0.015321046174830044,,
rSTS_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.11505725094101242,,3.378519716789854e-52,0.006792958314287586,,
rhV4_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.33718637440614435,,2.2119497308047416e-30,0.019579979982768357,,
lV2d_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.27483248053926346,,9.05084961017999e-30,0.01914228074819248,,
lV1v_sub-01,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.1901009582445559,,7.406979852982452e-27,0.015201831846226536,,
lV1v_sub-02,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.15112704764725593,,8.963358368510698e-31,0.010966814495917772,,
lhV4_sub-02,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.21621615484248521,,4.0171569868713324e-16,0.020136970059389837,,
lSTS_sub-02,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.12460100111599118,,1.353512665370792e-23,0.010928244774210295,,
lBA2_sub-02,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.01803488172486759,,0.004534033974540223,0.006296841081435471,,
rPPA_sub-02,backbone.layer4,resnet50_t=15_gs=540_9c26c08e,0.15997427864511937,,1.5979359091672383e-19,0.014817193728278876,,
