ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.08192772456802568,,1.051077195436382e-10,0.011402475519784077,,
lRSC_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.14039603539029105,,1.3058512343985902e-31,0.010343918958175456,,
rV3v_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.1935297240776367,,2.233923122530758e-22,0.01632868363048764,,
lPPA_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.1742598126215321,,1.4567973882734455e-22,0.015260170106264882,,
rIPS0_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.30419598634602,,7.218288441477406e-28,0.020594917182189008,,
rMT_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.4615468164622893,,2.2177704662062197e-30,0.019913165379786272,,
lV3v_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.1999681315098374,,3.414197376384812e-21,0.017128585848763006,,
lhV4_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.30895453543618223,,4.259473536629112e-22,0.021404329793829002,,
rV1v_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.11771297267763045,,1.1633821133783267e-17,0.012275330338984232,,
rTOS_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.22202473555631091,,6.366759743861215e-07,0.03682929992782533,,
lFFA_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.24265264318434948,,2.100054207492069e-28,0.01695795321283548,,
rBA2_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.11150619707025779,,3.330210241403841e-30,0.00859366517409825,,
rIPS1-2-3_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.24054027678939346,,8.422741370284136e-26,0.0174474764287787,,
rPPA_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.21374842645901468,,6.835906255996808e-25,0.016418063360530148,,
rV1d_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.2293525952938804,,5.123497311580005e-27,0.017803894594426266,,
lIPS0_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.2111968818223113,,2.3504012617475543e-24,0.01640563991059774,,
lBA2_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.12816682035625837,,1.7113262630799847e-32,0.009317543404212996,,
lTOS_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.16677190327208316,,0.0031931288964580614,0.04443672089690996,,
lPFt_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.19498981677394414,,1.2006992695889624e-26,0.014110395331174018,,
rPFop_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.14051244398364035,,7.01280897263696e-17,0.013870390875444874,,
rPFt_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.2372679899750005,,7.022122076599953e-34,0.013862090314619676,,
rEBA_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.37440889005548417,,8.692233834425397e-34,0.02164462774104836,,
BMDgeneral_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.2331470866581984,,0.0,0.0015960527998769326,,
rV3ab_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.27351585491257696,,1.254103080065188e-61,0.011916687201147115,,
r7AL_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.1475011295776449,,3.030217625089087e-17,0.014818965716099768,,
lLOC_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.21609809918307862,,6.453818568631745e-147,0.006792277353643765,,
rFFA_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.21325520510421217,,4.047926073485942e-34,0.01488701232233924,,
lSTS_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.09182332474028278,,7.260280877712114e-13,0.011980111489669782,,
rV2v_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.17746114120220768,,2.7406244650271033e-25,0.014392742916596325,,
lV1d_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.2119214529197474,,1.932552623043929e-26,0.016898055316933454,,
rOFA_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.23755455811030354,,1.9430646766891624e-14,0.02588396960454107,,
WB_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.05326936740951433,,0.0,0.00044050722445547675,,
lV3d_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.2917404279486426,,3.4258723888770726e-29,0.019606487452914264,,
lMT_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.35677691504435477,,1.513371604148234e-19,0.020300534024024125,,
rV2d_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.25040623713672505,,5.762698139057475e-35,0.015903429730497753,,
lV2v_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.15250387741584792,,1.448317406109616e-20,0.014319015012388367,,
lOFA_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.11032123001239484,,0.0026606188675740937,0.03334150701323196,,
lV3ab_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.22036570784663026,,9.232536617977744e-32,0.014596690417647122,,
l7AL_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.13740699761946837,,1.535721245905109e-14,0.01569198015799982,,
rLOC_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.304749264539681,,3.201651771262792e-190,0.007586757822776419,,
rV3d_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.3385730574817661,,9.110027727513459e-40,0.015955127095237352,,
rRSC_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.16432689593239042,,7.000907900455046e-54,0.009154999996912282,,
lIPS1-2-3_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.16431446852169468,,1.911686745115529e-19,0.014715970299569794,,
lEBA_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.2844791358375911,,1.3993155408362235e-45,0.01542233518763958,,
rSTS_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.12098792541887418,,1.6617189008832556e-54,0.006949419845940704,,
rhV4_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.3536028615010266,,7.180352748345461e-34,0.018354252162710145,,
lV2d_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.29530526909273974,,6.968857994731537e-31,0.019972613877619696,,
lV1v_sub-01,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.19162850381322308,,9.73866052097162e-24,0.016692153653873693,,
lV1v_sub-02,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.16731398981362872,,5.5620712553257765e-37,0.010588539337357783,,
lhV4_sub-02,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.2278053762266683,,6.172959498919064e-16,0.02143357918905055,,
lSTS_sub-02,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.10342361222876424,,2.5678615263130797e-17,0.011141481051148365,,
lBA2_sub-02,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.032822436003616506,,1.8418665972851741e-06,0.006719304900135395,,
rPPA_sub-02,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.18559533480990148,,3.1102950996983238e-21,0.016136592189241655,,
rV2d_sub-02,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.2533252765904543,,3.4609240995497895e-39,0.01466118562957921,,
rV1v_sub-02,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.2184424026536197,,2.6977672802144363e-30,0.01551219318586717,,
lV3d_sub-02,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.22463820239537305,,2.6274248406926182e-23,0.018141617258294475,,
rEBA_sub-02,backbone.layer4,resnet50_t=20_gs=224_c1c4f699,0.3634524543028734,,8.104513253103978e-32,0.022205146423981664,,
