ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.09435337722205214,,1.1128076440709974e-12,0.011648443043697573,,
lRSC_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.14624027469524237,,1.0316305074134473e-31,0.01075045134008786,,
rV3v_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.20047499481342007,,9.117181618541897e-25,0.015639860035197267,,
lPPA_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.18056078627271366,,1.0965187618172033e-23,0.01527152080970897,,
rIPS0_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.30027425773096106,,3.4005494196505316e-28,0.020122848954147236,,
rMT_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.447583342310479,,5.442201566945401e-30,0.01965553547952806,,
lV3v_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.1918070907811241,,6.425727695280244e-21,0.0165973336809905,,
lhV4_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.3094114851474797,,3.646116884975793e-24,0.01954041426674906,,
rV1v_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.11875686877240856,,1.5128628131148545e-17,0.012438514108047976,,
rTOS_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.21434120896817682,,8.984110587870247e-07,0.03622751187518327,,
lFFA_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.24619454744468552,,4.7876031042374226e-27,0.017906455649603043,,
rBA2_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.11663360045248285,,1.639693214862073e-32,0.008553995066850742,,
rIPS1-2-3_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.2391546711397198,,1.177516558761654e-25,0.01742983260457684,,
rPPA_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.21669615901803316,,9.630748852279752e-25,0.01672441651648955,,
rV1d_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.23931109386422644,,4.216252441580921e-31,0.016722844029201708,,
lIPS0_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.21477020083335355,,6.501115831286229e-24,0.01692892409777944,,
lBA2_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.12369288137696718,,1.5134158422909058e-32,0.00898213323437952,,
lTOS_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.1780959269619661,,0.001244263465432605,0.04136383344330511,,
lPFt_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.20372037717526875,,8.684424138774823e-28,0.014237696740956833,,
rPFop_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.15244540118930922,,5.647523040548024e-18,0.014330043005486154,,
rPFt_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.24191268797324564,,1.987651409852417e-33,0.0143083291546753,,
rEBA_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.37131561860400575,,9.841693808630982e-34,0.021497830352746113,,
BMDgeneral_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.23357886989761129,,0.0,0.0016090282728369752,,
rV3ab_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.2719166775075783,,2.1415616851378706e-64,0.011393501365716366,,
r7AL_sub-01,backbone.layer4,resnet50_t=25_gs=224_746398df,0.14383672932728145,,9.608451515686869e-17,0.014766877932310959,,
