ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.08728876201257436,,1.5978070179813926e-10,0.012295450085963241,,
lRSC_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.1468956250709929,,4.381315578602649e-31,0.01094869498706266,,
rV3v_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.2187892185925351,,5.542704869030047e-27,0.015943475945383496,,
lPPA_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.18308388407679627,,1.8891467026031626e-24,0.01513392729720206,,
rIPS0_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.30818543725404474,,3.6289035551594466e-29,0.0200432811844629,,
rMT_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.4669573040483211,,1.8650155139416052e-31,0.01919242152517652,,
lV3v_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.20368544905031905,,1.7737645694716287e-23,0.01608636528600091,,
lhV4_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.3110959252006205,,1.3557332889828851e-24,0.019281051487551975,,
rV1v_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.13546165386164713,,1.0972768664467295e-21,0.012268147360698298,,
rTOS_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.2337241797250821,,2.5459181133034117e-07,0.03694037647441451,,
lFFA_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.2538697380661661,,9.562842353865145e-29,0.017567861886863198,,
rBA2_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.12050820956652267,,1.4046301544176128e-31,0.009013917537403479,,
rIPS1-2-3_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.2478730827732764,,5.989855230248332e-26,0.017892708666753944,,
rPPA_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.22501562407146417,,1.8482482702436821e-25,0.016973314765138303,,
rV1d_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.2592823693621856,,2.332741694281809e-33,0.017165708175727084,,
lIPS0_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.22523392970023295,,9.935382211283809e-24,0.017863205354869457,,
lBA2_sub-01,backbone.layer4,resnet50_t=5_gs=224_4c8ea8ae,0.14602164598198514,,8.736298317762678e-36,0.009925559238193854,,
