ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.081547471674178,,1.959778385375656e-10,0.011555020270400677,,
lRSC_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.15851569479456856,,9.869261807048553e-32,0.011647959056370873,,
rV3v_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.21267571183816972,,4.933153507750832e-25,0.016452598880368773,,
lPPA_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.1938809178358647,,1.1714074164300064e-26,0.015042093692910926,,
rIPS0_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.29593887632948335,,9.306023042040637e-31,0.0183468243971805,,
rMT_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.4639127236684787,,3.729556000786641e-29,0.021164928396971375,,
lV3v_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.20528467798526553,,1.142209868616349e-24,0.015572947323064846,,
lhV4_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.29301110273249736,,2.7671638153408133e-24,0.018407709954017432,,
rV1v_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.13102432763699415,,9.043145770357823e-20,0.012652287846153519,,
rTOS_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.2282572587408547,,9.883611992022143e-08,0.03439311441308006,,
lFFA_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.24013210481373248,,7.238633028229343e-29,0.016559632157186803,,
rBA2_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.1318078583216578,,9.02231165915318e-35,0.00923313587661894,,
rIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.24633016106834468,,5.222018556891235e-30,0.015666920738180733,,
rPPA_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.2038654780087986,,8.120702661151904e-20,0.01867305595076133,,
rV1d_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.23607647220354427,,5.451866583699743e-27,0.01833925686400801,,
lIPS0_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.20728467671737408,,3.055707352368725e-26,0.015156115402915782,,
lBA2_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.15021186373935205,,4.6433102302166076e-39,0.009592894381375732,,
lTOS_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.1696397722947296,,0.0008370426075976734,0.03732491074739664,,
lPFt_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.22790938325914992,,6.107170917166796e-32,0.014127387926785598,,
rPFop_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.14978299758383662,,1.2615654074204432e-20,0.012608142018161145,,
rPFt_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.25376666975859247,,2.759964780248303e-30,0.016392401374925578,,
rEBA_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.37320263390978975,,9.951343674120391e-31,0.023526948003398534,,
BMDgeneral_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.24365864047780703,,0.0,0.0016205970177593759,,
rV3ab_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.2741076027476656,,5.158809274383058e-69,0.010781222984632981,,
r7AL_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.1843091632071535,,5.869492316386864e-24,0.014383810056308123,,
lLOC_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.23849737574692795,,1.3314973039808588e-157,0.007116649681171146,,
rFFA_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.22494566927265852,,1.5403012643060105e-35,0.015256547510524878,,
lSTS_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.09806450794999169,,8.146747007257203e-14,0.012223716567243107,,
rV2v_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.2100835498480357,,2.3753649925802717e-32,0.014164410076176847,,
lV1d_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.24539435531209117,,1.26885104743549e-34,0.0160196871723431,,
rOFA_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.2609286579666987,,3.8066489472942624e-16,0.026059471312389577,,
WB_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.05959730719192394,,0.0,0.0004502916265511193,,
lV3d_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.3000608574335966,,1.0824582918098406e-31,0.018781232240278774,,
lMT_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.37921994613351034,,4.587847621079744e-18,0.023945519652926354,,
rV2d_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.24920907095366696,,2.5272978342827067e-31,0.017250967558953244,,
lV2v_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.18563334231157158,,2.738514839012869e-31,0.012843529937535802,,
lOFA_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.14833536497623862,,0.0007880458167570814,0.03923372875867601,,
lV3ab_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.21168310748360947,,5.034252011117512e-34,0.01325005667203933,,
l7AL_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.1486713550318457,,1.4902406689887632e-15,0.016184857004028375,,
rLOC_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.3153519141790047,,8.66809052797071e-180,0.008229689983467575,,
rV3d_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.34258125584090465,,6.654174231751642e-41,0.01565914746053156,,
rRSC_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.1837146604822965,,1.5129051980623035e-61,0.00933792907700224,,
lIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.1594760575837912,,8.067175783480473e-18,0.015286107200446463,,
lEBA_sub-01,backbone.blocks.11,vit_base_t=0_gs=112_a69d99e4,0.30110638644284266,,3.9524667162969704e-47,0.015883268700579205,,
