ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.08570821357374434,,3.507639718183e-11,0.011568883537132904,,
lRSC_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.15167176828598433,,3.3420195385000576e-30,0.011530327281510199,,
rV3v_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.22120980520347827,,3.928149231568892e-26,0.01653974564268819,,
lPPA_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.1960038670901054,,1.6163100002308554e-26,0.015266185323943152,,
rIPS0_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.31571773495571465,,1.6872432766638563e-29,0.020326255478031748,,
rMT_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.47711902506319886,,1.0247769265305865e-30,0.02027500142614822,,
lV3v_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.22203586259316876,,3.269641249859511e-23,0.017696952571387026,,
lhV4_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.33722536466688324,,1.468345249037876e-23,0.02187342834273772,,
rV1v_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.14635489466911822,,8.69001401547079e-22,0.013211545164065516,,
rTOS_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.23426044200892496,,1.7459720461163215e-07,0.036317799065164295,,
lFFA_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.24538902638041363,,4.08704938233482e-28,0.01729386195152101,,
rBA2_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.139361626605299,,5.971103413323701e-39,0.009019149864188987,,
rIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.24290288614259434,,3.097312152856667e-26,0.01737162837234949,,
rPPA_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.20076471133037369,,1.3211490804858957e-19,0.018536871353369164,,
rV1d_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.24117064039355332,,8.769475890502023e-27,0.018840478233969105,,
lIPS0_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.24708580180101183,,2.0271030091291384e-28,0.016902858847205358,,
lBA2_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.14551578426805437,,1.5385256460535812e-39,0.009211445032025251,,
lTOS_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.1695382562973764,,0.001657601728900077,0.040999319192600324,,
lPFt_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.2460131846455715,,1.5308831722110373e-32,0.014998494489968175,,
rPFop_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.1503001812898853,,1.577145731937086e-17,0.014409069775392169,,
rPFt_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.2646002486821447,,3.6820915937623484e-33,0.015765334452051426,,
rEBA_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.38081762442908484,,5.475072999998297e-32,0.02315350765492536,,
BMDgeneral_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.25376754299531656,,0.0,0.0016573741899684716,,
rV3ab_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.29921819431050267,,1.404041567082852e-71,0.011372737569083125,,
r7AL_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.1749131289270907,,1.29550838781748e-21,0.014812200960592341,,
lLOC_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.24341067501541427,,4.920326837526871e-161,0.007146487744247361,,
rFFA_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.23506226339775405,,2.346950135318083e-37,0.015383498826111053,,
lSTS_sub-01,backbone.blocks.11,vit_base_t=0_gs=224_3567adad,0.09460291382984859,,3.7067441674711013e-13,0.012166782404307528,,
