ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.0834478188071751,,4.461605295313866e-10,0.012115879304973225,,
lRSC_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.13743289462217,,2.294614977075643e-28,0.01090318159260803,,
rV3v_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.21427130826549967,,1.4974421117780398e-24,0.016830999881733755,,
lPPA_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.1917862063940733,,7.607114579296824e-25,0.015669696520175934,,
rIPS0_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.3154073020805061,,1.9833576984564015e-29,0.020349628329097813,,
rMT_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.4784121010594799,,1.6510777279434114e-29,0.021475944685127434,,
lV3v_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.21052058492252554,,1.1167306836019724e-24,0.015964941513265326,,
lhV4_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.2969389663866279,,3.0927329187588077e-21,0.021406082208251756,,
rV1v_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.12037906920895626,,7.735804713547182e-18,0.01246888693650552,,
rTOS_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.23787011257392615,,4.0141236487598156e-07,0.03849897910604017,,
lFFA_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.23215087922520786,,7.047538317817453e-26,0.017493402456385587,,
rBA2_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.1270203007371172,,7.63247471179373e-36,0.008712996463609617,,
rIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.2442548386032942,,9.49663170058944e-25,0.018345026909617517,,
rPPA_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.21734756819413872,,2.426722994464886e-22,0.018174346569883655,,
rV1d_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.23441921420285378,,1.5704467461117393e-25,0.01896140427877455,,
lIPS0_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.2357034165001608,,8.356091239902696e-28,0.016424773975218035,,
lBA2_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.13066146978291107,,1.2021160477165277e-36,0.008733456790659146,,
lTOS_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.18553883649122926,,0.0015585796711610025,0.04447698050695695,,
lPFt_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.22280194858123986,,3.2087443086550164e-31,0.014091734908674105,,
rPFop_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.13620914289048827,,3.755643257347543e-18,0.012705381694173233,,
rPFt_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.21629410292375262,,4.77952124509464e-30,0.01406845605821582,,
rEBA_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.384044662125661,,1.1227115229880707e-31,0.023558226918826315,,
BMDgeneral_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.24268155457500434,,0.0,0.0016490606797125154,,
rV3ab_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.2962665285656747,,3.523780378242472e-72,0.01117162160857052,,
r7AL_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.14765761047010453,,2.204340575741294e-18,0.014148195326167772,,
lLOC_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.22988860331528221,,3.193064267144606e-154,0.006971688091581879,,
rFFA_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.22643400649852802,,1.0402164359860461e-36,0.01500607188130139,,
lSTS_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.1016456905675869,,6.8724632887197614e-15,0.012075071201427758,,
rV2v_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.21781941156808032,,3.889745754985238e-33,0.014413034155635468,,
lV1d_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.22882218890395215,,1.0917684073696637e-29,0.016773962753922764,,
rOFA_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.2638379397495223,,7.1921138948135635e-16,0.026711210425959864,,
WB_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.05754756233154519,,0.0,0.00044984945915377717,,
lV3d_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.2986007118302381,,4.085910671807681e-30,0.01953947308517564,,
lMT_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.40441531291108335,,2.0576765178844914e-18,0.024913436910061943,,
rV2d_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.2648988296647717,,8.338712050989778e-35,0.01688568072838987,,
lV2v_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.19802975874083215,,7.148561589624877e-31,0.01384310318397761,,
lOFA_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.14836543619766954,,0.00013604802488588995,0.033395102181535574,,
lV3ab_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.23438208097492635,,1.0423069753959181e-35,0.014086645908656248,,
l7AL_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.15495000943437073,,1.726634004691178e-15,0.016918095210716112,,
rLOC_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.3241105312871356,,4.809650889736432e-185,0.008258224390114654,,
rV3d_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.3623531724932591,,5.5782328440929417e-42,0.016096139926230914,,
rRSC_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.17175509987582913,,2.103268211589098e-58,0.00905482534000043,,
lIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.1720970338343898,,2.778307926585375e-19,0.015514986623708421,,
lEBA_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.29335055736166893,,4.561226440576557e-45,0.016050041612080772,,
rSTS_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.12696728448306124,,8.649359238501491e-54,0.007354590334035376,,
rhV4_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.36545193164245016,,3.002505235868992e-34,0.01874542262176958,,
lV2d_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.3178666774193414,,2.977891514969783e-35,0.019273040280330455,,
lV1v_sub-01,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.20658870301602875,,9.631196046341727e-26,0.017016547190920776,,
lV1v_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.14571511451581012,,1.0634645338587513e-30,0.010592629646883634,,
lhV4_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.23004201057971782,,1.0987169531557922e-16,0.02078500600374623,,
lSTS_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.08969994994863438,,2.4905078075040093e-15,0.01045744329645684,,
lBA2_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.03946946016162717,,3.6703623761111154e-08,0.006946692115574729,,
rPPA_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.15705805669880168,,2.88016564633317e-18,0.015279757242161266,,
rV2d_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.2429600717528003,,2.951452345652475e-31,0.016846249914487802,,
rV1v_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.21153484949689974,,3.637691973963401e-25,0.017235194533633265,,
lV3d_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.23534870431275673,,8.259414101145907e-26,0.017520624757245994,,
rEBA_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.35717133462871337,,1.8299467634262915e-30,0.022690518842527284,,
rhV4_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.3096771762753714,,1.3069960056418722e-30,0.01784786688974429,,
rV3d_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.266881047180998,,9.131373928079111e-37,0.013655367900916158,,
WB_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.04689389610053219,,0.0,0.0004096613822540608,,
rOFA_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.09658944698657444,,1.4569839466930438e-05,0.021022932851059557,,
lV3ab_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.22373411581403604,,8.108272235601232e-40,0.012231393258068006,,
rLOC_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.3139745661467077,,1.0669932161339748e-204,0.007337947572148513,,
r7AL_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.09421410977387965,,3.0429214965249458e-12,0.01208606834472157,,
rBA2_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.06707643240336439,,1.9274521493398766e-21,0.006461262034163174,,
lV2v_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.08930358397525806,,3.3355309003680786e-12,0.01189251146106189,,
lRSC_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.09790478590399884,,1.165921338455604e-24,0.008527920062778808,,
rFFA_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.26311060658326246,,2.7252449447637672e-45,0.014927260328961769,,
lV1d_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.2176617563392926,,4.4023737037537885e-29,0.016199340714758613,,
rSTS_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.13244270216728815,,5.605740700969524e-59,0.007231631038249553,,
rV3ab_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.3040097710551334,,4.62991710443038e-75,0.011040203236651587,,
lV2d_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.19057092069693918,,3.651226854230887e-19,0.018435783631814785,,
rRSC_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.12781503158304525,,1.2038267470478936e-52,0.00723347469104329,,
l7AL_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.10146586728294517,,5.5241735566815876e-17,0.010367083735117993,,
rMT_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.2827627186171961,,5.048072997888695e-18,0.02239150031155902,,
lIPS0_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.21319111993400375,,2.4907932020265055e-28,0.014623168193935422,,
rV1d_sub-02,backbone.blocks.11,vit_base_t=0_gs=540_97a9094b,0.36051781302094316,,4.51737976235886e-45,0.018617772346936134,,
