ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.07408631305890537,,2.8924757440700963e-09,0.011404799296728758,,
lRSC_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.1515789211210716,,1.179744557940752e-29,0.011668212974824479,,
rV3v_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.19691761087574203,,1.510878002566903e-22,0.016519107319158698,,
lPPA_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.18236234232191798,,3.5421221418174867e-25,0.014756192499817368,,
rIPS0_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.2676388191627156,,1.5019356456762875e-28,0.01773937903330156,,
rMT_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.4595502323781339,,5.05468160678906e-29,0.021093201755579428,,
lV3v_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.19935387411560837,,3.883796281608092e-23,0.015930337187170567,,
lhV4_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.29249056033922866,,1.803688005932696e-20,0.021859006546218588,,
rV1v_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.12300611287355911,,1.5873841585712945e-17,0.012893938221932084,,
rTOS_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.201519637968609,,7.617511746489367e-06,0.03859228807073984,,
lFFA_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.22372907565945543,,2.6066177720442967e-27,0.016145013783892867,,
rBA2_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.14284418840200716,,2.912798864661246e-40,0.009029533380571648,,
rIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.2151988126040766,,6.572110606963495e-25,0.016076463939965077,,
rPPA_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.20596949937481293,,2.2879986267904244e-21,0.017822781130610692,,
rV1d_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.23136742970869745,,2.0010635665233996e-26,0.01825304205642137,,
lIPS0_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.18770164563131758,,7.114919355892572e-23,0.015324115302417453,,
lBA2_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.13564804973697692,,4.433754210376963e-34,0.00954119720756923,,
lTOS_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.16705328728856902,,0.00032155320722284693,0.03247946427917102,,
lPFt_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.22466620666013296,,3.0977678448125893e-30,0.014612468692207664,,
rPFop_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.13984119301243145,,7.652688459275322e-17,0.013828117501338333,,
rPFt_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.24994930581456862,,1.9796740990527362e-32,0.015195628960924126,,
rEBA_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.36967991812195805,,1.1087938268157316e-32,0.022039967884889308,,
BMDgeneral_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.2331415747651635,,0.0,0.0015729063986786645,,
rV3ab_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.2764370880910431,,2.1994781384629518e-71,0.01053402448868883,,
r7AL_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.14688286015514215,,3.269208276416045e-19,0.013615483949321674,,
lLOC_sub-01,backbone.blocks.11,vit_base_t=10_gs=224_86b32f7d,0.21869140934584597,,2.204846076891082e-155,0.00659518678344969,,
