ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.10417948941281104,,8.985376069418896e-16,0.010970577007530277,,
lRSC_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.1402645314317798,,1.7705765676915417e-28,0.011098069519942595,,
rV3v_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.19151564752526107,,5.414190282328075e-22,0.016372735807436353,,
lPPA_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.17731141499520855,,3.7919629430111496e-26,0.013954609610494243,,
rIPS0_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.27258197077155494,,1.187211937418709e-28,0.01801012201171861,,
rMT_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.4513839130681932,,1.3575820428081157e-27,0.022132511810279226,,
lV3v_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.19337720337646613,,1.3465597333264772e-22,0.015747227346557615,,
lhV4_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.2685451540919173,,1.1680197795504642e-18,0.021918454059344426,,
rV1v_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.13332014652103347,,6.670077772080802e-20,0.012815091095364608,,
rTOS_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.21050532982483317,,1.3847321567884302e-06,0.036444922483829856,,
lFFA_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.2219109970025031,,1.1250816551678837e-27,0.015841996373385066,,
rBA2_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.13792643678986777,,2.178625677555747e-37,0.009187123789789378,,
rIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.2204343446668578,,1.865161648029325e-23,0.017302896085958103,,
rPPA_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.2031226646200644,,1.23112766787485e-21,0.01740910638104669,,
rV1d_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.23870115876428588,,3.126258194200236e-30,0.017043396430157915,,
lIPS0_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.19904003034159834,,2.4115133741932618e-24,0.015466973990751358,,
lBA2_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.14378406795654838,,2.8971219318460874e-41,0.00882333730605822,,
lTOS_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.14249456334854688,,0.0015844734261415737,0.034238541197172886,,
lPFt_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.20120602647202837,,1.212840828340389e-26,0.014562198022696766,,
rPFop_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.13611614336814812,,1.234418922866173e-16,0.013589039698011063,,
rPFt_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.23663957570007646,,1.0261013105049567e-29,0.015540941343702428,,
rEBA_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.35381833764741705,,1.253016638791482e-31,0.02173368677003024,,
BMDgeneral_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.23083239993080665,,0.0,0.0015489235547582888,,
rV3ab_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.27079101947516965,,1.6421979022359538e-69,0.010579835124935906,,
r7AL_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.15804541696286376,,2.0326844462019104e-19,0.014532312577909124,,
lLOC_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.22618888938975099,,5.749637760098345e-159,0.006705835714723362,,
rFFA_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.20509945774204488,,1.667223752367011e-38,0.013131600835925206,,
lSTS_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.08590632287009892,,1.5519507489070116e-13,0.01084963878714047,,
rV2v_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.21114067531387437,,1.283645419151552e-32,0.014144657338956007,,
lV1d_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.23710364895625918,,6.2883934627566396e-34,0.015721951557905272,,
rOFA_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.22277349269113947,,4.55266281696272e-14,0.024760512412174654,,
WB_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.05492068244911919,,0.0,0.00043757764584429306,,
lV3d_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.2879703091587831,,7.365771596813258e-32,0.017941043969549087,,
lMT_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.3556891705364144,,5.4945599061412273e-17,0.024269469124697816,,
rV2d_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.2535387688493403,,2.660033871644534e-34,0.016349878196116947,,
lV2v_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.19291114273139937,,1.261713411859093e-28,0.014280201731294921,,
lOFA_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.12763025942094983,,0.0003997323358434144,0.03160373754740097,,
lV3ab_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.20877295605968443,,1.1487183618635472e-34,0.012865306856366051,,
l7AL_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.15132921938170454,,2.3566917413839487e-16,0.01589081970577226,,
rLOC_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.29865298654935246,,6.76687278002622e-185,0.007614675105249056,,
rV3d_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.3280516857446101,,5.787391934201717e-40,0.015377415038486268,,
rRSC_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.16967081990052807,,4.445758271635922e-57,0.00908771685760111,,
lIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.17930412673672586,,1.6444250830017168e-22,0.01427047391188721,,
lEBA_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.28224706449686426,,6.948848240863585e-49,0.014443382538322362,,
rSTS_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.10459253560773867,,6.163110945549125e-50,0.006349997931371472,,
rhV4_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.36095115954306106,,6.1554657113356146e-37,0.017042842404772798,,
lV2d_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.3033617807825818,,2.9345274668552806e-33,0.019312762698700123,,
lV1v_sub-01,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.22691637557778832,,6.40795241034274e-31,0.016410223223608505,,
lV1v_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.14837371859516962,,4.955322937482518e-30,0.010958896729134218,,
lhV4_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.1973450398874032,,5.790784979262352e-15,0.019604955942835716,,
lSTS_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.04844508922908145,,3.903487257832389e-07,0.009235415957915574,,
lBA2_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.03371319044000325,,1.0183963894199097e-07,0.0061494258732874025,,
rPPA_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.14855196638626864,,8.552421201477144e-19,0.014152765365925564,,
rV2d_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.21901390900183546,,5.987236403658729e-29,0.01609620986745898,,
rV1v_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.21052616371771948,,9.991782672704202e-28,0.0159784150861724,,
lV3d_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.20581337475876307,,2.1981361998467967e-23,0.01657807509536278,,
rEBA_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.33540992630951344,,1.8176336044263098e-30,0.02130622742340124,,
rhV4_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.2992483715864607,,8.702649811480505e-33,0.016074607846245387,,
rV3d_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.21790610567743307,,4.7572192503064834e-33,0.012398049608300554,,
WB_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.04210533294787097,,0.0,0.0003906789090339663,,
rOFA_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.08965066709692243,,4.526419540064113e-05,0.02087258580064802,,
lV3ab_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.1799539375766916,,4.2051496352422695e-37,0.010466442788568927,,
rLOC_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.27551462723729586,,4.5143237992013205e-188,0.006925078170823983,,
r7AL_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.054798200620024516,,1.2267583614811375e-06,0.010702718784313966,,
rBA2_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.038339360028949825,,7.426621408138475e-08,0.006927270043326346,,
lV2v_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.08107279915964527,,1.697014717808055e-10,0.011912546828959722,,
lRSC_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.09488576472053396,,6.726552137333653e-25,0.008212525026206825,,
rFFA_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.23406676618065908,,1.3578567110248264e-43,0.013670334026069476,,
lV1d_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.2043225551900147,,5.809281194353368e-27,0.016065349129315,,
rSTS_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.11461750662588778,,1.5486381360744553e-57,0.006359118480799471,,
rV3ab_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.26398865068515964,,5.2752724240065245e-73,0.009847144786364372,,
lV2d_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.17886781846489147,,6.07438107270327e-19,0.017445938057510154,,
rRSC_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.11804591234937738,,6.608119255749944e-49,0.007018264870072851,,
l7AL_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.07232017710202754,,1.37043733378886e-10,0.010289548684503979,,
rMT_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.25476837816962045,,8.288141504091656e-17,0.0216013897464157,,
lIPS0_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.16894433045201912,,5.015498601756861e-25,0.012839652148470519,,
rV1d_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.3479312934635573,,2.5559275058481914e-47,0.01720818294374864,,
rPFt_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.07006318632158662,,2.3482264613930042e-09,0.01083965176935515,,
lPFop_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.04690734964387755,,3.3006695553858524e-05,0.01080584312689323,,
rV3v_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.22390325585356566,,4.921930716777856e-25,0.01732062324101771,,
lPPA_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.145521355326183,,2.3999331533192038e-25,0.01171765307452881,,
rV2v_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.11079762411070461,,1.4499957736344244e-13,0.013765284477323772,,
lIPS1-2-3_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.12074257221150823,,1.0387583197104541e-18,0.011145066135873075,,
rIPS0_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.19780468133237425,,1.0584129777240597e-32,0.011586377136962162,,
rTOS_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.19091651168588308,,6.634890457502802e-11,0.020906597407462608,,
BMDgeneral_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.17304669040815168,,0.0,0.0014606715597004977,,
rPFop_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.1172719670255751,,2.1038203834320257e-23,0.008878075455815985,,
rIPS1-2-3_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.1912722488192316,,3.604046920381019e-27,0.01327605194298608,,
lV3v_sub-02,backbone.blocks.11,vit_base_t=15_gs=112_94308951,0.1551997751022407,,1.206439555586411e-16,0.015956085961990774,,
