ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.08786024480697231,,5.535339593043071e-12,0.011292552596281367,,
lRSC_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.14733019777493533,,4.982049066232551e-28,0.011782961680175822,,
rV3v_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.20286099561877494,,2.7539431537565716e-22,0.017169050664617994,,
lPPA_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.18303058034052302,,2.611833764906787e-25,0.014753619808446245,,
rIPS0_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.2661697795689627,,1.7478046825820162e-26,0.01883166936948284,,
rMT_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.45253323557653385,,2.028621005674454e-29,0.020397414870655793,,
lV3v_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.2011290378231962,,5.757558030303012e-22,0.01675035856741571,,
lhV4_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.30218602611452383,,5.259932187220324e-20,0.023090707405272158,,
rV1v_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.12031215276144248,,9.660475480382203e-18,0.012507762103439984,,
rTOS_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.20758929976404006,,1.7923992719606328e-06,0.036469209439550565,,
lFFA_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.21617836427441442,,1.1808487441179646e-25,0.016402828267403073,,
rBA2_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.13712683938224182,,1.311446961408436e-38,0.008929943588562854,,
rIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.21744800444131102,,9.351596638572327e-24,0.016892429953132095,,
rPPA_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.20846714178619674,,2.0180616457086276e-21,0.018003858498144662,,
rV1d_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.23678130401693065,,1.4983621547202864e-28,0.017646804550974428,,
lIPS0_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.1892950525893585,,3.45458763442005e-22,0.01582634688906823,,
lBA2_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.1368555567638906,,3.821148645307694e-37,0.009060275345429608,,
lTOS_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.1697497243085142,,0.00014490769449961274,0.029949131682963454,,
lPFt_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.21010359293550165,,2.6126669539600982e-30,0.013636395791221577,,
rPFop_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.1386318140501379,,2.0396708101931788e-17,0.013356822344794426,,
rPFt_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.23442293847456602,,1.2374259946128495e-29,0.015431947776160599,,
rEBA_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.37043274231637474,,8.611760982171043e-33,0.022016878300506477,,
BMDgeneral_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.23265840210230268,,0.0,0.0015772846351687355,,
rV3ab_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.28367556542728967,,4.6171713571235367e-73,0.010573470479734283,,
r7AL_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.14716136809018734,,8.300869773425618e-18,0.01443854098378354,,
lLOC_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.2177385023565821,,5.802806982196169e-156,0.00654822893209119,,
rFFA_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.21138941439646128,,2.999700876881928e-35,0.01442068476803543,,
lSTS_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.08323794975208165,,1.1613836058593576e-11,0.0115638444669207,,
rV2v_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.20809435767818607,,4.854127043244058e-31,0.014486158423287434,,
lV1d_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.23655557497859436,,2.4710504297243126e-35,0.01520153172405588,,
rOFA_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.24157982373746434,,5.7359065899402694e-15,0.025600742783492465,,
WB_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.055350956409713936,,0.0,0.0004405552951436891,,
lV3d_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.2830211037411473,,2.313932916754323e-29,0.018926427581792356,,
lMT_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.3846128238447896,,1.0850061688339799e-17,0.024942869857817747,,
rV2d_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.26445040936580805,,2.1729098470452068e-38,0.015568596622766578,,
lV2v_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.20767083901957853,,8.24639399933613e-31,0.014539460181856121,,
lOFA_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.11135457574788175,,0.004306926392345332,0.03572734086351849,,
lV3ab_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.22481486423218178,,1.4935220391472108e-37,0.012940020393511822,,
l7AL_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.14181710152873417,,1.492180876868243e-14,0.016185790254704017,,
rLOC_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.2976751335429266,,7.744005440826978e-182,0.007695882471140552,,
rV3d_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.34988202195563484,,8.629354468618217e-43,0.01521401786381454,,
rRSC_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.18564076718894712,,1.0628282426043674e-63,0.009209783844817958,,
lIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.16875263273856558,,2.6916819702045027e-19,0.015204956575940547,,
lEBA_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.2868527724855002,,1.3828297660600099e-49,0.01450475259410877,,
rSTS_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.10516375090947996,,2.879927265412593e-46,0.006696441269782836,,
rhV4_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.37931519635182204,,8.286629150428654e-37,0.017980342717818152,,
lV2d_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.31292391611992004,,3.3920671949206375e-35,0.01899917672764048,,
lV1v_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.22155885397132224,,1.2278843145349208e-28,0.01693133592524186,,
lV1v_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.16024761540980517,,3.1566742424694482e-34,0.010752860747800437,,
lhV4_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.22120362549657538,,1.3719666166741695e-16,0.020089572412040114,,
lSTS_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.08508272209036757,,3.1882598359589092e-15,0.009964182773812533,,
lBA2_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.033683133570277204,,5.683622394993056e-07,0.006561168353734303,,
rPPA_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.16537715651932203,,7.838472721780693e-20,0.015138943541041056,,
rV2d_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.23677995059171988,,1.4935488303404123e-34,0.015181182356302642,,
rV1v_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.213186152119139,,2.4494835071625964e-27,0.01635053536781717,,
lV3d_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.20252611413449614,,3.039352150385011e-23,0.016390771166700974,,
rEBA_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.35410349718416273,,3.052269147067464e-30,0.022642347528714524,,
rhV4_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.3213041932074789,,8.191725606894185e-32,0.0178067638207742,,
rV3d_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.2318472902225062,,8.250695256559942e-34,0.012902095478771818,,
WB_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.04690039626876315,,0.0,0.00039872874404029416,,
rOFA_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.08802542224088969,,6.949196890629431e-05,0.021064397918364213,,
lV3ab_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.19435299020078375,,1.6868013710880878e-39,0.010701212650736742,,
rLOC_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.29195030868449834,,4.782487488144384e-196,0.007083612646219842,,
r7AL_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.04860191325984012,,1.1246282156654824e-05,0.010585598549747189,,
rBA2_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.05362445524141693,,1.6531494849587034e-13,0.006899287668720992,,
lV2v_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.09501600374429135,,6.305789827203153e-13,0.012184584065055062,,
lRSC_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.1009153485639581,,3.0205605265267974e-24,0.008888597389569966,,
rFFA_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.26198346672544853,,4.0866082795147385e-47,0.014418607892848821,,
lV1d_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.21335528246989435,,5.564315026264836e-29,0.015919643044660224,,
rSTS_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.14483992774411816,,6.158041532731355e-69,0.0071370221580166725,,
rV3ab_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.27705194266503846,,4.175942583296474e-72,0.010457239726208632,,
lV2d_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.18060343489340508,,1.2382757061398522e-19,0.01717443653139622,,
rRSC_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.12686855030559716,,2.2382785721793774e-48,0.007597481690472817,,
l7AL_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.09286566041550368,,8.302059834695302e-15,0.010469550108437782,,
rMT_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.27452753634621435,,7.450131038265358e-18,0.0219437536325041,,
lIPS0_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.1893699265510985,,2.235854334047181e-26,0.013787593492243967,,
rV1d_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.34823323159287234,,2.1506115844422077e-45,0.01787105048607627,,
rPFt_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.08031951248942737,,1.932507769427857e-11,0.010828887158356088,,
lPFop_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.03990632875931885,,0.0005474978746806607,0.011187561107296764,,
rV3v_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.24552458155073084,,1.6498877808001456e-25,0.018713567752296524,,
lPPA_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.1546909749917096,,6.326442363282496e-25,0.012609284450500543,,
rV2v_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.12598862475638783,,3.2883672592341527e-16,0.013908719650036603,,
lIPS1-2-3_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.11876068434376252,,5.437779872219642e-16,0.012357327134492814,,
rIPS0_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.19222181545990658,,4.0272910820007585e-29,0.012518715269856318,,
rTOS_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.21185376840945414,,6.079027768745373e-11,0.023119741026095698,,
BMDgeneral_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.18412248638836642,,0.0,0.0015102802204592558,,
rPFop_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.10790164269560741,,4.856129877008198e-20,0.009298788972598013,,
rIPS1-2-3_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.20666521046587624,,3.604270762810332e-26,0.014811571039264407,,
lV3v_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.16886545863654273,,1.4251164193564997e-17,0.01667972341012915,,
lTOS_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.034984568613281745,,0.36784434199180094,0.0372533998252158,,
lOFA_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.26317908657262573,,4.3493816223857726e-07,0.039834886410682196,,
lLOC_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.25542721939488067,,2.1082736922083467e-189,0.006608844618250949,,
lFFA_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.18394200733038843,,1.0540394908703763e-20,0.016455345481635283,,
lMT_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.24171733571604861,,1.2142126602552568e-08,0.03321495589572651,,
lEBA_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.18648290078331803,,9.558588450883233e-28,0.014668150269800135,,
lPFt_sub-02,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.06582304462297923,,7.230409168727132e-10,0.009834726242135302,,
rIPS0_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.16802840027737928,,5.847531227830078e-26,0.012092459079917265,,
rPFt_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.004032477230330429,,0.6688375874414427,0.00940390405946417,,
rBA2_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.05928955039520364,,5.604663073088027e-17,0.006616227906426327,,
rV3d_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.26192854957284006,,1.9512101109194593e-29,0.016617373056271433,,
l7AL_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,-0.0030166849132302405,,0.7949906914513264,0.01158418405950105,,
rV3ab_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.19638775965935912,,1.4891228051657216e-50,0.010109666258339391,,
lIPS1-2-3_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.10134160848526558,,1.400564978305131e-13,0.011892259904946472,,
lFFA_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.23778986534559463,,6.71250495254e-22,0.020394285378025363,,
rV1v_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.08629361170875806,,1.540395940117719e-13,0.010740191980086525,,
lPFop_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.05272485069486134,,7.72461635328833e-06,0.011196936552830853,,
lV2v_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.1538117383906873,,2.4478936168452477e-14,0.01842369549990832,,
rFFA_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.18831320860462325,,1.0794447270045378e-31,0.013840346052022005,,
lhV4_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.3382750763100316,,3.7609476874486295e-29,0.017306590748281885,,
rV2d_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.28943732248896037,,1.2608698954587594e-39,0.01659618253186058,,
rRSC_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.12029585520851455,,1.4915084695217346e-38,0.00834580868688097,,
lOFA_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.1349597659169543,,0.00023697403409585858,0.03186670929699831,,
lLOC_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.2226045065708867,,3.050419628813039e-156,0.006685629141847669,,
lBA2_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.03561176839987907,,4.608525327981736e-07,0.006878640940883432,,
rMT_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.31150569927714866,,7.084321933940596e-20,0.022323015643384264,,
lEBA_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.22792044911643955,,5.8051808653639135e-34,0.015507924301438462,,
r7AL_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.016061228932006334,,0.08740083223763181,0.009317122762361633,,
rPPA_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.21733275846527125,,3.1722739389155073e-23,0.017633406139763393,,
rV1d_sub-03,backbone.blocks.11,vit_base_t=15_gs=224_1990f760,0.17036024817239628,,1.7442188218496128e-21,0.01556977628855055,,
