ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.0982535679042076,,8.591392514297444e-13,0.012053589172464296,,
lRSC_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.14896416837873436,,2.1564495649775357e-28,0.011810423057217908,,
rV3v_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.21332254999331204,,1.0927795454618574e-23,0.01722962073792775,,
lPPA_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.18881935128034663,,1.191435908677806e-25,0.015071749489991473,,
rIPS0_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.28212807852985194,,9.103566899104906e-28,0.019161357929460218,,
rMT_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.4538035320626937,,5.765221703070285e-29,0.020884100520286022,,
lV3v_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.19525084284658745,,2.286893934208736e-22,0.016029660771317695,,
lhV4_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.2810625302857892,,8.622515848838002e-20,0.021699966373731873,,
rV1v_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.13010637925435176,,6.267007111726272e-20,0.012494476973131339,,
rTOS_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.2269246176179698,,7.091132761766962e-07,0.03786215670065689,,
lFFA_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.2315255624286805,,3.910151100725661e-28,0.016307696576025172,,
rBA2_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.14338789207488062,,3.3618082323789253e-37,0.009584722714084365,,
rIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.23181681687885738,,7.593548166424028e-26,0.016790014732570562,,
rPPA_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.21641822959616017,,2.3490259998549353e-22,0.01808779537285053,,
rV1d_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.23922243042950755,,2.3084922682826747e-29,0.017459348550888366,,
lIPS0_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.18992441656197542,,1.420055837080646e-21,0.016227748610928763,,
lBA2_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.13470619866924613,,1.0416040151894862e-31,0.009958710341283082,,
lTOS_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.18417730101429064,,0.0007072839717601114,0.03962435996583519,,
lPFt_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.22514866676926337,,2.0763233314909e-31,0.014164762266506353,,
rPFop_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.14878011112803147,,1.0020705516447119e-16,0.014791384122952765,,
rPFt_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.25667251627288984,,2.9788964946475684e-31,0.016128187790947865,,
rEBA_sub-01,backbone.blocks.11,vit_base_t=15_gs=224_88b9e069_center_crop,0.37474765345569117,,4.3824284533436176e-32,0.022721967214136392,,
