ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.blocks.11,vit_base_t=15_gs=336_b4682009,0.10370611557425853,,2.6135277747220766e-13,0.01236561059795045,,
lRSC_sub-01,backbone.blocks.11,vit_base_t=15_gs=336_b4682009,0.13893883455212544,,7.100823332894953e-28,0.011153151266079995,,
rV3v_sub-01,backbone.blocks.11,vit_base_t=15_gs=336_b4682009,0.20018448974578815,,5.54305154826455e-21,0.017730246796469798,,
lPPA_sub-01,backbone.blocks.11,vit_base_t=15_gs=336_b4682009,0.18837981252363056,,2.936900094263739e-26,0.014779423579277844,,
rIPS0_sub-01,backbone.blocks.11,vit_base_t=15_gs=336_b4682009,0.2897304089284034,,5.568291789146116e-29,0.018950556217459176,,
rMT_sub-01,backbone.blocks.11,vit_base_t=15_gs=336_b4682009,0.43987067290041826,,1.7455491084641283e-28,0.02069598280963902,,
lV3v_sub-01,backbone.blocks.11,vit_base_t=15_gs=336_b4682009,0.20805513576988127,,4.5594227134653225e-24,0.016104460316181173,,
lhV4_sub-01,backbone.blocks.11,vit_base_t=15_gs=336_b4682009,0.27824685048115033,,7.403400597369899e-20,0.021414002402172467,,
rV1v_sub-01,backbone.blocks.11,vit_base_t=15_gs=336_b4682009,0.14786041937514127,,3.1309155064944596e-25,0.01202469859176035,,
rTOS_sub-01,backbone.blocks.11,vit_base_t=15_gs=336_b4682009,0.2136314326068587,,1.9764277895371554e-06,0.03774114098813914,,
lFFA_sub-01,backbone.blocks.11,vit_base_t=15_gs=336_b4682009,0.23183108177934308,,3.8359070172886624e-29,0.015861664386711355,,
rBA2_sub-01,backbone.blocks.11,vit_base_t=15_gs=336_b4682009,0.14294908183287572,,1.5594750277615297e-39,0.009154407107756106,,
rIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=15_gs=336_b4682009,0.2421689078160456,,1.0700359809399597e-26,0.017063706924878408,,
rPPA_sub-01,backbone.blocks.11,vit_base_t=15_gs=336_b4682009,0.21121216673983736,,6.420613237692804e-21,0.018573466698992694,,
rV1d_sub-01,backbone.blocks.11,vit_base_t=15_gs=336_b4682009,0.2573568661486372,,6.349361410544694e-33,0.017213101335739278,,
lIPS0_sub-01,backbone.blocks.11,vit_base_t=15_gs=336_b4682009,0.197703306288145,,1.7996628951178775e-22,0.016366807685765487,,
