ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.1008999542951044,,2.507107788481668e-12,0.012710106393430632,,
lRSC_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.1494360306555943,,1.834576912068623e-30,0.011293750215568337,,
rV3v_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.19201322288742806,,2.85324848831507e-21,0.01683347621148909,,
lPPA_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.18651038796938632,,3.062177483462489e-24,0.015513705548453677,,
rIPS0_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.29030851796188656,,3.7724576496895813e-28,0.01948233315786742,,
rMT_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.4511787287571305,,1.05156950474676e-29,0.02007317836297376,,
lV3v_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.20702366639473377,,6.060183195453699e-24,0.016091799631032026,,
lhV4_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.28774852709169046,,1.7782687992196732e-20,0.021498321127745808,,
rV1v_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.13585307418085402,,6.725423004460266e-22,0.0122198468425322,,
rTOS_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.22563859994301266,,1.3265513716110373e-06,0.038970892480309355,,
lFFA_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.2306767939194323,,4.58180837078161e-28,0.016280556884847766,,
rBA2_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.12717808251829169,,2.641242670744845e-33,0.009175716275778728,,
rIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.24769044668955062,,1.5402156355582448e-27,0.016992816646848454,,
rPPA_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.22468150521334496,,1.316877516641999e-23,0.017998135228520146,,
rV1d_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.25516581920079906,,7.643387903751747e-31,0.0179443714289889,,
lIPS0_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.1991949193253785,,8.628067881184517e-23,0.0163092922751528,,
lBA2_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.13277822655227692,,1.3782566545767577e-32,0.009633593236531676,,
lTOS_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.17615646541527363,,0.0004734193612009596,0.03596786667529442,,
lPFt_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.23929502288145146,,3.2603497326605285e-33,0.014323499672826643,,
rPFop_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.1578644615407321,,6.616172813413429e-19,0.014257809260729969,,
rPFt_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.22575559856857788,,1.838097855167574e-30,0.01450905384195833,,
rEBA_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.3714136570929977,,3.405732027413716e-32,0.02244999057541505,,
BMDgeneral_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.23890292865887425,,0.0,0.0016048527318976527,,
rV3ab_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.29773724353712816,,1.090724926608083e-71,0.011300045562353327,,
r7AL_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.1495923049081873,,5.316642399397578e-19,0.013982712178640538,,
lLOC_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.22684566033282957,,2.6167330572786113e-156,0.006810837534678446,,
rFFA_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.21646277145585469,,2.247162160720185e-38,0.013893143203094217,,
lSTS_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.06872502090288242,,2.186055971935445e-08,0.011793798966484867,,
rV2v_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.2148160191171873,,1.8691873613324029e-34,0.013782801891435624,,
lV1d_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.2426782020879024,,6.206600565052585e-35,0.01573335244680458,,
rOFA_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.23847605394571725,,4.578610622027709e-16,0.023910954985299857,,
WB_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.0586192761291976,,0.0,0.0004443767122438286,,
lV3d_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.29268247051182905,,2.622271061815868e-30,0.019047133987312132,,
lMT_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.3894673717631342,,6.983201983123021e-17,0.026776187397129485,,
rV2d_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.2849651470620283,,9.608571358276118e-42,0.015635359212789475,,
lV2v_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.20712787607892927,,7.135669267497342e-33,0.01379161747536479,,
lOFA_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.12281783184653802,,0.00033318976908615144,0.02990381587236924,,
lV3ab_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.23050603216316518,,7.292644187339156e-38,0.013172696409127908,,
l7AL_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.1426106182140343,,7.661153083300692e-14,0.016860316926943734,,
rLOC_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.3061956843207919,,5.800787291868599e-184,0.007840029499031032,,
rV3d_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.349996424441557,,1.2904485335154118e-40,0.016121534526970866,,
rRSC_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.18438079516248976,,1.558782122180492e-61,0.009373174199643026,,
lIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.16084954540633237,,2.465337843034111e-18,0.015082665546930864,,
lEBA_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.28957671748235936,,1.042180663860197e-47,0.015121817098096652,,
rSTS_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.10792564617300186,,3.220263797375762e-48,0.006697691864338912,,
rhV4_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.37106733826309046,,4.5503505752715126e-36,0.017991060053811472,,
lV2d_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.3182179278664208,,3.5526695666845055e-35,0.019329947518053316,,
lV1v_sub-01,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.2200714961730618,,1.4515101254866282e-29,0.01643871157440365,,
lV1v_sub-02,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.14981424610952865,,2.2345136058964305e-31,0.010719109173955136,,
lhV4_sub-02,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.22277400142026269,,8.280278435306347e-17,0.019997327852676272,,
lSTS_sub-02,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.07114644835963538,,2.1801020415848904e-12,0.009509655198438065,,
lBA2_sub-02,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.03942259167572294,,7.419399817052442e-09,0.006587453966490186,,
rPPA_sub-02,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.16191219898039874,,5.1067655027758e-18,0.01591093183808711,,
rV2d_sub-02,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.2533842244651752,,6.973192836483919e-36,0.015761928583330725,,
rV1v_sub-02,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.20195818779912486,,3.732114477199034e-26,0.01600065297894976,,
lV3d_sub-02,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.23789744624800746,,8.324894479799546e-27,0.01717016737686036,,
rEBA_sub-02,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.3452345463632991,,1.4831622964831927e-29,0.022527058416896083,,
rhV4_sub-02,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.308565870899305,,1.7969536727405405e-31,0.017290618410973752,,
rV3d_sub-02,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.2754495669315488,,8.734560915213973e-39,0.013330702955436126,,
WB_sub-02,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.04684438045026885,,0.0,0.0004018836089446645,,
rOFA_sub-02,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.10499054588498259,,2.768823894252784e-06,0.02093403929596513,,
lV3ab_sub-02,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.19427957563252252,,3.5984624742120196e-36,0.011549307910747063,,
rLOC_sub-02,backbone.blocks.11,vit_base_t=15_gs=448_3f7ade20,0.3057128206869157,,1.467163347579366e-204,0.007149093863169844,,
