ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.07878264339986553,,9.081212668502669e-10,0.011689492458714165,,
lRSC_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.13625470171125997,,1.909609379228802e-27,0.011052541002133114,,
rV3v_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.19611222790128657,,1.778215293916648e-21,0.01706914312023888,,
lPPA_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.18769296369985694,,7.091188268225924e-25,0.01532156692049526,,
rIPS0_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.29105774860765216,,4.4892713888145566e-29,0.0189829079018594,,
rMT_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.45715395376171303,,1.484752652844907e-29,0.02047850211154542,,
lV3v_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.20725714138575352,,5.555747381095011e-23,0.016651651818765364,,
lhV4_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.30025820438120865,,6.206179240748963e-21,0.02195387455615314,,
rV1v_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.1459853975800926,,7.6636155617860695e-25,0.012006057404316506,,
rTOS_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.223492226784676,,7.456869096570446e-07,0.03739147004819533,,
lFFA_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.23953159995751735,,2.0443549803996486e-28,0.016734179597014166,,
rBA2_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.13150771974814235,,1.6402055758198183e-36,0.00890589167631178,,
rIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.24133072910873873,,6.253168203883078e-27,0.016878414714227595,,
rPPA_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.21820527592068986,,8.093095971974679e-23,0.017949777026229716,,
rV1d_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.26341165550865464,,1.244263876466852e-34,0.016933945615201534,,
lIPS0_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.2023243041221494,,5.491064881113109e-24,0.01590904721430407,,
lBA2_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.1411259202558215,,8.60411387266844e-40,0.008892501993498721,,
lTOS_sub-01,backbone.blocks.11,vit_base_t=15_gs=540_5d85e5c5,0.1946713398897675,,0.00039681723746509137,0.038863788952180324,,
