ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.09084080416306033,,2.703335300162778e-11,0.012174999171828613,,
lRSC_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.15362469844865465,,1.6894232126311923e-30,0.011600968335576748,,
rV3v_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.21243015554718447,,6.30859487136563e-25,0.016488971382836587,,
lPPA_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.1808538375869652,,9.565466479662364e-26,0.01439664268606514,,
rIPS0_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.27703182003454113,,9.324865707101031e-29,0.01824505689841946,,
rMT_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.4379739600842631,,4.780478873486203e-30,0.019184372297956984,,
lV3v_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.20403640688695557,,2.1799057533294524e-24,0.015623981097889471,,
lhV4_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.2789536124600373,,1.8812420841153981e-19,0.021894407148523122,,
rV1v_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.15850043061753877,,5.167050126058425e-29,0.011629540177024849,,
rTOS_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.22582254590327025,,2.9782973560856263e-07,0.035982566120471245,,
lFFA_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.2189703572484218,,6.806688620845994e-27,0.015999374165454213,,
rBA2_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.13708852452663434,,3.725888263660166e-41,0.008530704087352452,,
rIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.22684580438762206,,2.311926015627739e-27,0.015649472864514527,,
rPPA_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.21569723257682327,,2.749289392513337e-22,0.018070217830452085,,
rV1d_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.2600236571072198,,3.122163666692193e-35,0.016489999417897902,,
lIPS0_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.18402495962499535,,4.772396099796964e-22,0.015461758700869894,,
lBA2_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.12872173134691045,,3.572713793572024e-35,0.008856319435503014,,
lTOS_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.14921655225382735,,0.001280487261800764,0.034795041097577674,,
lPFt_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.2004499442397667,,8.272789471110872e-29,0.01358924685491379,,
rPFop_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.14356757658304634,,1.0318038663275303e-17,0.01365162618327613,,
rPFt_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.23242226470133295,,8.363060854428612e-32,0.014379005645298856,,
rEBA_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.3594314200192251,,1.717650568439645e-32,0.0215439434492654,,
BMDgeneral_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.2343501741286498,,0.0,0.0015346819559888048,,
rV3ab_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.2886510508514852,,2.644109993611934e-73,0.010724865649423581,,
r7AL_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.1489935993211919,,5.173169586919794e-19,0.01392019532838253,,
lLOC_sub-01,backbone.blocks.11,vit_base_t=20_gs=224_83dc3621,0.22070748341257873,,6.7456244748729644e-164,0.006393985476874824,,
