ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.10008405733462518,,2.0841737750452705e-12,0.012549155500001586,,
lRSC_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.15145659153161,,7.005266212658917e-30,0.011598472826529054,,
rV3v_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.20980198697403854,,1.8432475242622768e-23,0.017071834758481397,,
lPPA_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.17363164337270848,,1.2152544912994734e-24,0.014271495611919822,,
rIPS0_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.27780521468208197,,4.504411730039321e-29,0.018119382838730484,,
rMT_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.4519164810175782,,6.51639569557436e-29,0.02084811008841749,,
lV3v_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.20690324234295157,,2.6099055461967862e-24,0.015885114257977864,,
lhV4_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.2891754454192683,,3.8562615283596936e-20,0.021954078443709585,,
rV1v_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.14770093061890668,,1.2758880456065197e-25,0.011878990588722603,,
rTOS_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.20654843653414803,,1.7840069609005998e-06,0.03627663754733123,,
lFFA_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.22119032304337977,,1.1840176436797188e-26,0.016278857730762635,,
rBA2_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.11924652637206291,,1.99252992633958e-33,0.008581963994523732,,
rIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.220035988809491,,4.105495638432524e-24,0.01688530787544932,,
rPPA_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.1995498907639531,,1.795976227676156e-21,0.017202695285591395,,
rV1d_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.24795588005577326,,2.5060997211395336e-33,0.01642779747911038,,
lIPS0_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.1935159603202569,,2.0626527714285232e-22,0.016053187889644306,,
lBA2_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.12011773704575487,,3.6113131801130425e-32,0.008792863203981231,,
lTOS_sub-01,backbone.blocks.11,vit_base_t=25_gs=224_f4b4a88b,0.15459993052937615,,0.001039026844882204,0.03502597992862945,,
