ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
lPFop_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.10113687916556614,,5.876677839487464e-12,0.013019028068837727,,
lRSC_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.1535417052610143,,1.4360133882494402e-31,0.011322662099634609,,
rV3v_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.21433753090328567,,1.3250050062336122e-24,0.016807741728209886,,
lPPA_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.1827527081452918,,1.0922546479888692e-24,0.015000694256768192,,
rIPS0_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.3014903785938276,,7.806151818110734e-29,0.019808766153978648,,
rMT_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.45317768370002043,,5.141045307280609e-28,0.021789513549261726,,
lV3v_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.21450169135221794,,7.174646599210124e-26,0.015643841632716045,,
lhV4_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.2950270419032848,,2.9223196274789785e-21,0.021243867580043856,,
rV1v_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.11714602733249138,,4.8226498368313e-16,0.013030228613227099,,
rTOS_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.22440210712094882,,1.1487199876350323e-06,0.03844688325522148,,
lFFA_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.23725218378489848,,2.7194619408586824e-27,0.017130245380968568,,
rBA2_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.15051242932202014,,2.6364018852062354e-40,0.009506966484597422,,
rIPS1-2-3_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.25358838237309017,,1.0683145146762376e-26,0.017867945921335743,,
rPPA_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.2059087695644942,,1.3145018092902684e-20,0.018313667300845726,,
rV1d_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.22621208175154012,,1.3095640718771977e-26,0.01775625277593227,,
lIPS0_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.22001981329954554,,3.1127802686976404e-24,0.017159833252771237,,
lBA2_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.15658511463916086,,1.0629982894501375e-38,0.010066730472913859,,
lTOS_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.15288524676380788,,0.0021613447108502844,0.0384199960773986,,
lPFt_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.24389153472147526,,5.888799017346813e-32,0.015111434180171085,,
rPFop_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.15633764744071615,,4.463820264262918e-17,0.015295242453937955,,
rPFt_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.2709583018876382,,6.990939862672997e-35,0.015409244137546612,,
rEBA_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.37097319300043025,,2.345028483582846e-30,0.023641641969110713,,
BMDgeneral_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.2412056023193099,,0.0,0.0016055127772876022,,
rV3ab_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.28633612403020703,,6.228874897940402e-69,0.011274621721155937,,
r7AL_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.16224446543713872,,3.380583291807003e-19,0.01504805239138465,,
lLOC_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.22310769035802214,,2.0812912721236266e-155,0.0067275622255597274,,
rFFA_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.24256534304802485,,5.383000631750705e-40,0.015105102031524943,,
lSTS_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.0951372397355438,,5.887796274230198e-14,0.011781815649634233,,
rV2v_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.21724839910240146,,1.3772416845133547e-33,0.014223210201177042,,
lV1d_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.22069068734583822,,1.2586629901003446e-29,0.0162027270509793,,
rOFA_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.26611726288722687,,4.20412286196682e-16,0.026633912521567594,,
WB_sub-01,backbone.blocks.11,vit_base_t=5_gs=224_26e4e2ff,0.0579146342021449,,0.0,0.0004474624908723527,,
