	Variable	Description	Values	Significance	Color
0	R1	no cv, no ts Influence	"[[3.27449154e-02 1.88994789e-04 9.61256325e-03 ... 2.00987427e-02
  2.82867068e-02 3.03388214e-02]
 [9.52779835e-03 1.32312643e-02 6.18777450e-04 ... 3.95499867e-02
  2.71423949e-02 3.61130273e-02]
 [4.44543388e-03 1.87077139e-02 1.02230387e-02 ... 7.11094302e-03
  3.25665057e-03 1.38063780e-02]
 ...
 [2.53101645e-02 5.67731718e-03 6.39778852e-03 ... 1.33452850e-03
  2.56586378e-04 5.68949784e-03]
 [5.38552573e-03 2.79387416e-02 1.12472557e-02 ... 1.73100833e-02
  9.23574460e-03 1.66468746e-03]
 [4.60865655e-03 2.12552171e-02 1.07201549e-02 ... 6.12620193e-04
  8.98240266e-03 2.87339862e-05]]"	"[6.05718603e-04 6.11902028e-03 2.64770031e-04 1.26731370e-03
 1.14580912e-03 9.73255337e-04 1.22832274e-03 2.32867965e-04
 2.42859773e-02 2.01519545e-03 2.80751109e-04 2.42818821e-03
 1.56901015e-03 5.25740363e-03 8.79723136e-04 3.53128543e-03
 3.88207421e-03 1.24846852e-02 8.79723136e-04 2.93467687e-05
 3.29845141e-04 1.61892455e-02 2.42907160e-03 1.20117646e-03
 1.63985346e-03 9.73255337e-04 1.20876900e-04 2.32867965e-04
 2.80751109e-04 2.40811080e-05 7.11054897e-06 4.94374841e-07
 4.94374841e-07 9.27860413e-07 1.76375561e-05 4.77291396e-05
 1.12455766e-05 1.29978272e-05 1.76375561e-05 1.76375561e-05
 2.31353147e-05 1.20876900e-04 2.32867965e-04 2.56539980e-04
 1.91454561e-04 1.28639480e-04 1.91454561e-04 8.79723136e-04
 2.21339551e-03 2.85384643e-03 3.30782169e-03 1.14580912e-03
 2.31353147e-05 1.91454561e-04 2.12944940e-05 2.80751109e-04
 1.56901015e-03 4.99475740e-03 7.17028750e-03 1.97927115e-03
 1.00375359e-03 2.25475855e-02 1.85106860e-03 8.13363770e-03
 1.63985346e-03 1.87981859e-03 1.07116480e-02 3.88207421e-03
 2.89088722e-03 1.41997007e-03 7.17028750e-03 1.87981859e-03
 1.26731370e-03 1.69984247e-03 1.67718504e-03 5.12859884e-03
 3.06805039e-03 4.34484660e-03 4.04771006e-04 1.20211754e-03
 1.26731370e-03 1.29890262e-03 1.00375359e-03 4.47704159e-03
 1.03215883e-02 1.68304221e-03 2.32867965e-04 2.90344045e-04
 2.80751109e-04 3.48117539e-04 4.34484660e-03 2.56505413e-03
 2.27365048e-03 2.89088722e-03 2.18856976e-03 4.00463543e-03
 5.53065196e-03 1.17748707e-03 1.48472330e-03 2.94253000e-03]"	
1	R2	cv, no ts Influence	"[[0.03736216 0.00402443 0.0238829  ... 0.0259473  0.02758923 0.02064245]
 [0.02467839 0.02555845 0.01774323 ... 0.0380678  0.0179562  0.02709328]
 [0.01322574 0.01022111 0.0124009  ... 0.02437187 0.03844963 0.03489064]
 ...
 [0.03432469 0.01598728 0.02608193 ... 0.00984213 0.03505056 0.03247916]
 [0.02413457 0.03769545 0.01288051 ... 0.03051938 0.02197264 0.01008941]
 [0.00334699 0.00568572 0.01809801 ... 0.0233164  0.0167306  0.01033854]]"	"[9.39472956e-06 3.70379198e-05 2.07446218e-06 1.28528219e-04
 1.36501697e-04 2.25103380e-05 3.38234015e-05 2.47302625e-05
 5.25484570e-05 3.88320009e-04 5.83330821e-05 1.37827202e-05
 1.13709946e-04 9.52090051e-05 3.03764692e-05 2.27478788e-04
 7.81362493e-04 2.27598112e-04 2.25103380e-05 3.80079945e-06
 5.96377999e-05 4.18905135e-05 3.70379198e-05 4.05254053e-06
 2.10887624e-04 1.36102976e-04 1.22417539e-05 1.28076587e-05
 2.25103380e-05 4.64117115e-06 1.51085916e-06 1.42619623e-07
 1.42619623e-07 1.12333349e-06 5.59348050e-06 1.25405515e-05
 1.60306577e-06 1.80945195e-06 2.07446218e-06 3.80079945e-06
 3.97345664e-06 1.37827202e-05 3.38234015e-05 3.74986290e-05
 3.19143832e-05 3.19143832e-05 3.41653482e-05 6.57602367e-05
 2.22451821e-04 4.56724522e-04 2.76003160e-04 4.52873144e-05
 1.60306577e-06 3.57092096e-05 4.63631259e-06 2.70057326e-05
 2.58824185e-05 9.66527845e-05 2.56159491e-04 2.90085730e-04
 2.10516502e-04 3.36672207e-03 3.57092096e-05 6.78743915e-05
 2.10887624e-04 3.49783664e-04 1.53534921e-03 7.34101869e-04
 6.51143211e-06 2.20339146e-04 5.24840676e-04 4.32297418e-05
 8.20352383e-05 2.25103380e-05 1.83984012e-05 3.57092096e-05
 1.32106127e-04 4.18456062e-04 4.90668693e-06 2.25103380e-05
 3.19143832e-05 2.54206905e-05 4.64117115e-06 1.17207448e-04
 3.70379198e-05 2.50253449e-05 1.29835722e-05 2.31568172e-05
 9.39472956e-06 3.84050918e-06 2.31568172e-05 2.21214042e-06
 2.31568172e-05 2.29297489e-04 7.05742990e-05 4.26488049e-05
 4.18905135e-05 1.60306577e-06 2.50253449e-05 1.45058527e-04]"	
2	R3	no cv, ts Influence	"[[0.0154427  0.00243826 0.00124099 ... 0.01039347 0.01893549 0.0225186 ]
 [0.0138133  0.00780097 0.00082883 ... 0.0481006  0.03447056 0.04012929]
 [0.00451257 0.0011884  0.01585729 ... 0.00356216 0.00096462 0.01067669]
 ...
 [0.02037029 0.0034314  0.00551861 ... 0.00197509 0.00110851 0.00134341]
 [0.01549945 0.02378633 0.03202696 ... 0.01300365 0.00861067 0.00134998]
 [0.0007061  0.00062173 0.00076097 ... 0.00116413 0.00929785 0.00375806]]"	"[2.00214926e-03 6.03806812e-03 3.81881048e-03 5.95124003e-04
 7.40587355e-04 4.66295158e-04 2.49705473e-03 4.05642286e-04
 7.33215756e-03 5.93205337e-03 6.13544925e-03 4.90391677e-04
 3.12636396e-03 4.52288274e-03 5.23154558e-03 3.86723301e-03
 1.12481575e-03 1.50317277e-02 1.47928015e-03 1.53983287e-04
 5.08920141e-04 1.11493155e-03 5.95124003e-04 2.32169375e-04
 4.52027676e-04 4.05642286e-04 2.98825869e-04 8.80397700e-05
 2.19475082e-04 3.03832803e-05 5.38549278e-06 3.17672639e-07
 3.17672639e-07 1.12505115e-06 2.65772107e-05 6.17144234e-05
 2.65772107e-05 1.07492416e-05 1.43262112e-05 2.65772107e-05
 3.03832803e-05 9.18984492e-05 2.57802176e-04 2.65349651e-04
 3.67526548e-04 2.98825869e-04 2.92580554e-04 5.44667409e-04
 6.96364756e-04 1.02497837e-03 3.24013294e-03 8.12247998e-04
 9.18984492e-05 4.24639320e-04 4.27644660e-05 8.80397700e-05
 1.12481575e-03 2.86761570e-03 4.41923658e-03 5.93224351e-03
 1.76230451e-03 3.06243834e-02 8.89982078e-04 1.11713919e-02
 5.04930262e-03 4.97884986e-03 9.30637942e-03 3.38310760e-03
 5.98111506e-05 4.05642286e-04 4.68773786e-03 2.05795426e-03
 1.47960752e-03 7.12251758e-04 7.40587355e-04 1.47960752e-03
 6.42643330e-03 2.28481630e-02 9.53898020e-03 6.89246500e-03
 6.42643330e-03 4.68773786e-03 2.27255904e-03 5.34688261e-03
 4.63997996e-03 1.12481575e-03 5.22633011e-04 1.44571976e-03
 2.05795426e-03 7.40587355e-04 2.31223636e-03 6.33630439e-04
 1.17435382e-03 5.59721587e-03 2.55897319e-03 6.93976098e-03
 7.45992310e-03 4.05244249e-03 2.00214926e-03 6.89246500e-03]"	
3	R4	cv, ts Influence	"[[0.08108773 0.05814701 0.08300612 ... 0.05858478 0.07334601 0.08186465]
 [0.08318086 0.07113527 0.07917714 ... 0.12639292 0.10036406 0.06968042]
 [0.05390046 0.07244319 0.08465757 ... 0.11525018 0.07737769 0.09812711]
 ...
 [0.05558693 0.10598239 0.06058911 ... 0.06846744 0.0598666  0.07161305]
 [0.04474729 0.09324674 0.07278102 ... 0.07769854 0.08171095 0.03647365]
 [0.06694145 0.0688867  0.06490921 ... 0.03969507 0.04165924 0.03896352]]"	"[3.39061218e-09 1.41536375e-09 1.03250805e-08 3.38209885e-10
 4.06954595e-09 1.80895859e-09 6.81186212e-10 2.06895038e-10
 1.72037794e-08 4.06954595e-09 5.53934182e-09 2.06895038e-10
 1.10941076e-09 1.54585755e-08 1.03250805e-08 2.03209019e-09
 1.03250805e-08 1.88055549e-06 6.81186212e-10 1.90525263e-10
 4.06954595e-09 2.03209019e-09 4.06954595e-09 4.06954595e-09
 1.37248070e-08 1.66166649e-09 1.90525263e-10 5.61144061e-12
 6.35110875e-08 5.53934182e-09 1.80895859e-09 1.90525263e-10
 6.68198265e-10 3.11709231e-09 4.70006591e-08 7.88807141e-08
 7.96698172e-09 2.03209019e-09 1.34186103e-08 9.44882354e-09
 1.17035782e-08 1.50554614e-08 6.30481415e-08 4.63925274e-08
 4.40870409e-08 1.05723814e-08 4.06954595e-09 4.46265841e-09
 5.59875635e-08 1.27171525e-07 2.12068032e-07 2.84736916e-08
 1.62300651e-09 1.28325036e-08 2.06895038e-10 6.47001439e-09
 2.03209019e-09 7.58904684e-09 1.31980423e-07 8.12349044e-08
 2.36310534e-07 5.31578016e-06 1.79727437e-08 1.37248070e-08
 1.03250805e-08 2.30334765e-08 1.97032956e-07 1.92411513e-07
 1.03250805e-08 3.96648413e-09 2.68855496e-08 1.03761888e-09
 1.39256033e-09 1.10941076e-09 3.71890610e-08 1.37248070e-08
 1.07230391e-07 4.46265841e-09 5.41519430e-10 9.37593329e-09
 1.37248070e-08 1.90525263e-10 1.80895859e-09 6.00098455e-10
 4.46265841e-09 1.50554614e-08 1.41536375e-09 2.83860444e-09
 2.06895038e-10 5.53934182e-09 9.41354156e-09 1.10941076e-09
 1.90525263e-10 3.62200808e-08 5.36578941e-09 1.80895859e-09
 3.65869500e-08 1.50554614e-08 6.81186212e-10 1.93638202e-08]"	
4	R12	Combined no cv, no ts and cv, no ts Influence	"[[0.04320215 0.00828017 0.03799408 ... 0.0465109  0.05264057 0.03392677]
 [0.02895987 0.02720127 0.01863138 ... 0.05263408 0.04591973 0.04823451]
 [0.02465062 0.02250984 0.02587659 ... 0.03161659 0.04303096 0.04773474]
 ...
 [0.03925935 0.01686696 0.02810454 ... 0.01543752 0.04196076 0.03426613]
 [0.03005709 0.04405543 0.01602019 ... 0.03901454 0.0319708  0.01634658]
 [0.00765842 0.02422378 0.02956171 ... 0.02582341 0.02322292 0.01965773]]"	"[1.60630009e-06 9.81166732e-06 1.04334676e-06 3.14519492e-05
 1.34409036e-05 2.55100048e-06 3.39435223e-05 7.73681125e-07
 4.27602710e-05 1.84934914e-05 3.63743736e-06 6.55888849e-06
 7.44424092e-06 1.40224905e-05 2.34486698e-06 2.69328397e-05
 1.59617868e-04 5.29638938e-05 4.13411094e-07 1.62412932e-07
 1.40067345e-05 1.40067345e-05 2.39310623e-06 9.80161428e-07
 1.69483288e-05 1.03778074e-05 1.30211940e-06 2.44798731e-06
 1.27952373e-05 2.14777199e-06 4.46721475e-07 9.29613792e-08
 9.29613792e-08 2.81672894e-07 1.74472410e-06 5.01469366e-06
 3.08050667e-07 4.92461683e-07 9.80161428e-07 1.60630009e-06
 2.00752075e-06 8.44964324e-06 2.08770261e-05 1.66459430e-05
 4.84016604e-06 6.34447299e-06 9.81166732e-06 3.96026270e-05
 2.95364177e-04 5.11421668e-04 4.05279588e-04 5.52791667e-05
 3.61582162e-07 1.69483288e-05 2.09142705e-06 6.97861495e-06
 2.78561121e-06 1.85845202e-05 9.04954106e-05 4.41528632e-05
 5.52791667e-05 9.55029813e-04 9.60786757e-06 2.23172934e-05
 3.39435223e-05 2.08770261e-05 1.79569024e-04 1.15448418e-04
 4.46721475e-07 3.89096345e-05 1.59318050e-04 8.44964324e-06
 1.40067345e-05 2.29563685e-06 6.07151058e-06 1.71186739e-05
 3.34291617e-05 2.35211442e-05 9.38116518e-07 6.34447299e-06
 1.39895973e-05 1.60630009e-06 7.73681125e-07 1.27623352e-05
 1.61920134e-05 3.13820468e-06 1.30211940e-06 3.20317401e-06
 9.80161428e-07 4.46721475e-07 2.55100048e-06 4.13411094e-07
 1.74909578e-06 4.55504495e-05 9.60786757e-06 6.50701450e-06
 4.00225424e-06 1.60630009e-06 2.14777199e-06 9.60786757e-06]"	
5	R13	Combined no cv, no ts and no cv, ts Influence	"[[0.04501865 0.00709051 0.01435926 ... 0.03126519 0.03210785 0.03337894]
 [0.01461045 0.02346784 0.00295609 ... 0.05143266 0.03494891 0.04018123]
 [0.01767211 0.02069424 0.01797702 ... 0.0145986  0.00783902 0.01757605]
 ...
 [0.02788228 0.01610255 0.00680971 ... 0.00220083 0.00113369 0.00993749]
 [0.03671506 0.03539993 0.03615902 ... 0.01832168 0.01160644 0.00168878]
 [0.00591854 0.03029827 0.02423485 ... 0.01246721 0.01580767 0.02243168]]"	"[5.50204972e-05 3.10967850e-04 1.78207123e-04 3.19200539e-05
 7.83957746e-05 5.39866809e-05 4.98389408e-05 2.44757623e-05
 2.84758667e-03 9.37708549e-05 5.39866809e-05 5.70156769e-05
 1.04752827e-04 1.04752827e-04 2.27404346e-05 3.96395317e-05
 6.91921965e-04 3.67561973e-04 7.36930317e-05 2.31904086e-06
 3.35368602e-04 6.13087665e-04 2.27404346e-05 2.85114462e-06
 9.48858247e-06 5.39866809e-05 5.04275372e-05 6.00737565e-06
 5.90053904e-05 9.48858247e-06 3.05151021e-06 4.33518247e-07
 4.33518247e-07 4.87925351e-07 7.66297600e-06 2.27404346e-05
 3.33712641e-06 3.33712641e-06 6.56295784e-06 9.09938128e-06
 9.48858247e-06 3.66486446e-05 5.08756706e-05 5.04275372e-05
 4.98389408e-05 3.82854530e-05 4.77558102e-05 1.04752827e-04
 3.40637914e-04 3.35368602e-04 8.26640758e-04 1.04752827e-04
 2.31904086e-06 2.40048973e-05 6.00737565e-06 5.04275372e-05
 1.94062679e-04 2.29708499e-04 1.01254063e-03 1.60750782e-04
 7.15754568e-05 8.10225157e-03 5.50204972e-05 1.57417470e-04
 7.34477140e-05 2.29708499e-04 5.25838544e-04 1.03087997e-04
 7.83957746e-05 3.18175926e-05 8.15918791e-04 4.18005486e-04
 5.90053904e-05 3.66890443e-05 4.36296626e-05 1.58974998e-04
 1.23336241e-04 1.29389791e-03 5.04275372e-05 6.35119173e-05
 1.38835082e-04 1.71779855e-04 1.60750782e-04 4.41968145e-04
 8.15918791e-04 6.73966541e-05 1.45606021e-05 3.01333109e-05
 2.28101654e-05 2.40048973e-05 1.94062679e-04 4.65480363e-05
 1.57417470e-04 9.99677039e-05 1.03087997e-04 9.99677039e-05
 4.61719591e-04 1.79779748e-04 1.03181413e-04 1.74404062e-04]"	
6	R14	Combined no cv, no ts and cv, ts Influence	"[[0.0912698  0.05939855 0.09324157 ... 0.07217608 0.08860792 0.09523039]
 [0.08422162 0.08278614 0.07944383 ... 0.13264868 0.10091018 0.06990616]
 [0.06305093 0.0750693  0.08578723 ... 0.12042966 0.08655438 0.10297217]
 ...
 [0.06057382 0.12692036 0.06484824 ... 0.07444567 0.06123148 0.07221167]
 [0.05627738 0.09988944 0.08869429 ... 0.08239621 0.08432675 0.03648725]
 [0.06728927 0.08927641 0.08247507 ... 0.06130952 0.06044858 0.07051272]]"	"[1.02709627e-09 2.83909088e-09 1.02146849e-08 2.79932879e-10
 4.55563072e-10 3.18886711e-10 3.18886711e-10 1.77876057e-10
 1.79919808e-08 1.35981700e-09 9.33529676e-10 1.77876057e-10
 3.18484290e-10 1.25918924e-08 3.34042782e-09 2.79932879e-10
 1.89755867e-08 4.61669202e-07 1.77876057e-10 5.78664081e-11
 2.96948660e-09 1.03172616e-09 1.00042659e-09 3.83492197e-10
 2.55644659e-09 9.33529676e-10 1.77876057e-10 3.73199155e-12
 7.17325609e-08 3.34042782e-09 2.64405496e-09 1.95002679e-10
 3.18484290e-10 1.02709627e-09 2.19994292e-08 5.96828704e-08
 8.36650687e-10 8.30490106e-10 8.98911041e-09 5.95178458e-09
 6.49050181e-09 1.07093378e-08 3.53752404e-08 2.25350214e-08
 1.56630189e-08 4.93508602e-09 2.21187195e-09 3.46357527e-09
 1.14889549e-07 2.32698103e-07 1.95143345e-07 2.28981453e-08
 3.56452504e-10 2.64405496e-09 1.77876057e-10 1.26735339e-08
 1.46410493e-09 4.93508602e-09 1.70285115e-07 1.68301531e-08
 6.80802054e-08 2.12075842e-06 1.32809470e-08 3.52763498e-09
 5.07003280e-09 1.77991774e-08 1.02202729e-07 7.43960956e-08
 6.54188014e-09 1.87672814e-09 2.31844474e-08 1.18668314e-09
 3.24301734e-10 1.95002679e-10 1.41200784e-08 3.93032775e-09
 6.28255915e-08 2.43922622e-09 1.95002679e-10 6.49050181e-09
 4.93508602e-09 6.44552222e-11 9.33529676e-10 4.55563072e-10
 3.81416296e-09 3.46058424e-09 7.20333785e-10 5.72411365e-10
 2.60832190e-10 5.52035366e-09 6.54188014e-09 3.18886711e-10
 2.47957990e-10 1.31052848e-08 1.44359039e-09 8.36650687e-10
 6.82287746e-09 2.81569198e-09 2.47957990e-10 5.03247716e-09]"	
7	R23	Combined cv, no ts and no cv, ts Influence	"[[0.04674687 0.00654962 0.02418239 ... 0.03259032 0.03164255 0.02759076]
 [0.03156407 0.02771505 0.02131421 ... 0.06683343 0.05364013 0.04768412]
 [0.01947567 0.01395537 0.02482993 ... 0.04316726 0.04403729 0.03741472]
 ...
 [0.03439879 0.02421754 0.02915588 ... 0.01796411 0.04344646 0.03277618]
 [0.05675289 0.05077258 0.04015144 ... 0.03302728 0.02646655 0.01444432]
 [0.00371166 0.01020302 0.0191008  ... 0.02531004 0.02192323 0.01603296]]"	"[6.82085832e-06 2.11712095e-05 1.06158041e-06 2.46328608e-06
 2.88497780e-06 5.50275854e-06 2.84169496e-05 1.22612871e-06
 2.01445141e-06 9.54896835e-05 9.95459682e-07 8.53540774e-07
 5.94851721e-06 1.58282165e-05 8.36190348e-06 1.35144268e-05
 9.82519124e-05 1.63471604e-04 1.06158041e-06 1.65344838e-07
 3.17197524e-05 2.26575849e-05 1.47790165e-07 1.19440710e-08
 2.88497780e-06 1.22612871e-06 8.53540774e-07 9.95459682e-07
 5.94851721e-06 1.75399461e-06 4.42838357e-07 7.48865754e-08
 7.08083725e-08 2.00283913e-07 1.58728768e-06 3.95117966e-06
 4.42838357e-07 4.42838357e-07 8.53540774e-07 1.62531141e-06
 2.10353302e-06 7.47612289e-06 1.35144268e-05 1.29975782e-05
 7.65263331e-06 7.76434691e-06 6.90175674e-06 8.77380896e-06
 2.85866860e-05 4.62400296e-05 1.07448645e-04 1.15217572e-05
 1.65344838e-07 5.94851721e-06 1.34973080e-06 6.90175674e-06
 2.88497780e-06 8.86448548e-06 2.65174855e-05 2.61095393e-05
 2.01282891e-05 1.08252690e-03 1.75399461e-06 1.58282165e-05
 6.37022728e-05 2.84169496e-05 6.55068471e-05 2.82383269e-05
 1.06158041e-06 2.87079801e-05 1.42842521e-04 1.58282165e-05
 1.58282165e-05 2.88497780e-06 5.22225408e-06 1.52047109e-06
 2.82383269e-05 2.12573215e-04 1.49939225e-05 2.12967646e-05
 2.82383269e-05 8.29157551e-06 7.19138595e-06 1.33881532e-05
 5.94851721e-06 9.95459682e-07 3.39213185e-07 9.95459682e-07
 1.65344838e-07 1.22612871e-06 3.12661902e-06 1.02564861e-06
 7.41627855e-06 1.65828272e-05 1.94671332e-05 1.98962274e-05
 1.49939225e-05 8.53540774e-07 1.58728768e-06 2.26575849e-05]"	
8	R24	Combined cv, no ts and cv, ts Influence	"[[0.09358685 0.06087373 0.09331289 ... 0.07065003 0.07934289 0.09443301]
 [0.0925992  0.08656956 0.11768947 ... 0.13318586 0.10684178 0.08333933]
 [0.08376553 0.08710301 0.10560569 ... 0.13699526 0.10811512 0.10724126]
 ...
 [0.0714101  0.14894639 0.08998497 ... 0.07974799 0.08840783 0.07784033]
 [0.08659256 0.11628271 0.09591115 ... 0.11129307 0.1010085  0.05262985]
 [0.07266458 0.07254231 0.08028465 ... 0.0634033  0.05791204 0.05079158]]"	"[1.71755650e-10 2.25021374e-09 7.03145349e-10 1.13557502e-10
 1.39403571e-09 2.00180069e-10 5.75139839e-10 1.74115357e-10
 8.33491892e-10 4.44075290e-10 1.93220106e-10 1.58809311e-10
 1.09030645e-09 2.50693807e-09 1.39403571e-09 1.58809311e-10
 3.46809930e-09 2.15860923e-07 3.03875868e-10 7.57482248e-11
 2.70693390e-09 1.74115357e-10 1.93220106e-10 1.46835932e-10
 1.82276269e-09 1.15139546e-09 1.46835932e-10 6.26207637e-11
 1.76522397e-08 2.40900557e-09 1.18176704e-09 1.46835932e-10
 2.85339957e-10 1.61264152e-09 2.13459047e-08 2.64416587e-08
 1.06612322e-09 5.99916283e-10 4.68599281e-09 3.68014926e-09
 3.07145420e-09 3.95390316e-09 1.94361611e-08 1.98569334e-08
 1.38613391e-08 4.39280417e-09 1.39403571e-09 2.70248712e-09
 2.82771674e-08 5.82848061e-08 2.45969367e-08 3.44604848e-09
 1.13557502e-10 1.33544767e-09 1.46835932e-10 5.54026051e-09
 2.00180069e-10 8.65231459e-10 1.79211880e-08 4.88747863e-09
 1.16489376e-08 2.94862060e-07 1.61264152e-09 2.35649800e-09
 3.44604848e-09 3.07145420e-09 6.11742694e-08 6.30926849e-08
 4.19263672e-09 1.28502174e-09 3.69281159e-09 6.26207637e-11
 2.84587339e-10 1.13557502e-10 5.13526887e-09 5.75139839e-10
 1.46027791e-08 5.36833901e-09 1.31371920e-10 7.97696727e-10
 1.64125842e-09 1.70284700e-10 3.88048295e-10 1.09452419e-10
 8.33491892e-10 1.61264152e-09 1.61264152e-09 8.33491892e-10
 1.46835932e-10 1.21326215e-09 2.08697255e-09 6.26207637e-11
 6.26207637e-11 8.08852158e-09 4.28432577e-10 1.13557502e-10
 3.07145420e-09 8.65231459e-10 1.93220106e-10 3.49286426e-09]"	
9	R34	Combined no cv, ts and cv, ts Influence	"[[0.08769896 0.05883142 0.08646007 ... 0.06389451 0.07805913 0.08194055]
 [0.08531224 0.07339803 0.08579287 ... 0.14153533 0.11518694 0.07567195]
 [0.06181081 0.07607372 0.0901659  ... 0.12170451 0.07908276 0.10677427]
 ...
 [0.05560518 0.10648518 0.06280219 ... 0.07836624 0.06489246 0.08118935]
 [0.07989735 0.10898325 0.1007276  ... 0.07866832 0.08190518 0.03732777]
 [0.07392229 0.0738126  0.07595141 ... 0.04679258 0.05573906 0.0440798 ]]"	"[1.38866757e-09 1.05315763e-09 3.96661956e-09 3.38391207e-10
 1.20959643e-09 1.35142548e-09 1.31613540e-10 2.52581746e-10
 6.53158080e-09 5.41288964e-09 5.41288964e-09 3.32341180e-11
 4.91750074e-10 6.53158080e-09 5.40301876e-09 2.65431021e-09
 8.68703367e-09 9.73175615e-07 6.26064266e-10 1.20062922e-10
 1.21632900e-09 1.63048170e-09 9.34278755e-10 3.98259993e-09
 1.17987286e-09 6.38163329e-10 1.05315763e-09 4.52347422e-13
 2.39581910e-08 5.41288964e-09 1.18391499e-09 1.31613540e-10
 4.91750074e-10 1.74901445e-09 3.74938847e-08 5.98228662e-08
 5.40301876e-09 1.20822450e-09 1.10976912e-08 6.53158080e-09
 7.11414281e-09 1.29528401e-08 5.01042649e-08 2.37684012e-08
 2.54069629e-08 6.53158080e-09 1.74901445e-09 1.38866757e-09
 2.47892746e-08 4.40830431e-08 8.66849762e-08 1.74858015e-08
 6.06425526e-10 7.38235017e-09 1.64460155e-10 1.38866757e-09
 1.21632900e-09 5.22906588e-09 3.74938847e-08 3.24118053e-08
 1.39786168e-07 2.31867142e-06 6.77165668e-09 2.87753582e-09
 2.87753582e-09 1.99900260e-08 1.88310902e-07 7.28325195e-08
 4.23273330e-09 9.34278755e-10 1.95175054e-08 6.06425526e-10
 6.06425526e-10 6.26064266e-10 2.36127412e-08 9.18084106e-09
 7.75541236e-08 9.55537586e-09 1.17987286e-09 2.07406285e-08
 3.96748141e-09 1.64460155e-10 1.17987286e-09 2.52581746e-10
 1.57195452e-09 5.40301876e-09 3.38391207e-10 9.34278755e-10
 1.20062922e-10 1.79936687e-09 1.19328086e-08 4.91750074e-10
 1.20062922e-10 1.36867162e-08 1.57997335e-09 1.57195452e-09
 2.79968877e-08 9.15514719e-09 3.38391207e-10 2.54069629e-08]"	
