ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.1307272602321633,,0.022961417584623715,0.020157950220903692,,
OPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.024252213122937512,,0.7427600696847201,0.06442157702757408,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.18684034302164462,,0.07276085165776182,0.05335567150853353,,
V3v_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.09726556073239119,,0.13746929033921668,0.0403481936681215,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,-0.024454818147339408,,0.5062154506244603,0.03045254705664894,,
V2v_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.1893372239794968,,0.12522799524760722,0.07415681614221081,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.13575906453729428,,0.004605783609253766,0.009245381689606593,,
hV4_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.08476941293919293,,0.18717003507542046,0.04295573640240081,,
V1d_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.25936158566880785,,0.03657977437565731,0.05101548699707473,,
OPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.11939988308307066,,0.06000343422853342,0.030644403424099458,,
V1v_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.307564365308013,,0.04432512718944808,0.06700144578339752,,
V3d_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.11445484626893175,,0.10601623165788253,0.040566156606561064,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.09565889548250377,,0.2558325537350388,0.06071719327696362,,
PPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.06666780395818457,,0.22373122464871248,0.03828306273501675,,
OFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.05074645386506476,,0.22441513336684243,0.02920506401923036,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.1409208020827037,,0.016203127051406644,0.018159449972742624,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.06548098864889629,,0.6310215888939277,0.11663252618492294,,
V2v_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.168585693018284,,0.04369506494158551,0.03644548974799356,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.17389262487196314,,0.05710605230886796,0.04343791131648791,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_d0b0693a,0.0661136890975345,,0.5036153005800907,0.08175778077778123,,
