ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.1540684584887211,,0.050527857101427896,0.0360114384368156,,
OPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.012038558986540026,,0.8365385799923298,0.05137634690272354,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.1725547048014977,,0.06440042235349844,0.04604409139318415,,
V3v_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.1058878056066938,,0.16792490467324198,0.049911154729537645,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,-0.041381015257222424,,0.23960562395456353,0.02499198419865036,,
V2v_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.20895944254314305,,0.13472710296460708,0.08560370825059097,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.1472286932939438,,0.00690739354097098,0.012300097394703302,,
hV4_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.07305531366874404,,0.2577754200562258,0.04664169227119414,,
V1d_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.2627149838279339,,0.01968197585808846,0.03741146157088514,,
OPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.07683679353328958,,0.09987518837794303,0.02629489085119426,,
V1v_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.3079440674867604,,0.04364303763256614,0.06653012747309592,,
V3d_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.11833072399830798,,0.13377534389736784,0.048263852174878503,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.10487579250141214,,0.3105427679960725,0.07790892955726786,,
PPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.05925334402001393,,0.36966929947237015,0.05160288145281377,,
OFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.03346145618886595,,0.3548300764392177,0.028020205671600282,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.1386290340116861,,0.03651286536590644,0.027241452934113022,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.06158848289991608,,0.6175387250234037,0.10520966211119219,,
V2v_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.1971902607346763,,0.051046466261475465,0.046345663071274704,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.15437352137184981,,0.10040151369361942,0.05299197851075644,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.0661884923671362,,0.46994629675270716,0.07487297177228568,,
PPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,-0.03220466911446775,,0.6271297526841889,0.05666821878841545,,
V2d_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.1950004804719657,,0.06448860801334265,0.05207280477539919,,
V3d_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.17852480127249937,,0.07217279292047282,0.05075014244455318,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.025732102797559022,,0.8265696460658641,0.1033245577171731,,
RSC_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.13086958777281746,,0.16416856281156145,0.06078080311425724,,
OFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.14532939629054176,,0.13160156683098378,0.05867927206255641,,
EBA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.020536718109951304,,0.7364480911141702,0.053151740751781355,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,-0.05318566728224914,,0.27686845678475985,0.0359218144195649,,
hV4_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.15623007828962213,,0.07309436604365453,0.0447287030724817,,
RSC_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.1829208478405886,,0.11979491868316207,0.06974067492933182,,
V3v_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.20237378792938313,,0.12083412954783525,0.07756143036128631,,
V1v_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.26124447980161075,,0.053923321743710784,0.06325197353061483,,
EBA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.07351136121800352,,0.45045213745688994,0.07902432001308453,,
V1d_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.28903279650353053,,0.03840901345587396,0.0583394792270729,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.09963300150944594,,0.10165445563039967,0.03445050885738484,,
V2v_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.11667647656422812,,0.16274798573309654,0.05388331221159084,,
PPA_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_0c224216,-0.024400355711019905,,0.787306916069006,0.07926387044355718,,
V2d_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.16805097442870254,,0.031010817415792473,0.030302982881744652,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.05764314670185291,,0.5420189744920568,0.07911673905046454,,
V2v_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.17569518523899752,,0.08943268104565465,0.05639779192199652,,
V3d_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_0c224216,0.08099254324497347,,0.5814757877360552,0.1242778253745645,,
