ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.15080446702753855,,0.08459880232754585,0.0468921036907947,,
OPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.016467544801462026,,0.5230117106013934,0.02145607959524201,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.1475088595116306,,0.053515449518285824,0.035567607058684725,,
V3v_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.11408074853502692,,0.17543623481577425,0.05534932004455445,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.037344099432900825,,0.18959432043857435,0.019089964915288322,,
V2v_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.1968579772960959,,0.18377353114632888,0.0985266750243583,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.14362869468056644,,0.05597760222152746,0.035489648277835455,,
hV4_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.07245554491470212,,0.22353245339831937,0.04157978620609352,,
V1d_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.25896255210422175,,0.012707494935409309,0.029473858787775715,,
OPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.07707528737988534,,0.051696665018910785,0.018239478951565646,,
V1v_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.31757996180276565,,0.05214529458727678,0.07550612209180661,,
V3d_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.1387168452530995,,0.09487600740220876,0.04607294270678486,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.09409516933222589,,0.43950346839100196,0.098308701098769,,
PPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.05244889235414779,,0.45581022696215345,0.05717594032338431,,
OFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.04552555958286609,,0.16656775006750985,0.02134508487948365,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.11452208300116183,,0.04483445209411927,0.02510113114498393,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.08230340715177421,,0.568476142593861,0.1216615714871343,,
V2v_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.21043480238555498,,0.05939945084874883,0.053710182812331725,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.16279962476142973,,0.1260322451741293,0.06401251424779168,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.08154535767300608,,0.4595351490193562,0.08976397034172016,,
PPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.05084972550606113,,0.5107988919228386,0.0641043988043399,,
V2d_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.2101319047729431,,0.062172720940963086,0.05499353132036232,,
V3d_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.17789851719435,,0.06888011361257747,0.049272349728635596,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.029749745387355638,,0.8197592191316667,0.11480046792189781,,
RSC_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.13111664352190652,,0.29273546355030544,0.0926721036921657,,
OFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.1653608173345689,,0.14240372527121728,0.07012470827409399,,
EBA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.021957021495110505,,0.7204090495878764,0.05331635839509345,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.07264822308373238,,0.06456268988019603,0.01941224094231862,,
hV4_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.16290447267217759,,0.11369734553757258,0.06018895611253263,,
RSC_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.16725617162194273,,0.2128280493539602,0.09266060803413478,,
V3v_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.19595689002746752,,0.1805528564399177,0.09691622695620104,,
V1v_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.2670536469253864,,0.05471215678280442,0.06517083667285169,,
EBA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.06840156363126228,,0.5235656724507047,0.08925666088594614,,
V1d_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.27255267567329267,,0.03581477979117466,0.05301482645628602,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.09727536664622118,,0.06374474901828074,0.02581054198129951,,
V2v_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.11355459554966085,,0.18234909896716953,0.05653649049957073,,
PPA_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.03637859205511176,,0.6013053132413717,0.05916970773584523,,
V2d_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.16047588690149675,,0.03276621938792734,0.029785471887295273,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.0700128460915802,,0.4586827893094556,0.07689766200559983,,
V2v_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.19847817415827454,,0.08300870729732748,0.06105263911285002,,
V3d_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.09238910762427925,,0.5236478213964,0.12058471293317757,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.16215587147992808,,0.08300020884707063,0.04987685595006522,,
EBA_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.00787722231188181,,0.8715504602654238,0.043004399951521,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.05620106313130987,,0.15698405837974638,0.025356310888611136,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.059535643578057885,,0.15068979276708516,0.026166311817615796,,
OPA_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.01364741786530405,,0.8110676099381348,0.05015753458282085,,
V1v_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.2815342550327909,,0.025808439241619924,0.04612617045822537,,
OFA_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.10816584741133135,,0.40740781212523214,0.10396477166442876,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.08093761271336548,,0.5087664414158354,0.10147975910611298,,
V2d_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.07635173274176595,,0.49105254367403117,0.0913128699213032,,
V3v_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.0790656398753891,,0.4434307494447305,0.0834546826113924,,
EBA_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.0677985681757653,,0.25782879232758843,0.043292488030287256,,
VWFA-1_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.05869877245588231,,0.5650584067604616,0.08593040579517901,,
RSC_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.03537527952577761,,0.6320412769555599,0.06321133999050277,,
OPA_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.009015980090809651,,0.8497674951634351,0.0419543419262762,,
hV4_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.08812737812357775,,0.5350515851640076,0.11865883333771021,,
FBA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.07970383541932231,,0.0022225894364638335,0.0037638623072580495,,
hV4_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.07545748077914105,,0.5561106095639967,0.10771100844413103,,
V1d_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.24669882227966097,,0.056160656083444824,0.061066112272955136,,
V1d_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.27084641757337274,,0.042312555738647686,0.05755600093266961,,
VWFA-1_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.08842344374075765,,0.15703101434244743,0.039901806852379096,,
V3d_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.11987659626913864,,0.06518619145649737,0.032202655019727945,,
FFA-1_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.07964462844865797,,0.4838072953993868,0.09344219639802431,,
RSC_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.04501347583495932,,0.7119692414285688,0.10582357189827328,,
V1v_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.2891644728410328,,0.02699473870716407,0.04849739742474107,,
PPA_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.07279543563056921,,0.44670765443641036,0.07749484029834783,,
V3v_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.13360964953054363,,0.24419139693563316,0.08184926087495338,,
OFA_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.058694913656686575,,0.0809229583109719,0.01779572283245943,,
V3v_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.03000877367541273,,0.6180208089051697,0.05133881576256448,,
PPA_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.030971420020889734,,0.6065403465122365,0.05117088896264216,,
RSC_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.1000078301555511,,0.2929290204847741,0.07072337595097307,,
V3d_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.08776593929731429,,0.5087829936700319,0.11004601752459355,,
VWFA-1_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.017704530689901753,,0.7876069536170831,0.05759776298475912,,
RSC_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.1030605114671168,,0.27416997745660227,0.06906393603140118,,
V3v_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.09042615383817565,,0.09717458782984534,0.03045447459626638,,
OPA_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.025409938256231602,,0.7771927242406218,0.07861449220486134,,
OPA_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.011451519764065587,,0.8886092876775769,0.07224169938507415,,
hV4_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.029314702030109618,,0.1421982655530427,0.012420251723872388,,
V2d_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.04622587977206586,,0.20826295823320615,0.025219262150512515,,
V3d_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.10800949438028813,,0.22781993167013964,0.06284607080586371,,
OFA_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.06099955945861885,,0.4880047756653597,0.07236574481179937,,
EBA_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.06694676973742734,,0.1137859060666403,0.024746609491073462,,
V1v_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.23678135680918766,,0.05731573872188201,0.05926582150324767,,
V1v_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.06268235547423291,,0.3976777993633459,0.05874109496469198,,
mfs-words_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.047811731503576926,,0.4087849220939961,0.046119633740855426,,
OWFA_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.0021696352892616962,,0.980129535662698,0.07719300861527151,,
hV4_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.09646230996441992,,0.15596842138698086,0.043339757748482186,,
EBA_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.030009493124670255,,0.6233580204191044,0.05219083182065612,,
V2v_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.18418060358076302,,0.07655233211434206,0.054117285622256324,,
FFA-1_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.04600538857169246,,0.48566696071704085,0.054241196522896475,,
VWFA-2_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.13774943509121873,,0.12122719555070799,0.052897528609683546,,
FFA-2_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.0022894890527382036,,0.9720175900193055,0.057832019999311826,,
V2d_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.08012606322252448,,0.3423621084969847,0.06490223585089307,,
OFA_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.03187674604976915,,0.78278869617731,0.10129355735627806,,
OWFA_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.14360085602786524,,0.2125815086479053,0.07948996162515089,,
V1d_lh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.010828798230045336,,0.9391893507708096,0.12568433135464294,,
FFA-1_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.030932637335464475,,0.6626783490737501,0.06104176231274963,,
PPA_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.0848875144526528,,0.169246320712011,0.04021898647638263,,
V2v_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.014546303153055664,,0.38375103579440084,0.013144992548376117,,
VWFA-1_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.00986271035291037,,0.8367134425604295,0.04213689948344827,,
FBA-2_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.009046838868803992,,0.895895734641005,0.06111490090792798,,
V1d_rh_subj03,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,0.06811555031909404,,0.518124604980098,0.08758293048986181,,
RSC_lh_subj04,backbone.layer1,resnet50_t=0_gs=540_d9a79a79,-0.05193206976207468,,0.6192653942226234,0.08918499495495867,,
