ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_48bad0ee,0.10944883668081258,,0.02608751652301474,0.018032524661931688,,
OPA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_48bad0ee,0.018078522906923786,,0.6318602824095809,0.0322857608309136,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_48bad0ee,0.1443099845061978,,0.07593694997214293,0.04221006316278466,,
V3v_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_48bad0ee,0.13167203292973353,,0.10820351402641201,0.04723573484852802,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_48bad0ee,-0.010116444271915721,,0.751824641191106,0.027922243965801438,,
V2v_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_48bad0ee,0.17723675917085766,,0.2049254973154028,0.09560271240765794,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_48bad0ee,0.1264843523619941,,0.10438631040783167,0.04442196568167487,,
hV4_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_48bad0ee,0.088026203683999,,0.11956892804469817,0.03352273860665104,,
V1d_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_48bad0ee,0.2313492212701557,,0.040534626649797324,0.048051353305408134,,
OPA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_48bad0ee,0.08772783531565909,,0.023462000908755394,0.013679441795669186,,
V1v_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_48bad0ee,0.2935108690908565,,0.05268597755407194,0.07017472856588924,,
V3d_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_48bad0ee,0.10852709260313682,,0.2392202651003513,0.06546598917801287,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_48bad0ee,0.07446905168679772,,0.5136097056335502,0.09459299291960861,,
PPA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_48bad0ee,0.0929167284159901,,0.17042777166315173,0.044225186182837974,,
OFA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_48bad0ee,0.06600226330345232,,0.18180855529611378,0.03279562103102557,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_48bad0ee,0.09650407879902874,,0.07504630086064201,0.028040481507837223,,
