ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.10449653818193098,,0.004299514973379999,0.006874096126118592,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.01732496498594288,,0.754786089664056,0.04843353751720035,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.18586054007545438,,0.07514933547682354,0.054045766053530946,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.11252065526722173,,0.07660399960608447,0.033074199575147095,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,-0.024764644761582532,,0.4764756254338186,0.02849871288094248,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.1748186008639323,,0.12392943418182378,0.06803703378657687,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.13016794221381647,,0.08909001704260289,0.0416915666910442,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.08618130697634911,,0.12319628268464133,0.0334198060494691,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.23175642980864772,,0.057571857177194034,0.05814952186734192,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.10384375829361515,,0.05426101509156076,0.0252278566972637,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.2938998150850742,,0.035760571736972446,0.0571214032703274,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.10420573707452374,,0.2568649484237976,0.06634784572457568,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.07218033703386148,,0.546806119221044,0.10039182143041775,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.07966064663579393,,0.05003210522355406,0.01852072659347559,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.05555437100486382,,0.24600113827638753,0.0342228172898627,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.12658198219111996,,0.022740268217007156,0.019421221555352197,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.028447945393714702,,0.8511050000258034,0.13359417872165968,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.1753899694436607,,0.06391616316961304,0.046606064965596945,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.1691669486943201,,0.05925221667617648,0.043118551695985,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.03347874649123673,,0.7814086350065782,0.10567915697889378,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,-0.012520357205128674,,0.8305775496249819,0.051499921905613005,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.15217576884332745,,0.17133113327627053,0.07268338809354527,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.15137505300104523,,0.0517425050815837,0.035839333925084656,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.013487760575121526,,0.9121027146704916,0.10808494568153354,,
RSC_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.14324732809703836,,0.08288940595414498,0.04402738781776703,,
OFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.15919832967404948,,0.08971739294986505,0.0511958075209,,
EBA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.012940967674743767,,0.8296745233672929,0.05293944067315619,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,-0.06625504640634267,,0.14978882603503157,0.029008649756101283,,
hV4_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.11882159384566081,,0.19207620621947463,0.0612825491338017,,
RSC_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.21493368282146186,,0.07591508116291734,0.06285701426137513,,
V3v_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.16965209500432174,,0.19493440747905327,0.08839011694476495,,
V1v_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.2296918284202906,,0.05457663930867582,0.05597765173873608,,
EBA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.05831680129446424,,0.5908179029936704,0.09195438732019931,,
V1d_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.25498981122937764,,0.07533872352745168,0.07425256187052372,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.10239258387722759,,0.03628488032253416,0.02005427294652294,,
V2v_rh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.11441939388153595,,0.15797660808904568,0.05183277390029013,,
PPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.0646933409108278,,0.5997466526740836,0.10473620540670178,,
V2d_rh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.17609335356623676,,0.003882319006864649,0.011004137223626769,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.09731313310959644,,0.1552119053449075,0.04358574076341745,,
V2v_lh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.18936734757251372,,0.1441528261282612,0.08092385494502606,,
V3d_lh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.08585408507331417,,0.47881313084856847,0.09940925314284157,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.16029565419173905,,0.07512150773883981,0.04660214192495506,,
EBA_rh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.062465258274997104,,0.38032958930021743,0.05594434126305856,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.06472902350636006,,0.0009275538347656502,0.0019727447905008542,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.07980623889717872,,0.04248536685930911,0.016996074311764465,,
OPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.011132994039723676,,0.3798986215260267,0.009959538999927983,,
V1v_lh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.2950298073507211,,0.013340681132792472,0.03442186341952324,,
OFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.10213552271799915,,0.27885993030633466,0.06938144738532155,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.12284458696058458,,0.18674491282729327,0.06215385642290027,,
V2d_lh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.0659308653850589,,0.42682784298750365,0.06665046587341239,,
V3v_lh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.08314774958265249,,0.39326067275130616,0.07702759294753084,,
EBA_lh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.17188965553638327,,0.06678319117910568,0.046797866690990446,,
VWFA-1_lh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.10999650300126436,,0.19733321821067737,0.05779448759457253,,
RSC_rh_subj02,backbone.layer1,resnet50_t=15_gs=112_14b8c697,0.043310092267219664,,0.6862261203132943,0.09267258075111055,,
