ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.10109971017802855,,0.02044030078405183,0.014680199127285607,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.013841524347249426,,0.6513483744449553,0.026310783782649835,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.16916274235800446,,0.09418768272208389,0.05594852198560939,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.11380170718074141,,0.14632486729614438,0.0490927126436081,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,-0.020080310004380392,,0.5175524885395306,0.025779364557351903,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.1899637815670965,,0.17295247535434957,0.0912985028032551,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.13494376713983866,,0.06412063313196963,0.03592162758111454,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.08644425493886615,,0.11596423456147466,0.032318999388282636,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.22776460139479804,,0.0456768440562987,0.050422224546742785,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.08218073256171828,,0.035145668698121836,0.015826844825933044,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.2976437500536766,,0.044291663851145836,0.06481409132411393,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.10275265164883673,,0.23313712277269844,0.060808944460682045,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.11769302497703422,,0.2882256524609252,0.08212643441479389,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.0766335310238138,,0.21922199640322632,0.04336338983651903,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.05094166246586319,,0.18862742430393406,0.025950402777949647,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.12357406853738938,,0.018114343233371695,0.016861725904622964,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.04046694326744315,,0.7687599582033688,0.1203896373500254,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.18323400501163778,,0.06758456078364493,0.05021756120171576,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.15673821232897245,,0.06437469047848991,0.04181442730067339,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.047507801310125185,,0.6584445897346123,0.09243845729830767,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,-0.030427176318749128,,0.5851699145348581,0.047192126274442026,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.16726368917409204,,0.13873923396938537,0.06978390485268843,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.1639035006785068,,0.02173177299635502,0.024564359860836934,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.0005128638757559237,,0.9964011755934457,0.10076823289021039,,
RSC_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.1468028208790018,,0.10981107044691199,0.05312670536289965,,
OFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.15726403716615722,,0.0733576497808512,0.0451154749195076,,
EBA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.013225247716330287,,0.7754922682051573,0.04059074451877528,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,-0.0628279046681361,,0.1699715691472586,0.029851191471533894,,
hV4_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.1427792155740312,,0.12786025092453296,0.056637075687657905,,
RSC_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.1777537618481174,,0.09041642365646922,0.05741881040138571,,
V3v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.19501095514686254,,0.1733293518750048,0.09385937880063369,,
V1v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.21791640250137986,,0.04872526696330385,0.04994652587347335,,
EBA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.059710868371661736,,0.5108262473424361,0.07528085303571687,,
V1d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.24900118379674793,,0.0770189333426064,0.07341416703827525,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.08476869105968148,,0.15231236779239865,0.03751167811923211,,
V2v_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.1083998786828791,,0.2178980253039014,0.06107216822148843,,
PPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.051528693014501664,,0.5597038322913115,0.07430093289481637,,
V2d_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.15472250636353083,,0.006849318297671796,0.012871142242245113,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.044276739143092055,,0.5038837062845252,0.05479298674542081,,
V2v_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.1882177547059883,,0.1579238378619981,0.0852455767094131,,
V3d_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.09847318146942437,,0.43233876418870354,0.100983851674832,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_94ce5b04_center_crop,0.13693684691931177,,0.09875329664961746,0.04655396491381882,,
