ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_f1efd2d5,0.10118830276629394,,0.020124777573144702,0.014575685619621907,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_f1efd2d5,0.026056419591756058,,0.5728159643290563,0.03899709650350645,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_f1efd2d5,0.17405713866773667,,0.08105601309594089,0.05282160216044222,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_f1efd2d5,0.1274648272272889,,0.10070395211707685,0.04383209902900585,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_f1efd2d5,-0.03606162251283725,,0.21007873533466295,0.019794952815730116,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_f1efd2d5,0.192799445459777,,0.17295448577293152,0.09266206418899468,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_f1efd2d5,0.13266448826914787,,0.061740323919005004,0.034586536078938745,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_f1efd2d5,0.08331249792500629,,0.1353443000161985,0.0342271912091874,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_f1efd2d5,0.21989901090845398,,0.04365516360766811,0.047515387464819536,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_f1efd2d5,0.09677795082851896,,0.0023686762852594386,0.004718477334908217,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_f1efd2d5,0.28710558278942006,,0.048492986012907906,0.0656355558403131,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_f1efd2d5,0.11693717858411741,,0.2229211591214127,0.06697327304953664,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_f1efd2d5,0.10235676775731561,,0.3587199467339448,0.08660100713667152,,
