ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.11953725879129268,,0.05646133398686831,0.02967568499627315,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.011970160574398404,,0.6856298922942969,0.02555921100261714,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.15890778915872164,,0.0800020713178065,0.04786789545648862,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.09718242657235628,,0.13948767675138327,0.040681770249914415,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,-0.053304466017895034,,0.10086214915070991,0.018346983589660772,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.18799438188998718,,0.16689826732758467,0.08825738047824157,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.14893435499856644,,0.06751256858343803,0.040793179742646665,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.06800523306765201,,0.17774988116810345,0.03328373409505987,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.2394083555780866,,0.018497724718571803,0.03302094051014164,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.08119967683784311,,0.021591984553928238,0.01212895857951651,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.29715556054454373,,0.03754865497406707,0.059263421496169255,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.1258309827093325,,0.15806203761592613,0.057022175976511005,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.11321251604986186,,0.3401903329971381,0.09116977842244457,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.07380810977996521,,0.2590156671943516,0.04729775294932118,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.03293880490287219,,0.34578301674958256,0.026925829603551627,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.10716904543654693,,0.017709175719860935,0.014454302397400167,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.0461292330755679,,0.7468692878009426,0.12466280164898937,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.19610829843441024,,0.04637826392904825,0.04377058140070714,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.13854648038024073,,0.12172956775631183,0.05333709257774198,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.06231643978326445,,0.5893853283178266,0.09784914412428405,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,-0.02633587950791814,,0.6339892918624099,0.04734858998647931,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.19236313550679504,,0.09304050586637415,0.06317215958899246,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.16663882340973696,,0.07628495896987396,0.04886669935681845,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_5ecf1008,0.0139445414902206,,0.9040854695191655,0.10232880985413374,,
