ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.11626334308542541,,0.0736887021013887,0.033437556819868985,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,-0.020968393033989823,,0.6573216328095264,0.040647928720431555,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.15146184443456287,,0.1273246080981273,0.059927055529996644,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.11659244009852628,,0.06097399210053531,0.030188525754665328,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,-0.017728688701650386,,0.6252694486705199,0.031015937377358027,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.17963795426866191,,0.17513241568231253,0.08705582052812645,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.13474071835111262,,0.08310929628437212,0.04147532226545476,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.07693896836892637,,0.12822232242485826,0.030572754417235844,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.22922930680871487,,0.02463476129615849,0.03665943374518525,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.047428969650764784,,0.09117362434146903,0.015394500181505823,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.2788291484555901,,0.05023061902788737,0.06496521771275533,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.10486563697596578,,0.24756072432752305,0.06490962588663358,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.09221931494198692,,0.4668022259052589,0.10346277327890778,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.07098935255645843,,0.17384982778473101,0.034235336146646714,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.062205651645652116,,0.21951719199302677,0.035233409109858595,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.10628983732365745,,0.05211469873535696,0.02526287433347456,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.015107616601303558,,0.9121086789512565,0.12107403463415482,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.19452424919186553,,0.04428041530375579,0.04235331412781039,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.14649002778496445,,0.09711616900495663,0.04931886767167002,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.03326205004748637,,0.7577527879510991,0.0941982889278282,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,-0.038375183331769334,,0.42743587758532997,0.038855365825413594,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.16731982910952092,,0.12448376772657348,0.06529576103049307,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.16208650801965607,,0.07795883530259448,0.048116670817273326,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.007978876840923846,,0.9389967296500876,0.09231325123040424,,
RSC_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.12702552545533488,,0.12008271125070628,0.04850022627833102,,
OFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.16415658574245992,,0.05281325251354152,0.03929913212854667,,
EBA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.0007337608605089083,,0.9874112816576949,0.04121199252557169,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,-0.06199653268155014,,0.1775582038137554,0.030321063882732393,,
hV4_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.1315729177163301,,0.1196115205185102,0.050117275468207864,,
RSC_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.16997859486652012,,0.1360267570480055,0.07005045385084341,,
V3v_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.1822772522472648,,0.15249935748363208,0.0807241991577488,,
V1v_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.2302100036546868,,0.06851282188828775,0.06357174829420564,,
EBA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.061725310646006816,,0.4990767356607252,0.07541191891922351,,
V1d_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.24098836351225195,,0.061874213963710095,0.06290219903471711,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.09257513836054466,,0.09841529543760107,0.03140956882917034,,
V2v_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.11394132180612292,,0.22979873348753502,0.06671863707719625,,
PPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.06746015534496613,,0.4578077499227463,0.0739247495402757,,
V2d_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.1483166986782903,,0.012393052326499275,0.016666534689834325,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.08144384874833811,,0.35428663307667485,0.06810170669358702,,
V2v_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.19202032232906188,,0.13967415079568463,0.08044920463911173,,
V3d_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.0820076374367364,,0.5524216998981581,0.11585817339580892,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.11981143027493102,,0.07586174120253379,0.035024814631997796,,
EBA_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.037677329581567894,,0.49746624360772385,0.04583463779315264,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.06712844713059783,,0.05230445671863572,0.015986472603059628,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.07036086689288099,,0.054960696917045096,0.017213002005882102,,
OPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.00787985730411253,,0.6763624013431688,0.016289909112012408,,
V1v_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.28476523204422083,,0.037405626631885874,0.05667772231479591,,
OFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.10827551023845554,,0.3280888042029384,0.08439285355752998,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.10462252781064824,,0.3849111089883718,0.09483109502382236,,
V2d_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.06434077170654952,,0.5587328868290432,0.0925217975896167,,
V3v_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.09206940404267454,,0.38429138210997005,0.08331763718504764,,
EBA_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.13287986533621585,,0.043997250928332066,0.028832515984585628,,
VWFA-1_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.09912121696889142,,0.2666285504028396,0.064972080571398,,
RSC_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.007917397028301595,,0.910001407547508,0.0619534804300031,,
OPA_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.05995296724960383,,0.29700380641053437,0.04288748285131497,,
hV4_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.12028401817373902,,0.3909135115940998,0.11075006738814282,,
FBA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.07630429790689777,,0.0019337677532125694,0.0033603285171233646,,
hV4_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.07222424518267058,,0.565110342605853,0.10574621099342695,,
V1d_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.23654658319648994,,0.07031957312397771,0.06627485748837202,,
V1d_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.2691524605867914,,0.029749190757981037,0.04748950890712525,,
VWFA-1_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.09506230444336931,,0.08707386457994849,0.030050431345177913,,
V3d_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.10201129591095752,,0.06154499886837406,0.026548748889116472,,
FFA-1_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.09415847119707621,,0.367155408471067,0.08146005873007724,,
RSC_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.030996983593500182,,0.7800408368599978,0.09720613898951216,,
V1v_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.26726166435734827,,0.031015064323340853,0.04819613201276292,,
PPA_lh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.0985943888308821,,0.35352393538117954,0.08227575451698162,,
V3v_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.12807613938562537,,0.2576108154026804,0.08172900721540283,,
OFA_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.048833789336114375,,0.11049677241949421,0.017738076133886036,,
V3v_lh_subj03,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.05147015925881792,,0.32624592787804807,0.03991696234010482,,
PPA_lh_subj03,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,0.042939683816968464,,0.5060938538149409,0.05345355605204432,,
RSC_lh_subj03,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,-0.0458536076035447,,0.5536054643180557,0.06499548859088009,,
V3d_lh_subj03,backbone.layer1,resnet50_t=15_gs=448_e030dcc1,-0.0520226419439816,,0.6512830475372351,0.0988666094286016,,
