ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.1453810820456052,,0.05204778564096619,0.034530012199269024,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.030020996973340142,,0.4542744955023068,0.03259576857090409,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.165411841577446,,0.0788499486233432,0.04941998042268468,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.11636006297556785,,0.1680085008868053,0.054865256800669775,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,-0.039752576703628764,,0.0037939404914731864,0.0024555515140807747,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.18617407497670782,,0.21406415873738446,0.10356714827959465,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.14775888632496142,,0.06151593077742226,0.038444713106258126,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.08245412451834801,,0.14391051634558957,0.03519848292846489,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.2511758291608341,,0.019708435714839635,0.0357930104833082,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.09831555338140185,,0.02281721457097106,0.015110754372967442,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.29163231104808124,,0.05957152338412179,0.07455264277638883,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.12081128697678434,,0.21909022546784143,0.06833199713801232,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.09058645064201791,,0.41701738597759996,0.08927046474578958,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.08674946235188215,,0.1778157171166901,0.042468199079787786,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.0440312264022564,,0.044420113392425416,0.009602988229931261,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.11695396610282338,,0.07908379663107103,0.035000786794191885,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.06309951525890388,,0.63774603708456,0.11480235689170892,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.2049662796657666,,0.07025717505844693,0.05739838119138187,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_bef62175,0.140688282243597,,0.06869916864308191,0.03890932019493634,,
