ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.12635160698546438,,0.02414409130140326,0.019996921571165907,,
OPA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.02368978814528902,,0.33890978949907435,0.019011838620529957,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.15681178285603473,,0.08321271248755163,0.04830331220514167,,
V3v_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.12747253678658452,,0.13131353922579095,0.051399814423378,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,-0.026112527887840766,,0.24240098064920135,0.015908220506058977,,
V2v_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.1912749205220697,,0.1679410121292619,0.09016480040852579,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.13693551559358685,,0.07176510316011347,0.038804298599593064,,
hV4_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.09117050276576949,,0.12076663023858254,0.034930035039250525,,
V1d_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.24162119608271218,,0.02612505376541485,0.03983870864007421,,
OPA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.07299801849249045,,0.12231094271995102,0.028183821806480262,,
V1v_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.302755543821234,,0.042755085935012795,0.06469497023394012,,
V3d_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.1299363300349343,,0.14378850480752295,0.05543835778516453,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.09013841680701572,,0.4763645074666628,0.10369936348040519,,
PPA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.07109844316103268,,0.2555333153136155,0.04508737282968231,,
OFA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.04589074163991033,,0.14537748097168138,0.019715694518691283,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.10130495135087925,,0.07465869084131202,0.029349977567761493,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.024054922218763708,,0.8611012743416057,0.12127195179677691,,
V2v_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.20434684516520155,,0.058471715313164675,0.051708786534674714,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.16199952341599053,,0.04416515352556732,0.03522263494734121,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.03508554214435394,,0.747696687600393,0.09514976819096312,,
PPA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,-0.02616171682460963,,0.6931586411189901,0.05738060215008676,,
V2d_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.17619838246743824,,0.10171593680896981,0.06094643781026767,,
V3d_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.1847671111901794,,0.04198544056738669,0.03910163139296399,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,-0.0005500588479175108,,0.9960374273092025,0.09815524360214983,,
RSC_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.14449821842923724,,0.11956001371537013,0.055026317950040066,,
OFA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.160183019138608,,0.05745917449573845,0.04014819966710067,,
EBA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,-0.0066413801810567205,,0.8780025309470699,0.03820642000492521,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,-0.07132114400377586,,0.0657703690491342,0.019253904821621294,,
hV4_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.15165927083067157,,0.12966878835305093,0.060680114891756586,,
RSC_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.17782744414893817,,0.066930510650585,0.04847363658085405,,
V3v_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.19901923847613257,,0.16889305415759037,0.09416421712868339,,
V1v_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.24423410833087433,,0.03321940334746021,0.04566014255273539,,
EBA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.04457741311777897,,0.6228970282734033,0.07741609246704631,,
V1d_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.24926065960776822,,0.06644334463907035,0.06767094739107504,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.09449671137256808,,0.12372334231396605,0.036739624514992776,,
V2v_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.11996249741304732,,0.20425183606223477,0.0645595590606099,,
PPA_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.053886993777140214,,0.5734027123695293,0.08078513161558618,,
V2d_rh_subj02,backbone.layer1,resnet50_t=20_gs=224_a3e5827a,0.1535586296823217,,0.007096600329466486,0.013005304647227725,,
