ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.11292464592088523,,0.07567801332860859,0.03296660225371073,,
OPA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.006777296651478475,,0.8099847066455157,0.024760968192015485,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.1492314443588851,,0.11767449319597874,0.05628660341842396,,
V3v_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.11230789140097606,,0.11267814582888812,0.04127213427806306,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.028800433098126032,,0.2809050446371228,0.019680108162795976,,
V2v_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.1897361488386006,,0.1718337239353963,0.09079869142951727,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.12260427608753253,,0.08048664582501038,0.03705868990735887,,
hV4_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.08768775091843876,,0.14157500870110182,0.037049930491440695,,
V1d_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.2324450237013065,,0.025724973265111983,0.03801937530239415,,
OPA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.08287994996354403,,0.020095172821958024,0.011929400393661799,,
V1v_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.3048757122797743,,0.03626451381560919,0.05969423669722961,,
V3d_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.12479943349947313,,0.13297042206418572,0.0507127107531097,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.10314078864945193,,0.4109340431405468,0.10004803139311598,,
PPA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.0828151049857133,,0.18707188972151687,0.04195048399375881,,
OFA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.04750062595903054,,0.23309755699176687,0.0281073149593971,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.1090542275906814,,0.04927564703071678,0.025147047977266735,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.02040759122732555,,0.8853909450148012,0.12507964463815205,,
V2v_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.20159068407848446,,0.0472756296088475,0.04545977900877261,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.15804341499546362,,0.061176390112635246,0.0409957161799885,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.030393538830476897,,0.7784943412495342,0.094614329895098,,
PPA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.02438469424718706,,0.6928858415086818,0.0534306036704333,,
V2d_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.17408467193283997,,0.10077213515930916,0.059887274200565825,,
V3d_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.16010920470174425,,0.07943219429724835,0.04803509148313702,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.0026546982758125135,,0.9820750327930405,0.10470610840076781,,
RSC_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.17395934814286199,,0.06981714580287979,0.048545023506224076,,
OFA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.15602289266385586,,0.07629078433332698,0.045755552493712014,,
EBA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.0007750060109595088,,0.9872705355654995,0.043047184514269546,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.07148428046996673,,0.10665757461284743,0.025426584602050835,,
hV4_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.1466509919451785,,0.13990901962651234,0.061505728079976896,,
RSC_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.22193777517486032,,0.048918549892409104,0.0509768512390984,,
V3v_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.19436328906478506,,0.1876669341877885,0.0986683798594841,,
V1v_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.2448284718315139,,0.0373147308064872,0.04866627271760682,,
EBA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.055074311585351914,,0.5378877561185043,0.07473478513073292,,
V1d_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.25634414749517614,,0.060801801865632374,0.06627053589332849,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.0914026188727758,,0.09260523222145425,0.02993542490035838,,
V2v_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.11422071777797094,,0.22048691688130106,0.06490056587903816,,
PPA_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.05376161659512485,,0.5445521756945602,0.07430820304578654,,
V2d_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.1611150041167261,,0.007352101553244192,0.013891424817924046,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.0631272020715626,,0.39436677121033725,0.0586496168023061,,
V2v_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.19044070999361976,,0.12828399865416532,0.07569653443347858,,
V3d_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.08518335998880933,,0.5298995614125463,0.11308874795581285,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.14281935276253382,,0.13504585972570476,0.058594074150337204,,
EBA_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.02543675521830922,,0.6611910282371289,0.04994759640830987,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.0673391894720401,,0.04950273962448972,0.015566440182292788,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.060046831819352664,,0.05608293318437628,0.014852360701941993,,
OPA_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.0019838821361059084,,0.9617262819365527,0.036625358828881335,,
V1v_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.2848933231759025,,0.019461152281864243,0.04033466246316232,,
OFA_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.09314919373589146,,0.3846143244112762,0.08436601980975045,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.1070501387215988,,0.3393871336002704,0.08602151654486037,,
V2d_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.06368288645102713,,0.5228716674431851,0.08294289783191738,,
V3v_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.07569244156897263,,0.42623801480822365,0.07640140785010792,,
EBA_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.12484374734819369,,0.06290841692382591,0.0328851037546592,,
VWFA-1_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.0842603295382035,,0.3660942801920898,0.07269314411725403,,
RSC_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.0347642923833456,,0.6145238726022163,0.058842323269946296,,
OPA_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.03901968874794252,,0.4857651556566628,0.04601687256570297,,
hV4_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.10507116815814495,,0.4396831473851375,0.10982752265827372,,
FBA-2_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.08156229771545852,,0.006589850632637436,0.006653987479531648,,
hV4_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.07783112158062792,,0.5475077219349768,0.10846238732526829,,
V1d_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.23481500763326693,,0.05360263635929452,0.05666907968435064,,
V1d_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.2737314134962529,,0.018289662213127656,0.03753610520776487,,
VWFA-1_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.08769849780584789,,0.1407481697921941,0.03691876610341338,,
V3d_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.11908067117403696,,0.018352794146885478,0.0163581847015512,,
FFA-1_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.08001291681251302,,0.44145359216507174,0.08402107590580929,,
RSC_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.07585528114815748,,0.4785966303438476,0.08778170180332065,,
V1v_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.29177238903380326,,0.025920011857132885,0.04791092363596592,,
PPA_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.10196012580361896,,0.2863531711714377,0.07076910184055485,,
V3v_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.14129029498995369,,0.2285418541588088,0.08240115250705463,,
OFA_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.05297909039668192,,0.03974897785592314,0.01088989139984642,,
V3v_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.05499989941490935,,0.39378868760359065,0.05102180506447698,,
PPA_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.04390910309917259,,0.4734758737356488,0.050132810876845825,,
RSC_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.035595379773720286,,0.6313933453204013,0.0634753033876332,,
V3d_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.034921422488906624,,0.7696118036811381,0.1042974382407017,,
VWFA-1_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.010654514962771408,,0.5786172789204654,0.016214112338340744,,
RSC_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.04267703907194544,,0.47024543953880615,0.04831452933010752,,
V3v_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.06696404879152763,,0.02761934885101806,0.011365603007115227,,
OPA_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.05867623689875214,,0.3934318339721291,0.0543815984652492,,
OPA_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.019140306645441568,,0.7586500906101438,0.05441950897090134,,
hV4_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.052472609557370355,,0.1336765569959132,0.02139235907537414,,
V2d_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.03700456640068584,,0.13027488951004682,0.014848327909207872,,
V3d_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.061908712152288804,,0.34589230549887184,0.05062206480715121,,
OFA_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.02985415004596316,,0.5118464726883765,0.03774218230246652,,
EBA_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.1150046841368058,,0.06612433443347512,0.031139124931854792,,
V1v_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.23546035256365627,,0.05823942819132675,0.05945230242924252,,
V1v_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.0491489027964348,,0.41224443259794075,0.04783781107665842,,
mfs-words_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.013340447887872595,,0.7287981028198625,0.0334790844182855,,
OWFA_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.03707854638634112,,0.6675540575825594,0.07437974493515934,,
hV4_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.062404498795603315,,0.07246395693020033,0.017780025654183733,,
EBA_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.05668489348906888,,0.39675510109027146,0.05299316665198531,,
V2v_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.18081066412367194,,0.050713295719531655,0.04234580791470004,,
FFA-1_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.08287203554915061,,0.13465271885151123,0.03393829245153521,,
VWFA-2_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.04548324496243839,,0.5083711017940882,0.05696654265197099,,
FFA-2_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.02117938424150148,,0.8523426583352591,0.10031283819501853,,
V2d_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.06054214031131857,,0.4620795686987893,0.06708880386202798,,
OFA_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.08134163622496336,,0.5165038896646603,0.1041321717405575,,
OWFA_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.11803276988014526,,0.13478712744867727,0.04836743311250068,,
V1d_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.039508738649689686,,0.7351803174707006,0.10172768222823826,,
FFA-1_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,0.0409492415837741,,0.5930231815328973,0.064989096406042,,
PPA_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.06870813006751979,,0.180303013076315,0.0339500816237454,,
V2v_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_79468dc9,-0.016220932869394095,,0.1997080266200602,0.008593727941487234,,
