ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.10898135694899902,,0.047888222309788814,0.024746624841039462,,
OPA_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.0159327695265481,,0.6422925342331302,0.02941154316629579,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.18534793814438558,,0.05253498549673161,0.044245460496390894,,
V3v_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.12815402639547427,,0.13046027343983488,0.05146764783476681,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,-0.029105076589841947,,0.3184122029340736,0.022094621572557066,,
V2v_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.20585146564038306,,0.15539233053732174,0.09226792204290603,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.13015290596522391,,0.0833032545787596,0.04011629988761058,,
hV4_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.08595409802624772,,0.1660511898090374,0.04021858590823994,,
V1d_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.23649342909463544,,0.03128069300733649,0.04283869263078869,,
OPA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.0860822402403974,,0.04550947244383852,0.019019304241132438,,
V1v_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.3036232779572324,,0.041858234413672146,0.06415090883871995,,
V3d_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.11101091239845085,,0.14807089246165644,0.04824965843756234,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.08336709062242241,,0.46843383882954304,0.0939321650448899,,
PPA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.07119899080522683,,0.3107265352954601,0.05291836674706279,,
OFA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.04461720277088907,,0.2014502723716134,0.023781022833594418,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.11425218450346337,,0.06087741240372345,0.02955683677851399,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.025508441606701352,,0.8451439047186143,0.1150720611367252,,
V2v_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.20995216175151463,,0.05561286833729968,0.05169330610048709,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.14939709915634833,,0.06449108200412129,0.039895751967258926,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,0.02998711250256747,,0.7651818952058796,0.08777521657294471,,
PPA_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_37c032e8,-0.02879307733213175,,0.6726535281954104,0.058769674260779094,,
