ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.18786688088659229,,0.12512475705594328,0.0735439430511916,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.05623384535195906,,0.08049041933550116,0.016997841011401008,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.03539693101538356,,0.6723342467920297,0.07216997459902742,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.09812814515953346,,0.07101540457585233,0.027644627473462757,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.004597497913255882,,0.8276320589182946,0.018578073143248552,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.21926124738073902,,0.08877327660866167,0.07008380369533324,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.0895901041072464,,0.044017540655447995,0.01944421813584038,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.07529582376244004,,0.0887433507831392,0.024062602507031454,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.28989408220396556,,0.00858985731157873,0.027042343600276724,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.12947534024723753,,0.02167252651591217,0.019377229193586816,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.32807462144357796,,0.026352057493602105,0.054337267618175256,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.158764838846618,,0.12875033062692862,0.06324653647795687,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.1066466949904366,,0.3457539551329446,0.08717158211578688,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.11377295333166441,,0.10842062087915279,0.04086318830616159,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.032857963319129116,,0.11213720281433733,0.012040370674975293,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.12231880053661466,,0.051941127076077176,0.02902014861483317,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.0577891292919123,,0.657289392474547,0.11201421200246549,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.16135550848574806,,0.014655108771659233,0.01975117939710785,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.11506812732106358,,0.1880838612236898,0.0585024003963012,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.03820347555725716,,0.6950283966001923,0.08435877775917358,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.03367187110336098,,0.4877606011459944,0.03992021818359281,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.2771377571226879,,0.0537658030307239,0.06699350169260598,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.19364658037922614,,0.01828942977462363,0.026554098553356213,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.010504546039709647,,0.9190431595389764,0.09144940225895369,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.11943911930365075,,0.25726605636878264,0.07613863949811871,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.11586393962049339,,0.23384499730580563,0.06872189101232648,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,-0.01231075741056759,,0.6961914195503591,0.027298638705556995,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,-0.03149341439707901,,0.3971622354043459,0.029473591201236826,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.1437271171530723,,0.07377396682844961,0.04136299005146578,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.1980461619851657,,0.07179151854019199,0.056133156514675896,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.16510202792550063,,0.23565557316628657,0.09848698648917344,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.25312978135697334,,0.019511899853527963,0.03588573260775665,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.019087260266354895,,0.7653603939507216,0.055915262917422916,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.31583875678796064,,0.03188392621213032,0.057787545004259935,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.11290764704418525,,0.07694656773933797,0.03327145699674205,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.0875777094889497,,0.27458562274420706,0.058759491538406414,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.0006131295257214645,,0.9857643196247112,0.03045194198501493,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.21418125420390718,,0.02309258396406545,0.03312397773475123,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.04122848195510905,,0.2827285603863252,0.02832064384831292,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.18373526354339842,,0.07384396919909893,0.052904986560962666,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.08517289194997735,,0.33505787485901295,0.06764910172296988,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.20026761135316373,,0.06035600895516237,0.05156483697778224,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,-0.021005904826603514,,0.7689881497924135,0.06255803196566248,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.02280180233992681,,0.5636901741983663,0.033250906010881306,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.07777168834179077,,0.2048602761147628,0.04194122241267555,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,-0.027091294543072502,,0.39506695220638666,0.025215713434555934,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.2566130658065922,,0.01509511036465534,0.031890216748650425,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.07547451095766387,,0.4628163343428754,0.0837972431498156,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.11661960020574837,,0.3996962618420503,0.10986307633604801,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.07461039379128925,,0.2284753881422136,0.043503866417364756,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.06406639524051473,,0.2716940520437026,0.042623765299275314,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.07455861513569419,,0.1371323566949212,0.03088158772621637,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.09227925940536823,,0.39118185113812187,0.08502454949130145,,
RSC_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,-0.0934982145586487,,0.4104128316084227,0.09057178693171958,,
OPA_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.025269918859799567,,0.5393959318348165,0.03443349980574783,,
hV4_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.095201069760437,,0.3778881680892219,0.08471892035386816,,
FBA-2_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.09572967867535159,,0.01483296112477145,0.011790553340730415,,
hV4_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.06503651446624512,,0.5368207523582715,0.08799471351786282,,
V1d_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.3040061827377954,,0.005671958541015202,0.022993366024341964,,
V1d_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.3901895000826309,,0.010832935919036633,0.04094488447970206,,
VWFA-1_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.10106948207235998,,0.30011048194532763,0.07293340389744285,,
V3d_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.10051508381257714,,0.03288397956037942,0.01869152931682742,,
FFA-1_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.09646407999377905,,0.33124351434221777,0.07583205008359366,,
RSC_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,-0.06929370843077999,,0.5520636834055415,0.09779842302543641,,
V1v_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.32379869112741905,,0.03795520391435487,0.06494637565096828,,
PPA_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.0474366196207297,,0.36457403317328596,0.040760742627455195,,
V3v_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,0.10174110555832183,,0.27682078395992865,0.06870685817065886,,
OFA_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,-0.008435042167816554,,0.7604283454846191,0.024171399417185328,,
V3v_lh_subj03,backbone.blocks.1,vit_base_t=0_gs=112_9464d1af,-0.05720051200957486,,0.1324990747958619,0.023192726544948798,,
