ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.19613074239317385,,0.08661542296345032,0.061812420458021544,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.04245130955153528,,0.4227024642441958,0.042457126012033754,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.038733315336229444,,0.5490076490556681,0.05420286676491677,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.08546297445423519,,0.10414584876769083,0.029974306194940663,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,-0.03290717906076716,,0.17431087037482448,0.015897716207641837,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.2263244437918274,,0.09137190879454173,0.07355247804837939,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.08156127840694455,,0.13489822343890953,0.033439225164496864,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.07552331986492739,,0.05121145219106222,0.01778126054706133,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.29151802137122673,,0.005367697947941502,0.021444370837899043,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.12173596355807421,,0.05024422658957802,0.028367766778685254,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.34652139558827405,,0.026265837686570277,0.05729472076403136,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.17559704556723918,,0.0672474628301249,0.047991226090989735,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.12079934551769804,,0.2653881947366987,0.07889212047721797,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.10417428845782406,,0.20812210035913734,0.05680683969132001,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.029438335821822998,,0.06726762178792653,0.008046927761067519,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.11210606462288064,,0.04861619586062468,0.025663754381051087,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.035911078538047765,,0.77861416452642,0.11185392023682984,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.1757372575487847,,0.012917500443557554,0.020169381775817462,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.11225720857885683,,0.11643289761545533,0.04207151046899058,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.01727258398045635,,0.8529444200821633,0.08215110399349727,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.020874313631586608,,0.7298426588906162,0.052604611376453635,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.273062582617176,,0.040791231356891104,0.05690596875232184,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.20192534027168252,,0.061870813094892924,0.0527044699925779,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,-0.01726425967290593,,0.8604916983983113,0.08664928818618431,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.1484952871614804,,0.19666226251401558,0.07783923427901049,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.13896999469668161,,0.10207506280184683,0.04816874753420702,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,-0.0016629657435787866,,0.9556011597900673,0.026458681845799092,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,-0.0550566302181608,,0.37026639368054814,0.04802343456325408,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_a6d95cdf,0.15616795237172063,,0.04168331282867064,0.03292232089989663,,
