ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.18946989345835766,,0.08855415093804199,0.06047554667245291,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.07897503923192697,,0.0738095756706853,0.022734244685316214,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.059983877206786586,,0.36258770033106025,0.051272519018273045,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.09106025641314852,,0.14405151656538806,0.03889628469444973,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,-0.05082729704762279,,0.11489187316207926,0.018897244258485327,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.23668760115004958,,0.08652075064651146,0.07454763011252599,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.08318967289112583,,0.09646250393812192,0.027897688591955325,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.07192684157385519,,0.08607827220002516,0.022587899499353865,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.2914609009219669,,0.0011215504269460322,0.009769115787658945,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.15810083698841754,,0.07598776739319121,0.046261233372831445,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.3387415375411595,,0.029337487777542453,0.05933388531922732,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.17891243043097427,,0.08413960599708524,0.05545981362513726,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.12543267570907388,,0.2514865877780979,0.07857565326154253,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.13162062339297148,,0.1782487550990177,0.06453961421451405,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.013578574916557696,,0.16302311301758465,0.006277723258476825,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.13131700226616258,,0.053339035789165094,0.03160670575428847,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.04851765192720139,,0.7026130779685571,0.11014271642932333,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.16529883174490936,,0.03014004548785692,0.029365363836121147,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_5e05396d,0.09665237499541067,,0.11265183322366823,0.03551392061466258,,
