ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.21585598934117908,,0.058112707099402375,0.05443744470650332,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.09201726811697164,,0.22668525666204328,0.053346090500236774,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.06321143760329455,,0.354675129885082,0.05291069503017085,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.11195973284651516,,0.11772423260105752,0.042239334224817744,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,-0.027509765163334293,,0.39977660421976524,0.02592137057564579,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.2286767454930588,,0.0669829483500882,0.062361621126672324,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.08555483899921217,,0.13292130972638502,0.03475759229376258,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.0986672815234194,,0.05440252293488205,0.024004235431540427,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.3045537200694133,,0.0033062583057428293,0.01755542299213078,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.14646428626807492,,0.05117499806591638,0.03447037122581294,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.32516868388022974,,0.02207741065558966,0.04913239677655405,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.19964985977103963,,0.07173112194436418,0.056561097686862474,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.10709954870360368,,0.3113319276876727,0.07973457258321796,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.12260817434408927,,0.15305526684459855,0.054425251645170515,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.02721595139613513,,0.2533443947036628,0.01714539456648733,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.12956952471389463,,0.018708236368979142,0.0179754741750428,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.03266977243681666,,0.7890445538339954,0.10704224655895905,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.18445674566756384,,0.019695572084203198,0.026276581204328544,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.09060482617703103,,0.10092480022474458,0.03119682134594068,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_3543d608,0.025849458363534222,,0.777531193731387,0.08010232632478922,,
