ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.22381374622006076,,0.05070194186682276,0.052410775739722124,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.040507294898960024,,0.469546887705231,0.04577419754963898,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.06388998557176162,,0.4750724037610198,0.07325257589371985,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.11386947848640823,,0.10815368320800647,0.04083813445249315,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.007105483629933698,,0.7791352749809453,0.022186688858117035,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.2320329269811816,,0.06863690325021297,0.06413962250828265,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.0802323727228801,,0.04494828405375398,0.01760935432621141,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.10947451723519681,,0.040091721603647594,0.02260546944449387,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.3080908824784731,,0.0014283184115762202,0.011656199837834107,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.09832915088301715,,0.008550034836529873,0.009150927844669254,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.32952943939733803,,0.019137834823261472,0.04625351778280829,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.2033972585626016,,0.068452085153177,0.056139815773343614,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.08834460504933524,,0.442029211410362,0.09290919844742805,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.10365529319578926,,0.05918969046920349,0.026405171857032148,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.04874751216733403,,0.00701905502277057,0.004105702154587845,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.11822073602333626,,0.03543171354800459,0.022865216864171107,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.03805645739307522,,0.6784603900313958,0.07924670629642336,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.16864649204803506,,0.03991510119389092,0.034742313443759984,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.12935321265134414,,0.04854761964221254,0.02958953320971088,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.022618329955177527,,0.7046104865356935,0.05172794239347917,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.029134619369750286,,0.3994601953143887,0.02742979406479519,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.2935440897054156,,0.03296579113290524,0.0546580599924037,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.23488249601313674,,0.04286953535462173,0.05026304470838337,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.01070585942802982,,0.8725201475350075,0.05889889046914723,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.12303272582157843,,0.12635190012266997,0.04845114153018929,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.16206548471879112,,0.10425109479342345,0.056874811166666664,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,-0.00500788357658951,,0.864065088794862,0.02580822705920741,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,-0.05356669555399187,,0.2480832758288262,0.033209748533756654,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.1480134965179281,,0.055830892677870114,0.03652084678367001,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.21436729700732682,,0.07655839804692983,0.06298976952389232,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.19528524012246576,,0.12288669134300731,0.07561298645575626,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.2468678145375903,,0.030705834327753524,0.04428530337737268,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.048903255152761504,,0.42177743817844526,0.048792551913260915,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_7a010c7b,0.31541646371913207,,0.03960716036053411,0.06471111071818353,,
