ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.21694307533074406,,0.061953727010542484,0.0566659693203122,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.081722119555224,,0.20690156563552622,0.044379406075552345,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.06500910397612754,,0.44311201991076166,0.06856094366004446,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.11251402159179312,,0.08956564513249604,0.03614762778988343,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,-0.020990751357112553,,0.5717970613250267,0.0313241477436995,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.23894843996129458,,0.06930857405513426,0.06640998842348216,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.07812472753452533,,0.14159822904857652,0.033012744379956625,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.0975379682492701,,0.04479242219324449,0.021367792504858176,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.29766500015484754,,0.002425108158591719,0.014685351864046124,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.145822486136333,,0.05623733686359091,0.03612274119295732,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.3281507848839935,,0.02369537282851434,0.051431811234614946,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.19117593666962188,,0.08952160580225262,0.06140215048320183,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.1129594128454321,,0.3074962395656181,0.08320894546353111,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.12330695004981489,,0.14326673290363215,0.0524897331604725,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.0338751317907691,,0.16839584709485655,0.015996716363812325,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.1373330210308437,,0.04099119255749904,0.028694644667809893,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.012716953666850125,,0.9076990303408059,0.09700718964431515,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.17571651251195294,,0.023245272084414147,0.027268155709760947,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.10389799551806796,,0.0651018576792112,0.027890327805454525,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.012742021228342735,,0.8767364703815885,0.07253775202283662,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.054792143740359206,,0.3319628548162258,0.04315690458175217,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.2718618443656456,,0.048048337574758015,0.061843217564192775,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.2350230782748004,,0.060843462878479616,0.060781431304653855,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,-0.015656457888581086,,0.840257192001328,0.06841387113495671,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.1468327812034392,,0.21451400755238953,0.08180420612964176,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.15166701685962944,,0.06660163397782332,0.0412298947593194,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.011075369849990524,,0.5717762218120859,0.01652660457840509,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,-0.038624331937329906,,0.4660671154425984,0.04325006086397998,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_88f33414_center_crop,0.1652253298228911,,0.038146874803785126,0.033228871829868244,,
