ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.2276328547195099,,0.049948778052353,0.05287597270979192,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.08629438100166063,,0.17883414075865153,0.04240690735339543,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.044826450474610306,,0.5506803836593686,0.06302253415441468,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.1183427850089459,,0.11468609032134941,0.04395180443624731,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,-0.01733141005715917,,0.5440448181535553,0.02392148225047457,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.23954869076513016,,0.07802718064110195,0.07114711006899549,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.06336261306847023,,0.17933920006430426,0.0311965470351633,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.10398861168876726,,0.05539116954355573,0.02554789811103996,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.3076494486519115,,0.004001736280993202,0.019520317349995944,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.14139548721949882,,0.07509884303658888,0.041100401853151614,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.323097407863288,,0.023383378434721575,0.05029319372684548,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.20696019703374358,,0.06870725444511512,0.05724149437712065,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.10671257566206431,,0.30053221141152886,0.07709653635133276,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.12324468444796273,,0.1513373528661851,0.05431502846016825,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.03309410498125398,,0.11105716110051833,0.012057145407892638,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.12667936333894617,,0.036068728589348314,0.02473280447278753,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.0168665813370477,,0.8810931770133538,0.09958941281496018,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.18351197399983463,,0.03026835261969772,0.03267350788801865,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.10106330044188742,,0.05537838322693056,0.024826087978641907,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.009220348081023455,,0.9119232569354394,0.07373606913680397,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.06256392533474804,,0.3622525593530441,0.05343052761491135,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.27891320983054996,,0.04587148167751506,0.0618863906790499,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.23283700546779676,,0.0501780024543093,0.054218681350163285,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,-0.014439883262002259,,0.84907956257279,0.06688018625617852,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.15330828070062016,,0.21366249520442768,0.08517017341088506,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.14776490906283993,,0.06951555674575106,0.04113593302807133,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.0011743838885655239,,0.9621548396717998,0.02192671157084971,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,-0.024635128292958348,,0.6519966328535329,0.04692718999442822,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.16948226853497003,,0.05722615503059608,0.04238480140679632,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.2629312930833037,,0.042493207644610884,0.05600113286523483,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.2129686681718387,,0.11405139325673863,0.07883288346990634,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.2583717333004228,,0.013348940181686647,0.030154393944153545,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.04442806756303222,,0.3944554562292506,0.04128635037662818,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.3123180819763039,,0.05392864818961172,0.0756218654007367,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.12165163278728157,,0.02111124969254935,0.01796127937267615,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.1018806474661984,,0.22387818184121724,0.05853142079487175,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.018556431403565395,,0.7691219178735145,0.05529703810140251,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.19257966364290882,,0.001935157733870341,0.008483980127552372,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.07767452841608562,,0.0231080188894589,0.012016829784218546,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.20676423068799057,,0.08809733700367815,0.06580004756066465,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.1177370693717416,,0.3122603865338345,0.08787904969035121,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.20926985112257054,,0.034814225158498906,0.040101528625330764,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.023007701480889816,,0.7359684385723047,0.05943071375922921,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.03618651294564679,,0.10520411394092997,0.012767484419694176,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.07841631273683058,,0.10989188068546156,0.028390613907244497,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.02124109625429665,,0.3064660102122939,0.015602072604990896,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.27890273776971963,,0.026489336903397078,0.04631827201184999,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.09050193570344567,,0.14221040057017212,0.03834652710216601,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.14196902153666177,,0.22457491822941064,0.08174675977397736,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.08274254728814646,,0.2873820185142002,0.0575992936322466,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.10667074806039516,,0.09442501939791771,0.03533153369932417,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.11542443794724176,,0.10330319074961736,0.04028960141828343,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_e9977b42,0.12057157480963565,,0.21189973092808,0.06659008919732018,,
